Gene	Africa/America	Fertile Crescent	Indo-Pacific	Russia	Western Mediterranean
group_1115	TRUE	TRUE	TRUE	TRUE	TRUE
group_1571	TRUE	TRUE	TRUE	TRUE	TRUE
group_1739	TRUE	TRUE	TRUE	TRUE	TRUE
fadJ	TRUE	TRUE	TRUE	TRUE	TRUE
group_1858	TRUE	TRUE	TRUE	TRUE	TRUE
group_1873	TRUE	TRUE	TRUE	TRUE	TRUE
group_2110	TRUE	TRUE	TRUE	TRUE	TRUE
group_2111	TRUE	TRUE	TRUE	TRUE	TRUE
fcl_2	TRUE	TRUE	TRUE	TRUE	TRUE
gmd_2	TRUE	TRUE	TRUE	TRUE	TRUE
group_2462	TRUE	TRUE	TRUE	TRUE	TRUE
group_2465	TRUE	TRUE	TRUE	TRUE	TRUE
group_2505	TRUE	TRUE	TRUE	TRUE	TRUE
group_2506	TRUE	TRUE	TRUE	TRUE	TRUE
group_2507	TRUE	TRUE	TRUE	TRUE	TRUE
group_2555	TRUE	TRUE	TRUE	TRUE	TRUE
group_257	TRUE	TRUE	TRUE	TRUE	TRUE
group_2590	TRUE	TRUE	TRUE	TRUE	TRUE
group_2591	TRUE	TRUE	TRUE	TRUE	TRUE
group_2597	TRUE	TRUE	TRUE	TRUE	TRUE
group_354	TRUE	TRUE	TRUE	TRUE	TRUE
group_355	TRUE	TRUE	TRUE	TRUE	TRUE
group_356	TRUE	TRUE	TRUE	TRUE	TRUE
group_529	TRUE	TRUE	TRUE	TRUE	TRUE
group_530	TRUE	TRUE	TRUE	TRUE	TRUE
pepE	TRUE	TRUE	TRUE	TRUE	TRUE
group_562	TRUE	TRUE	TRUE	TRUE	TRUE
group_787	TRUE	TRUE	TRUE	TRUE	TRUE
group_85	TRUE	TRUE	TRUE	TRUE	TRUE
group_1219	TRUE	TRUE	TRUE	TRUE	TRUE
group_1333	TRUE	TRUE	TRUE	TRUE	TRUE
rfbC	TRUE	TRUE	TRUE	TRUE	TRUE
hldD	TRUE	TRUE	TRUE	TRUE	TRUE
group_1570	TRUE	TRUE	TRUE	TRUE	TRUE
gloA	TRUE	TRUE	TRUE	TRUE	TRUE
secE	TRUE	TRUE	TRUE	TRUE	TRUE
iolG_1	TRUE	TRUE	TRUE	TRUE	TRUE
group_2400	TRUE	TRUE	TRUE	TRUE	TRUE
group_2454	TRUE	TRUE	TRUE	TRUE	TRUE
group_2528	TRUE	TRUE	TRUE	TRUE	TRUE
group_2543	TRUE	TRUE	TRUE	TRUE	TRUE
group_66	TRUE	TRUE	TRUE	TRUE	TRUE
group_1817	TRUE	TRUE	TRUE	TRUE	TRUE
group_1933	TRUE	TRUE	TRUE	TRUE	TRUE
group_206	TRUE	TRUE	TRUE	TRUE	TRUE
group_2130	TRUE	TRUE	TRUE	TRUE	TRUE
group_2387	TRUE	TRUE	TRUE	TRUE	TRUE
group_2404	TRUE	TRUE	TRUE	TRUE	TRUE
group_2545	TRUE	TRUE	TRUE	TRUE	TRUE
group_944	TRUE	TRUE	TRUE	TRUE	TRUE
group_1543	TRUE	TRUE	TRUE	TRUE	TRUE
group_2265	TRUE	TRUE	TRUE	TRUE	TRUE
group_2392	TRUE	TRUE	TRUE	TRUE	TRUE
group_2546	TRUE	TRUE	TRUE	TRUE	TRUE
group_2587	TRUE	TRUE	TRUE	TRUE	TRUE
cobU	TRUE	TRUE	TRUE	TRUE	TRUE
group_1039	TRUE	TRUE	TRUE	TRUE	TRUE
cydX	TRUE	TRUE	TRUE	TRUE	TRUE
group_2269	TRUE	TRUE	TRUE	TRUE	TRUE
group_2285	TRUE	TRUE	TRUE	TRUE	TRUE
group_2405	TRUE	TRUE	TRUE	TRUE	TRUE
thcD	TRUE	TRUE	TRUE	TRUE	TRUE
group_1028	TRUE	TRUE	TRUE	TRUE	TRUE
group_1344	TRUE	TRUE	TRUE	TRUE	TRUE
group_1995	TRUE	TRUE	TRUE	TRUE	TRUE
group_2432	TRUE	TRUE	TRUE	TRUE	TRUE
group_2467	TRUE	TRUE	TRUE	TRUE	TRUE
group_2479	TRUE	TRUE	TRUE	TRUE	TRUE
group_3	TRUE	TRUE	TRUE	TRUE	TRUE
group_594	TRUE	TRUE	TRUE	TRUE	TRUE
group_597	TRUE	TRUE	TRUE	TRUE	TRUE
group_807	TRUE	TRUE	TRUE	TRUE	TRUE
group_1349	TRUE	TRUE	TRUE	TRUE	TRUE
group_2408	TRUE	TRUE	TRUE	TRUE	TRUE
group_2565	TRUE	TRUE	TRUE	TRUE	TRUE
group_2586	TRUE	TRUE	TRUE	TRUE	TRUE
group_3768	TRUE	TRUE	TRUE	TRUE	TRUE
group_3830	TRUE	TRUE	TRUE	TRUE	TRUE
group_2508	TRUE	TRUE	TRUE	TRUE	TRUE
group_1249	TRUE	TRUE	TRUE	TRUE	TRUE
group_2544	TRUE	TRUE	TRUE	TRUE	TRUE
group_1473	TRUE	TRUE	TRUE	TRUE	TRUE
group_2163	TRUE	TRUE	TRUE	TRUE	TRUE
group_423	TRUE	TRUE	TRUE	TRUE	TRUE
mtgA_3	TRUE	TRUE	TRUE	TRUE	TRUE
group_1531	TRUE	TRUE	TRUE	TRUE	TRUE
group_1357	TRUE	TRUE	TRUE	TRUE	TRUE
group_2510	TRUE	TRUE	TRUE	TRUE	TRUE
group_2577	TRUE	TRUE	TRUE	TRUE	TRUE
ygaZ	TRUE	TRUE	TRUE	TRUE	TRUE
sutR	TRUE	TRUE	TRUE	TRUE	TRUE
tuf_1	TRUE	TRUE	TRUE	TRUE	TRUE
group_1413	TRUE	TRUE	TRUE	TRUE	TRUE
group_1414	TRUE	TRUE	TRUE	TRUE	TRUE
group_1967	TRUE	TRUE	TRUE	TRUE	TRUE
group_1968	TRUE	TRUE	TRUE	TRUE	TRUE
group_2455	TRUE	TRUE	TRUE	TRUE	TRUE
group_2456	TRUE	TRUE	TRUE	TRUE	TRUE
group_899	TRUE	TRUE	TRUE	TRUE	TRUE
group_2569	TRUE	TRUE	TRUE	TRUE	TRUE
group_2476	TRUE	TRUE	TRUE	TRUE	TRUE
group_3795	TRUE	TRUE	TRUE	TRUE	TRUE
group_2422	TRUE	TRUE	TRUE	TRUE	TRUE
group_569	TRUE	TRUE	TRUE	TRUE	TRUE
group_1647	TRUE	TRUE	TRUE	TRUE	TRUE
group_98	TRUE	TRUE	TRUE	TRUE	TRUE
group_2423	TRUE	TRUE	TRUE	TRUE	TRUE
group_623	TRUE	TRUE	TRUE	TRUE	TRUE
group_2290	TRUE	TRUE	TRUE	TRUE	TRUE
tgt_2	TRUE	TRUE	TRUE	FALSE	TRUE
group_2118	TRUE	TRUE	TRUE	TRUE	TRUE
group_2466	TRUE	TRUE	TRUE	TRUE	TRUE
group_2574	TRUE	TRUE	TRUE	TRUE	TRUE
group_943	TRUE	TRUE	TRUE	TRUE	TRUE
group_46	TRUE	TRUE	TRUE	FALSE	TRUE
group_2294	TRUE	TRUE	TRUE	TRUE	TRUE
group_2980	TRUE	TRUE	TRUE	TRUE	FALSE
group_903	TRUE	TRUE	TRUE	TRUE	FALSE
group_902	TRUE	TRUE	TRUE	TRUE	FALSE
group_2386	TRUE	TRUE	TRUE	TRUE	TRUE
group_2617	TRUE	TRUE	TRUE	TRUE	FALSE
group_1239	TRUE	TRUE	TRUE	TRUE	FALSE
group_2601	TRUE	FALSE	TRUE	TRUE	TRUE
group_1759	TRUE	TRUE	TRUE	TRUE	TRUE
group_945	TRUE	TRUE	TRUE	FALSE	TRUE
group_2156	TRUE	TRUE	TRUE	FALSE	TRUE
group_1560	TRUE	TRUE	TRUE	TRUE	TRUE
group_2618	TRUE	TRUE	TRUE	TRUE	FALSE
group_2607	TRUE	TRUE	TRUE	TRUE	TRUE
group_2602	TRUE	TRUE	TRUE	TRUE	TRUE
group_707	TRUE	FALSE	FALSE	FALSE	TRUE
group_3917	TRUE	TRUE	FALSE	FALSE	TRUE
group_201	TRUE	TRUE	TRUE	FALSE	TRUE
group_1764	TRUE	TRUE	TRUE	TRUE	TRUE
betA_1	TRUE	FALSE	FALSE	FALSE	TRUE
group_2131	TRUE	TRUE	TRUE	TRUE	TRUE
group_4163	TRUE	TRUE	FALSE	FALSE	TRUE
group_2616	TRUE	TRUE	TRUE	TRUE	FALSE
group_2613	TRUE	TRUE	TRUE	TRUE	TRUE
group_2291	TRUE	TRUE	TRUE	TRUE	TRUE
group_2652	TRUE	TRUE	TRUE	TRUE	FALSE
group_1689	TRUE	TRUE	TRUE	TRUE	TRUE
group_3175	TRUE	TRUE	TRUE	FALSE	TRUE
group_2437	TRUE	TRUE	TRUE	TRUE	TRUE
group_2300	TRUE	FALSE	TRUE	TRUE	TRUE
group_2659	TRUE	TRUE	TRUE	TRUE	TRUE
group_2604	TRUE	TRUE	TRUE	TRUE	TRUE
group_2622	TRUE	FALSE	FALSE	FALSE	TRUE
group_2612	TRUE	TRUE	TRUE	FALSE	TRUE
group_1763	TRUE	TRUE	TRUE	TRUE	TRUE
group_591	TRUE	TRUE	TRUE	FALSE	TRUE
group_2631	TRUE	FALSE	TRUE	TRUE	TRUE
group_2661	TRUE	TRUE	TRUE	TRUE	FALSE
tuf	TRUE	FALSE	TRUE	TRUE	TRUE
group_2557	TRUE	FALSE	FALSE	FALSE	TRUE
group_2603	TRUE	TRUE	TRUE	TRUE	TRUE
group_2292	TRUE	FALSE	FALSE	FALSE	TRUE
group_2621	TRUE	TRUE	TRUE	FALSE	FALSE
group_2363	TRUE	TRUE	FALSE	TRUE	FALSE
group_2653	TRUE	FALSE	FALSE	TRUE	FALSE
group_2615	TRUE	TRUE	TRUE	TRUE	FALSE
group_2654	TRUE	FALSE	FALSE	FALSE	FALSE
group_2303	TRUE	FALSE	FALSE	FALSE	FALSE
group_1932	TRUE	FALSE	FALSE	FALSE	FALSE
group_1246	TRUE	TRUE	TRUE	TRUE	TRUE
group_2302	TRUE	FALSE	FALSE	TRUE	FALSE
group_2335	TRUE	FALSE	FALSE	FALSE	FALSE
group_3057	TRUE	FALSE	FALSE	FALSE	FALSE
group_3274	TRUE	FALSE	FALSE	FALSE	FALSE
group_3275	TRUE	FALSE	FALSE	FALSE	FALSE
group_2626	TRUE	FALSE	TRUE	TRUE	TRUE
group_1240	TRUE	FALSE	FALSE	TRUE	TRUE
group_2296	TRUE	FALSE	FALSE	FALSE	FALSE
group_1772	TRUE	FALSE	FALSE	FALSE	TRUE
group_1765	TRUE	TRUE	FALSE	FALSE	FALSE
group_2657	TRUE	FALSE	FALSE	FALSE	FALSE
group_2655	TRUE	FALSE	FALSE	TRUE	FALSE
group_2663	TRUE	FALSE	TRUE	FALSE	FALSE
group_3276	TRUE	FALSE	FALSE	FALSE	FALSE
group_3273	TRUE	FALSE	FALSE	FALSE	FALSE
group_2376	TRUE	FALSE	FALSE	FALSE	FALSE
group_3055	TRUE	FALSE	FALSE	FALSE	FALSE
group_3383	TRUE	FALSE	FALSE	FALSE	FALSE
group_2354	TRUE	FALSE	FALSE	FALSE	FALSE
group_2356	TRUE	FALSE	FALSE	FALSE	FALSE
group_2739	TRUE	FALSE	FALSE	FALSE	FALSE
group_3083	TRUE	FALSE	FALSE	FALSE	FALSE
group_3375	TRUE	FALSE	FALSE	FALSE	FALSE
group_3376	TRUE	FALSE	FALSE	FALSE	FALSE
group_160	FALSE	TRUE	TRUE	TRUE	TRUE
group_2029	FALSE	TRUE	TRUE	TRUE	TRUE
group_2030	FALSE	TRUE	TRUE	TRUE	TRUE
group_2031	FALSE	TRUE	TRUE	TRUE	TRUE
group_487	FALSE	TRUE	TRUE	TRUE	TRUE
lysDH	FALSE	TRUE	TRUE	TRUE	TRUE
group_2298	FALSE	TRUE	TRUE	TRUE	FALSE
group_2665	FALSE	TRUE	TRUE	FALSE	FALSE
group_2623	FALSE	TRUE	TRUE	FALSE	TRUE
group_200	FALSE	TRUE	TRUE	FALSE	TRUE
group_2660	FALSE	TRUE	FALSE	FALSE	TRUE
group_2670	FALSE	TRUE	FALSE	TRUE	FALSE
group_1788	FALSE	TRUE	FALSE	TRUE	FALSE
group_3174	FALSE	TRUE	TRUE	TRUE	FALSE
group_2353	FALSE	TRUE	FALSE	FALSE	FALSE
group_2664	FALSE	TRUE	TRUE	FALSE	FALSE
group_2667	FALSE	TRUE	FALSE	FALSE	FALSE
group_2307	FALSE	TRUE	FALSE	FALSE	FALSE
group_3628	FALSE	TRUE	FALSE	FALSE	FALSE
group_2676	FALSE	FALSE	TRUE	FALSE	TRUE
group_2666	FALSE	FALSE	TRUE	TRUE	FALSE
group_2304	FALSE	FALSE	TRUE	TRUE	FALSE
group_2452	FALSE	FALSE	TRUE	FALSE	TRUE
group_2453	FALSE	FALSE	TRUE	FALSE	TRUE
group_1966	FALSE	FALSE	TRUE	FALSE	TRUE
group_3005	FALSE	FALSE	TRUE	TRUE	FALSE
group_3032	FALSE	FALSE	TRUE	TRUE	FALSE
group_1245	FALSE	FALSE	TRUE	FALSE	TRUE
group_3002	FALSE	FALSE	TRUE	TRUE	FALSE
group_1243	FALSE	FALSE	TRUE	FALSE	TRUE
group_3254	FALSE	FALSE	TRUE	TRUE	FALSE
group_3255	FALSE	FALSE	TRUE	TRUE	FALSE
group_2628	FALSE	FALSE	TRUE	TRUE	FALSE
group_3003	FALSE	FALSE	TRUE	TRUE	FALSE
group_1775	FALSE	FALSE	TRUE	FALSE	FALSE
group_1778	FALSE	FALSE	TRUE	FALSE	FALSE
group_2299	FALSE	FALSE	TRUE	FALSE	FALSE
group_2366	FALSE	FALSE	TRUE	FALSE	FALSE
group_2625	FALSE	FALSE	TRUE	FALSE	FALSE
group_2646	FALSE	FALSE	TRUE	FALSE	FALSE
group_2620	FALSE	FALSE	TRUE	FALSE	FALSE
group_2638	FALSE	FALSE	TRUE	FALSE	FALSE
group_3344	FALSE	FALSE	TRUE	FALSE	FALSE
group_2632	FALSE	FALSE	TRUE	FALSE	FALSE
group_2634	FALSE	FALSE	TRUE	FALSE	FALSE
group_2635	FALSE	FALSE	TRUE	FALSE	FALSE
group_2636	FALSE	FALSE	TRUE	FALSE	FALSE
group_2637	FALSE	FALSE	TRUE	FALSE	FALSE
group_2639	FALSE	FALSE	TRUE	FALSE	FALSE
group_2640	FALSE	FALSE	TRUE	FALSE	FALSE
group_2642	FALSE	FALSE	TRUE	FALSE	FALSE
group_2643	FALSE	FALSE	TRUE	FALSE	FALSE
group_2644	FALSE	FALSE	TRUE	FALSE	FALSE
group_2645	FALSE	FALSE	TRUE	FALSE	FALSE
group_2575	FALSE	FALSE	FALSE	TRUE	TRUE
group_2319	FALSE	FALSE	FALSE	TRUE	TRUE
group_3006	FALSE	FALSE	FALSE	TRUE	FALSE
group_3026	FALSE	FALSE	FALSE	TRUE	FALSE
group_3149	FALSE	FALSE	FALSE	TRUE	FALSE
group_2379	FALSE	FALSE	FALSE	TRUE	FALSE
group_2624	FALSE	FALSE	FALSE	TRUE	FALSE
group_3401	FALSE	FALSE	FALSE	TRUE	FALSE
group_3403	FALSE	FALSE	FALSE	TRUE	FALSE
group_2355	FALSE	FALSE	FALSE	TRUE	FALSE
group_2381	FALSE	FALSE	FALSE	TRUE	FALSE
group_2780	FALSE	FALSE	FALSE	TRUE	TRUE
group_1766	FALSE	FALSE	FALSE	TRUE	FALSE
bla	FALSE	FALSE	FALSE	TRUE	FALSE
group_2306	FALSE	FALSE	FALSE	TRUE	FALSE
group_2317	FALSE	FALSE	FALSE	TRUE	TRUE
group_2323	FALSE	FALSE	FALSE	TRUE	TRUE
group_2658	FALSE	FALSE	FALSE	TRUE	FALSE
group_2990	FALSE	FALSE	FALSE	TRUE	FALSE
group_3295	FALSE	FALSE	FALSE	TRUE	FALSE
group_3368	FALSE	FALSE	FALSE	TRUE	FALSE
group_3395	FALSE	FALSE	FALSE	TRUE	FALSE
group_914	FALSE	FALSE	FALSE	TRUE	FALSE
group_1774	FALSE	FALSE	FALSE	TRUE	FALSE
group_2295	FALSE	FALSE	FALSE	TRUE	FALSE
group_2328	FALSE	FALSE	FALSE	TRUE	TRUE
group_2349	FALSE	FALSE	FALSE	TRUE	FALSE
tetA	FALSE	FALSE	FALSE	TRUE	FALSE
group_2838	FALSE	FALSE	FALSE	TRUE	TRUE
group_3406	FALSE	FALSE	FALSE	TRUE	FALSE
group_2315	FALSE	FALSE	FALSE	TRUE	FALSE
group_2316	FALSE	FALSE	FALSE	TRUE	FALSE
group_2350	FALSE	FALSE	FALSE	TRUE	FALSE
group_2378	FALSE	FALSE	FALSE	TRUE	FALSE
group_2753	FALSE	FALSE	FALSE	TRUE	FALSE
group_2774	FALSE	FALSE	FALSE	TRUE	TRUE
group_2834	FALSE	FALSE	FALSE	TRUE	FALSE
group_3020	FALSE	FALSE	FALSE	TRUE	FALSE
group_3286	FALSE	FALSE	FALSE	TRUE	FALSE
group_3297	FALSE	FALSE	FALSE	TRUE	FALSE
group_3325	FALSE	FALSE	FALSE	TRUE	FALSE
group_3404	FALSE	FALSE	FALSE	TRUE	FALSE
group_3424	FALSE	FALSE	FALSE	TRUE	FALSE
group_3430	FALSE	FALSE	FALSE	TRUE	FALSE
group_1790	FALSE	FALSE	FALSE	TRUE	FALSE
group_2321	FALSE	FALSE	FALSE	TRUE	FALSE
group_2331	FALSE	FALSE	FALSE	TRUE	TRUE
group_2365	FALSE	FALSE	FALSE	TRUE	FALSE
group_2370	FALSE	FALSE	FALSE	TRUE	FALSE
group_3282	FALSE	FALSE	FALSE	TRUE	FALSE
group_3287	FALSE	FALSE	FALSE	TRUE	FALSE
group_3288	FALSE	FALSE	FALSE	TRUE	FALSE
group_3289	FALSE	FALSE	FALSE	TRUE	FALSE
group_3298	FALSE	FALSE	FALSE	TRUE	FALSE
group_3299	FALSE	FALSE	FALSE	TRUE	FALSE
group_3305	FALSE	FALSE	FALSE	TRUE	FALSE
group_3306	FALSE	FALSE	FALSE	TRUE	FALSE
group_3307	FALSE	FALSE	FALSE	TRUE	FALSE
group_3372	FALSE	FALSE	FALSE	TRUE	FALSE
group_3405	FALSE	FALSE	FALSE	TRUE	FALSE
group_3412	FALSE	FALSE	FALSE	TRUE	FALSE
group_3413	FALSE	FALSE	FALSE	TRUE	FALSE
group_3415	FALSE	FALSE	FALSE	TRUE	FALSE
group_1771	FALSE	FALSE	FALSE	TRUE	FALSE
group_2339	FALSE	FALSE	FALSE	TRUE	FALSE
group_2345	FALSE	FALSE	FALSE	TRUE	FALSE
group_2357	FALSE	FALSE	FALSE	TRUE	FALSE
group_2371	FALSE	FALSE	FALSE	TRUE	FALSE
group_2373	FALSE	FALSE	FALSE	TRUE	FALSE
group_2375	FALSE	FALSE	FALSE	TRUE	FALSE
group_2382	FALSE	FALSE	FALSE	TRUE	FALSE
group_2985	FALSE	FALSE	FALSE	TRUE	FALSE
group_3012	FALSE	FALSE	FALSE	TRUE	FALSE
group_3296	FALSE	FALSE	FALSE	TRUE	FALSE
group_3308	FALSE	FALSE	FALSE	TRUE	FALSE
group_3318	FALSE	FALSE	FALSE	TRUE	FALSE
group_3326	FALSE	FALSE	FALSE	TRUE	FALSE
group_3330	FALSE	FALSE	FALSE	TRUE	FALSE
group_3338	FALSE	FALSE	FALSE	TRUE	FALSE
group_3411	FALSE	FALSE	FALSE	TRUE	FALSE
group_3414	FALSE	FALSE	FALSE	TRUE	FALSE
group_3428	FALSE	FALSE	FALSE	TRUE	FALSE
group_3434	FALSE	FALSE	FALSE	TRUE	FALSE
group_3435	FALSE	FALSE	FALSE	TRUE	FALSE
group_2337	FALSE	FALSE	FALSE	TRUE	FALSE
group_2342	FALSE	FALSE	FALSE	TRUE	FALSE
group_2348	FALSE	FALSE	FALSE	TRUE	FALSE
group_2374	FALSE	FALSE	FALSE	TRUE	FALSE
group_2962	FALSE	FALSE	FALSE	TRUE	FALSE
group_3009	FALSE	FALSE	FALSE	TRUE	FALSE
group_3017	FALSE	FALSE	FALSE	TRUE	FALSE
pepN_1	FALSE	FALSE	FALSE	TRUE	FALSE
group_3285	FALSE	FALSE	FALSE	TRUE	FALSE
group_3294	FALSE	FALSE	FALSE	TRUE	FALSE
group_3301	FALSE	FALSE	FALSE	TRUE	FALSE
group_3302	FALSE	FALSE	FALSE	TRUE	FALSE
hemL	FALSE	FALSE	FALSE	TRUE	FALSE
group_3309	FALSE	FALSE	FALSE	TRUE	FALSE
group_3312	FALSE	FALSE	FALSE	TRUE	FALSE
group_3324	FALSE	FALSE	FALSE	TRUE	FALSE
group_3329	FALSE	FALSE	FALSE	TRUE	FALSE
group_3332	FALSE	FALSE	FALSE	TRUE	FALSE
group_3342	FALSE	FALSE	FALSE	TRUE	FALSE
group_3343	FALSE	FALSE	FALSE	TRUE	FALSE
group_3352	FALSE	FALSE	FALSE	TRUE	FALSE
group_3364	FALSE	FALSE	FALSE	TRUE	FALSE
group_3396	FALSE	FALSE	FALSE	TRUE	FALSE
group_3398	FALSE	FALSE	FALSE	TRUE	FALSE
group_3402	FALSE	FALSE	FALSE	TRUE	FALSE
fliE_1	FALSE	FALSE	FALSE	TRUE	FALSE
group_3426	FALSE	FALSE	FALSE	TRUE	FALSE
group_3429	FALSE	FALSE	FALSE	TRUE	FALSE
group_3433	FALSE	FALSE	FALSE	TRUE	FALSE
group_3436	FALSE	FALSE	FALSE	TRUE	FALSE
group_3437	FALSE	FALSE	FALSE	TRUE	FALSE
group_3440	FALSE	FALSE	FALSE	TRUE	FALSE
group_3448	FALSE	FALSE	FALSE	TRUE	FALSE
group_3454	FALSE	FALSE	FALSE	TRUE	FALSE
group_1821	FALSE	FALSE	FALSE	FALSE	TRUE
group_2401	FALSE	FALSE	FALSE	FALSE	TRUE
group_2406	FALSE	FALSE	FALSE	FALSE	TRUE
group_2450	FALSE	FALSE	FALSE	FALSE	TRUE
group_2461	FALSE	FALSE	FALSE	FALSE	TRUE
group_2474	FALSE	FALSE	FALSE	FALSE	TRUE
group_2250	FALSE	FALSE	FALSE	FALSE	TRUE
group_2599	FALSE	FALSE	FALSE	FALSE	TRUE
group_2678	FALSE	FALSE	FALSE	FALSE	TRUE
group_2309	FALSE	FALSE	FALSE	FALSE	TRUE
group_2679	FALSE	FALSE	FALSE	FALSE	TRUE
group_2463	FALSE	FALSE	FALSE	FALSE	TRUE
group_2473	FALSE	FALSE	FALSE	FALSE	TRUE
group_2673	FALSE	FALSE	FALSE	FALSE	TRUE
group_2682	FALSE	FALSE	FALSE	FALSE	TRUE
group_2672	FALSE	FALSE	FALSE	FALSE	TRUE
group_2310	FALSE	FALSE	FALSE	FALSE	TRUE
group_2674	FALSE	FALSE	FALSE	FALSE	TRUE
group_2611	FALSE	FALSE	FALSE	FALSE	TRUE
group_2469	FALSE	FALSE	FALSE	FALSE	TRUE
group_2656	FALSE	FALSE	FALSE	FALSE	TRUE
group_2694	FALSE	FALSE	FALSE	FALSE	TRUE
group_2320	FALSE	FALSE	FALSE	FALSE	TRUE
group_2693	FALSE	FALSE	FALSE	FALSE	TRUE
group_2322	FALSE	FALSE	FALSE	FALSE	TRUE
group_2605	FALSE	FALSE	FALSE	FALSE	TRUE
group_2797	FALSE	FALSE	FALSE	FALSE	TRUE
group_2798	FALSE	FALSE	FALSE	FALSE	TRUE
group_2799	FALSE	FALSE	FALSE	FALSE	TRUE
group_2816	FALSE	FALSE	FALSE	FALSE	TRUE
group_2311	FALSE	FALSE	FALSE	FALSE	TRUE
group_2318	FALSE	FALSE	FALSE	FALSE	TRUE
group_2325	FALSE	FALSE	FALSE	FALSE	TRUE
group_2329	FALSE	FALSE	FALSE	FALSE	TRUE
group_2332	FALSE	FALSE	FALSE	FALSE	TRUE
group_2775	FALSE	FALSE	FALSE	FALSE	TRUE
group_2777	FALSE	FALSE	FALSE	FALSE	TRUE
group_2783	FALSE	FALSE	FALSE	FALSE	TRUE
group_2849	FALSE	FALSE	FALSE	FALSE	TRUE
group_2852	FALSE	FALSE	FALSE	FALSE	TRUE
group_2854	FALSE	FALSE	FALSE	FALSE	TRUE
group_2874	FALSE	FALSE	FALSE	FALSE	TRUE
group_2890	FALSE	FALSE	FALSE	FALSE	TRUE
group_3373	FALSE	FALSE	FALSE	FALSE	TRUE
