Gene	00-2782 2000	00-2956-4 2000	00-3099-5733 2000	00-3099-5734 2000	00-4216 2000	01-3016-5171 2001	02-5863-1 Unknown	02-7258 Unknown	1-VerB 2013	11-1823-3434 Unknown	128 1986	133 1998	16M-VerB Unknown	16M-VerC Unknown	1 2011	2007BM-1 2007	2008724259 2007	2010724553 2010	2011TE116411 2011	2011TE116911 2011	2011TE117111 2011	2011TE1178211 2011	2011TE1178911 2011	2011TE1179111 2011	2011TE1179311 2011	2011TE1179811 2011	2011TE1180211 2011	2011TE1180311 2011	2011TE1180511 2011	2011TE1181011 2011	2011TE1181411 2011	2011TE1181511 2011	2011TE1182111 2011	2011TE1182611 2011	2011TE1182811 2011	2011TE1184211 2011	2011TE1184411 2011	2011TE1237211 2011	2011TE1237311 2011	2011TE1284111 2011	2011TE1284911 2011	2011TE1354111 2011	2011TE1951311 2011	2011TE199411 2011	2011TE199511 2011	2011TE2103111 2011	2011TE2168711 2011	2011TE229911 2011	2011TE246111 2011	2011TE392211 2011	2011TE446711 2011	2011TE447111 2011	2011TE447411 2011	2011TE447811 2011	2011TE447911 2011	2011TE448011 2011	2011TE448411 2011	2011TE448611 2011	2011TE448811 2011	2011TE449111 2011	2011TE449611 2011	2011TE450011 2011	2011TE605711 2011	2011TE607611 2011	2011TE629911 2011	2011TE629912 2011	2011TE683711 2011	2011TE683811 2011	2011TE683911 2011	2011TE684011 2011	2011TE684411 2011	2011TE74411 2011	2011TE755611 2011	2012TE1848511 2012	2012TE2422611 2012	2012TE2424011 2012	2013TE1352811 2013	2013TE1500311 2013	2013TE1500511 2013	2013TE1501611 2013	2013TE1501911 2013	2013TE1502111 2013	2013TE1502811 2013	2013TE1502911 2013	2013TE254711 2013	2014TE1651012 2014	2014TE1651017 2014	2015CB2220119 2015	2015CB3742120 2015	2015CB3742127 2015	2015IS2529114 2015	2015IS2533111 2015	2015IS2547111 2015	2015IS256619 2015	2015IS3088130 2015	2015IS3088136 2015	2015IS3088142 2015	2015IS341317 2015	2015IS368118 2015	2015IS508818 2015	2015IS594717 2015	2015IS604318 2015	2015TE1184311 2015	2015TE1184511 2015	2015TE1184711 2015	2015TE1184712 2015	2015TE1184913 2015	2015TE1614211 2015	2015TE1614212 2015	2015TE1616512 2015	2015TE1617311 2015	2015TE1618111 2015	2015TE1618911 2015	2015TE1619411 2015	2015TE1620011 2015	2015TE2182411 2015	2015TE2182511 2015	2015TE2627011 2015	2016CB126517 2016	2016TE1727011 2016	2016TE1727111 2016	2016TE600811 2016	2016TE634411 2016	2016TE70312 2015	2016TE70511 2015	2017TE307211 2017	20236 2012	43 Unknown	548 1948	64-150 1964	66-59 1966	ADMAS-G1 2013	ATCC23457 Unknown	B115 1962	B115 Unknown	B15 2018	B29 2018	B7 2016	B9 2018	BB10 2012	BB15 2010	BB17 2010	BB18 2013	BB19 2011	BB1 1973	BB20 2011	BB2 1957	BB3 1980	BB4 1957	BB5 2012	BB6 1963	BB7 1980	BB8 1991	BB9 1990	BCB028 1956	BCB033 2006	BG2-S27 2008	BL 2012	BMM-13-15 2015	BMM-19-15 2015	BMM15-15 2015	BMM26-15 2015	BRUC048 Unknown	BRUC101 Unknown	BY38 2013	BmIND1 2007	BmWS93 2015	Brancorsini	Brm-1252-10-Geo 2010	Brm-1268-11-Geo 2011	Brm-1771-12-Geo 2012	BwIM-AFG-63 2016	BwIM-ALB-46 2015	BwIM-BGR-21 2016	BwIM-IRN-28 2015	BwIM-IRN-37 2015	BwIM-IRQ-11 2014	BwIM-IRQ-32 2014	BwIM-IRQ-43 2015	BwIM-ITA-55 2016	BwIM-JOR-13 2015	BwIM-KWT-42 2016	BwIM-MAR-25 2016	BwIM-SAU-09 2015	BwIM-SOM-36a 2014	BwIM-SOM-36b 2014	BwIM-SYR-01 2015	BwIM-SYR-04 2015	BwIM-SYR-05 2015	BwIM-SYR-07 2015	BwIM-SYR-08 2016	BwIM-SYR-10 2016	BwIM-SYR-14 2015	BwIM-SYR-23 2016	BwIM-SYR-26 2015	BwIM-SYR-31 2015	BwIM-SYR-34 2015	BwIM-SYR-41 2016	BwIM-SYR-53 2015	BwIM-TKM-56 2015	BwIM-TUR-02 2016	BwIM-TUR-03 2014	BwIM-TUR-17 2014	BwIM-TUR-19 2014	BwIM-TUR-24 2015	BwIM-TUR-27 2015	BwIM-TUR-30 2014	BwIM-TUR-38 2015	BwIM-TUR-39 2014	BwIM-TUR-40 2014	BwIM-TUR-51 2014	BwIM-TUR-59 2014	BwIM-TUR-5 2014	BwIM-TUR-60 2014	BwIM-XXX-12 2015	BwIM-XXX-22 2015	BwIM-XXX-54 2015	BwIMITA-45 2015	C-554 2012	C-555 2012	C-558 2013	C-567 2014	C-568 2014	C-569 2014	C-570 2014	C-571 2014	C-572 2014	C-573 2014	CIIMS-BH-2 2016	CIIMS-NV-1 2016	CIIMS-NV-5 2016	CIIMS-PH-3 2016	CIT21 2015	CIT31 2015	CIT43 2015	CNGB1076 2006	CNGB1120 2006	CNGB290 1996	Ether-VerA Unknown	Ether-VerB Unknown	F1-06B10 2006	F10-05-2 2005	F10-06-16 2006	F15-06-7 2006	F2-06-6 2006	F3-02 2002	F5-07-239A 2007	F6-05-6 2005	F8-01-155 2001	F9-05 2005	Human-CT-US-1995 1995	I-136 1959	I-160 1961	I-194 1965	I-216 1970	I-280 1983	I-308 1986	I-338 1993	I-340 1995	I-349 1999	I-370 2010	KIV-L 2014	KSA-BM-07 2017	KU-RCF-03 2014	KU-RCF-31 2014	KU-RCF-64 2014	KU-RCF-84 2014	KU-RCF-96 2014	LMN17 2018	LMN18 2018	LMN19 2018	LMN20 2018	M28-12 Unknown	M28 Unknown	MY1483-09 2009	NCTC10508 1963	NCTC10509 1961	NCTC8223 1900or1951	NCTC8334 1900or1951	NIPH-Bru11 2010	NIPH-Bru13 2010	NIPH-Bru1 2005	NIPH-Bru24 2012	NIPH-Bru2 2006	NIPH-Bru37 2013	NIPH-Bru40 2014	NIPH-Bru41 2014	NIPH-Bru43 2015	NIPH-Bru44 2015	NIPH-Bru45 2016	NIPH-Bru46 2016	NIPH-Bru47 2016	NIPH-Bru48 2016	NIPH-Bru4 2006	NIPH-Bru5 1999	NIPH-Bru6 1999	NIPH-Bru7 2002	NIPH-Bru8 2003	NIPH-Bru9 2003	NI 2007	Phil1136-12 2012	QH61 2015	QY1 2015	R3-07-2 2007	SKN25 2015	Sep-63 Unknown	UBA11147 Unknown	UBA11435 Unknown	UBA8483 Unknown	UBA8756 Unknown	UK14-06 2006	UK19-04 2005	UK22-04 2004	UK22-06 2006	UK23-06 2006	UK29-05 2005	UK3-06 2006	UK31-99 1999	UK37-05 2005	Uk24-06 2006	VRI-6856-11 2011	VRI4799-15 2015	VRI6530-11 2011
group_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nosZ_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ybeY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
comM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pyrF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1005	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_1006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
