Sample	Country	Host	ST
00-2529-3_2000	France	Sheep	11
00-2782_2000	France	Sheep	11
00-2956-4_2000 (why gone, did delete for a reason)	France	NA	NA
00-3099-5733_2000	France	Sheep	11
00-3099-5734_2000	France	Goat	11
00-4216_2000	France	Human	11
01-3016-5171_2001	France	Cattle	11
02-5863-1_Unknown	NA	NA	8
02-7258_Unknown	NA	NA	8
1_2002	NA	NA	NA
1_2005	NA	NA	NA
1_2009	NA	NA	NA
1_2011	Norway	Human	8
1-VerA_1999	NA	NA	NA
1-VerA_2003	NA	NA	NA
1-VerA_2006	NA	NA	NA
1-VerA_2010	NA	NA	NA
1-VerA_2012	NA	NA	NA
1-VerA_2013	NA	NA	NA
1-VerA_2014	NA	NA	NA
1-VerA_2015	NA	NA	NA
1-VerA_2016	NA	NA	NA
1-VerB_1999	NA	NA	NA
1-VerB_2003	NA	NA	NA
1-VerB_2006	NA	NA	NA
1-verB_2010	NA	NA	NA
1-VerB_2012	NA	NA	NA
1-VerB_2013	NA	NA	8
1-VerB_2014	NA	NA	NA
1-VerB_2015	NA	NA	NA
1-VerB_2016	NA	NA	NA
1-VerC_2016	NA	NA	NA
1-VerD_2016	NA	NA	NA
11-1823-3434_Unknown	NA	NA	8
128_1986	China	Human	8
133_1998	China	Human	8
16M_2011	China	Goat	NA
16M_Unknown	NA	Goat	NA
16M-VerA_Unknown	NA	Goat	NA
16M-VerB_Unknown	NA	NA	7
16M-VerC_Unknown	NA	NA	7
16M1W_2011	China	Mouse	NA
1955541_Unknown	NA	NA	NA
2007BM-1_2007	India	Human	8
2008724259_2007	United States	Human	11
2008724259_2019	NA	NA	NA
2010724553_2010	Canada	Human	8
2010724553_2019	NA	NA	NA
2011TE116411_2011	Italy	Sheep	43
2011TE116911_2011	Italy	Goat	43
2011TE117111_2011	Italy	Sheep	43
2011TE1178211_2011	Italy	Goat	11
2011TE1178911_2011	Italy	Sheep	11
2011TE1179111_2011	Italy	Sheep	11
2011TE1179311_2011	Italy	Goat	11
2011TE1179811_2011	Italy	Sheep	11
2011TE1180211_2011	Italy	Goat	11
2011TE1180311_2011	Italy	Goat	11
2011TE1180511_2011	Italy	Cattle	11
2011TE1181011_2011	Italy	Goat	11
2011TE1181411_2011	Italy	Sheep	11
2011TE1181511_2011	Italy	Sheep	11
2011TE1182111_2011	Italy	Sheep	11
2011TE1182611_2011	Italy	Sheep	11
2011TE1182811_2011	Italy	Sheep	11
2011TE1184211_2011	Italy	Sheep	11
2011TE1184411_2011	Italy	Sheep	11
2011TE1237211_2011	Italy	Sheep	11
2011TE1237311_2011	Italy	Sheep	11
2011TE1284111_2011	Italy	Sheep	11
2011TE1284911_2011	Italy	Sheep	11
2011TE1354111_2011	Italy	Goat	11
2011TE1951311_2011	Italy	Human	8
2011TE199411_2011	Italy	Sheep	11
2011TE199511_2011	Italy	Goat	11
2011TE2103111_2011	Italy	Goat	7
2011TE2168711_2011	Italy	Sheep	43
2011TE229911_2011	Italy	Sheep	43
2011TE246111_2011	Italy	Goat	11
2011TE392211_2011	Italy	Goat	11
2011TE446711_2011	Italy	Sheep	11
2011TE447111_2011	Italy	Sheep	11
2011TE447411_2011	Italy	Sheep	11
2011TE447811_2011	Italy	Sheep	11
2011TE447911_2011	Italy	Sheep	11
2011TE448011_2011	Italy	Sheep	11
