pos	5pG>A
1	0.204903983197059
2	0.123080355278515
3	0.0855226124258887
4	0.0657094670516297
5	0.0507118599432707
6	0.0397825030239315
7	0.0314920419714317
8	0.0249668699830892
9	0.0199128677763418
10	0.016635122573998
11	0.0139091583664557
12	0.0117624986378195
13	0.0101477941447473
14	0.00930183595351098
15	0.00809639627680518
16	0.00751776512130453
17	0.00685902780049705
18	0.00643327297877588
19	0.00599969984446486
20	0.00561945156160521
21	0.00550248121887011
22	0.00515479952853286
23	0.00478473336238792
24	0.00454904346096935
25	0.00426702467739134
