"","Position","C.T","G.A"
"1",1,0.988201720818833,0.454861116920405
"2",2,0.982693815315896,0.459227921657913
"3",3,0.97502389332168,0.43994935671272
"4",4,0.964709414675032,0.420224244959071
"5",5,0.951400697908033,0.416847171958696
"6",6,0.934992460955103,0.4370087908764
"7",7,0.915823603684048,0.470683036691061
"8",8,0.894818372854257,0.505543401876081
"9",9,0.873448540254082,0.534608551184206
"10",10,0.853177339168151,0.558044311933394
"11",11,0.83498411860405,0.577736019591484
"12",12,0.819115985905926,0.595709227856197
"13",-12,0.585524494729504,0.821010962756671
"14",-11,0.566848124836378,0.836516947785727
"15",-10,0.547428939049459,0.854242025351788
"16",-9,0.525376465253556,0.874048051587275
"17",-8,0.496518843254941,0.895158243881176
"18",-7,0.459545589783388,0.916047561283044
"19",-6,0.425017080908575,0.935107181672565
"20",-5,0.408527644082064,0.951425451970905
"21",-4,0.416676745471902,0.964698539234234
"22",-3,0.443063211675797,0.975000421509821
"23",-2,0.471772375165591,0.982668541227548
"24",-1,0.486955460140731,0.988177375489489
