"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0113748944271887,0.011911618612642,0.565652156055692,0.339465225687637,0.257226884248089,-35046.3903715661
"Std.",2.54266699035595e-05,7.80951248751565e-05,0.00112285150554778,0.00069863080370481,0.000888032091243886,1.61646952293574
"Acceptance ratio",0.1564,0.20282,0.15552,0.14672,0.2055,0.6139
"0%",0.011286333918909,0.0116074378665972,0.561519065722316,0.336964762859633,0.253665941575645,-35057.4719928109
"2.5%",0.0113247431534354,0.0117562136450571,0.563405412209557,0.338066660769295,0.255537630414107,-35050.4066970924
"5%",0.0113320599511952,0.0117830111449955,0.56379778748475,0.338311558720205,0.255792439691034,-35049.4759012074
"7.5%",0.011337404392552,0.0117978931748382,0.564042208737007,0.338452762335015,0.25595725597723,-35048.9227421464
"10%",0.011341887353889,0.0118104461637908,0.56422035561877,0.338570750131043,0.256085484966273,-35048.552879577
"12.5%",0.011345700436983,0.0118203395262121,0.564352794713447,0.338655607578222,0.256213805565675,-35048.2388024904
"15%",0.0113483501609558,0.0118300180451579,0.564483255576455,0.338735356520102,0.256305162159099,-35047.9948832307
"17.5%",0.0113512495682286,0.0118382361693943,0.564614570073726,0.338815960248463,0.25639813118683,-35047.7641294601
"20%",0.0113535421987996,0.0118453635911431,0.56471774916462,0.338879406789524,0.256485337796651,-35047.5621102979
"22.5%",0.0113556697796964,0.0118510336464357,0.56482909883615,0.338952806191134,0.256571645680967,-35047.3884527707
"25%",0.0113575789609917,0.0118573335916541,0.564909952755541,0.339016560745452,0.256626142732574,-35047.2187430658
"27.5%",0.0113592117918912,0.0118640017807678,0.565002100940048,0.33906289965646,0.256693019996489,-35047.0775430947
"30%",0.0113611876589643,0.0118703873455195,0.565078575825327,0.339118218217924,0.25675623707953,-35046.9355967558
"32.5%",0.011363162260367,0.0118768740003878,0.565154434757305,0.339160559276878,0.256809016536522,-35046.7990861519
"35%",0.0113648299784305,0.0118825146966675,0.56522783067879,0.339205013426931,0.25686492424861,-35046.6773437746
"37.5%",0.0113671010866992,0.011887587559508,0.565298607880627,0.339239995984611,0.256919402035833,-35046.5592522685
"40%",0.0113688055668695,0.0118931907104669,0.565375407476673,0.339282889114052,0.256981417043094,-35046.4517280529
"42.5%",0.0113704905613651,0.011897897323041,0.565449332372795,0.339332171204096,0.257040327188305,-35046.3505455694
"45%",0.0113720493288138,0.0119030754447366,0.565525203690619,0.339382517136353,0.257091283748956,-35046.2491732957
"47.5%",0.0113738128759559,0.0119077711580032,0.565589565814208,0.339423620110895,0.257156451339389,-35046.1496510791
"50%",0.0113752956545161,0.0119122110385892,0.565659334523598,0.339458689000236,0.257215746196381,-35046.0534661937
"52.5%",0.0113769240606977,0.0119178977687606,0.565717295083984,0.339511983560318,0.257284825990052,-35045.9559314133
"55%",0.0113787098654745,0.0119229972756379,0.565783324892108,0.339563806614302,0.257344723521146,-35045.8723467238
"57.5%",0.0113803632966546,0.0119275500302635,0.565860268221319,0.339606336129422,0.257403374783109,-35045.7873372044
"60%",0.0113821669607823,0.0119321849632061,0.56594493480146,0.339651779670593,0.257467040086286,-35045.701132889
"62.5%",0.0113836995874385,0.0119377107804673,0.566008448900611,0.339697896021857,0.257533396043921,-35045.6161526798
"65%",0.0113853226752021,0.0119425639745404,0.566091232133282,0.339738080546512,0.257588531506784,-35045.5345771571
"67.5%",0.011386762787311,0.0119485258798625,0.566178227875132,0.339788801425843,0.25764184563099,-35045.4518903728
"70%",0.011388235610927,0.0119537348963313,0.566256704228648,0.339836811174355,0.257699058225655,-35045.3662364153
"72.5%",0.0113904468671205,0.0119593986437479,0.566329928341112,0.339899577022099,0.25776332044772,-35045.2774157359
"75%",0.0113923162061466,0.0119652053796519,0.566413282823231,0.339947070074374,0.257825778626867,-35045.1950837113
"77.5%",0.0113946880844013,0.0119714903690179,0.566500565706605,0.340004675602897,0.257900775140951,-35045.1190275429
"80%",0.0113965421811669,0.0119776029948423,0.566593654173137,0.340055685156291,0.257976665544612,-35045.0330000819
"82.5%",0.0113991777738094,0.0119846161945417,0.56670248028321,0.340119997434912,0.258052996307182,-35044.9423339217
"85%",0.0114015025138515,0.0119924989656748,0.56681308381782,0.340187435198984,0.25813651891335,-35044.8597917189
"87.5%",0.0114043659161753,0.0120004865633727,0.566940694896677,0.340268891145548,0.258252249588826,-35044.7696611315
"90%",0.0114076379529657,0.0120105806832709,0.567108145096474,0.340363630418799,0.258366105564012,-35044.6635297005
"92.5%",0.0114109875471908,0.0120215350956999,0.567264118404102,0.340457828227495,0.258496569306696,-35044.5541161845
"95%",0.0114151576757222,0.0120369731932212,0.567501256212986,0.340565305133302,0.258679345868014,-35044.4311434182
"97.5%",0.0114228919722591,0.0120625311000278,0.567839939811337,0.340774084366767,0.258947956100634,-35044.279756603
"100%",0.0114704862834527,0.0122133971101491,0.569748246719497,0.341966414450337,0.260846858069891,-35043.8548359779
