pos	5pG>A
1	0.0674825508577776
2	0.0557735332974832
3	0.0358215740471341
4	0.029930996450842
5	0.0249520756732975
6	0.0213828380857823
7	0.0182070765539161
8	0.0153350190495014
9	0.0133217167481274
10	0.0120599618770032
11	0.0105076283321372
12	0.00958441942749214
13	0.00855494971268182
14	0.00784108008117174
15	0.00723892289220136
16	0.0067532319038397
17	0.00643062240851302
18	0.00585533382588397
19	0.00578165293583872
20	0.00547961018336493
21	0.00523634463582585
22	0.00522810336128527
23	0.00470468944440702
24	0.00440873910061722
25	0.00431376082347598
