# table produced by mapDamage version 2.0.3
# using mapped file tmp1.sam and ../BmelReference/GCF_000007125.1_ASM712v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	27	1
+	28	18
+	29	115
+	30	71569
+	31	67780
+	32	63612
+	33	62897
+	34	58239
+	35	53526
+	36	51309
+	37	46993
+	38	42523
+	39	40468
+	40	36694
+	41	32904
+	42	31299
+	43	28209
+	44	25065
+	45	23878
+	46	20970
+	47	18768
+	48	17600
+	49	15490
+	50	13797
+	51	12943
+	52	11538
+	53	10050
+	54	9313
+	55	8370
+	56	7498
+	57	7018
+	58	6088
+	59	5552
+	60	5006
+	61	4327
+	62	3854
+	63	3519
+	64	3160
+	65	2834
+	66	2787
+	67	2345
+	68	2077
+	69	1931
+	70	1729
+	71	1609
+	72	1444
+	73	1278
+	74	1079
+	75	1054
+	76	878
+	77	782
+	78	747
+	79	667
+	80	585
+	81	533
+	82	540
+	83	415
+	84	431
+	85	380
+	86	301
+	87	289
+	88	258
+	89	221
+	90	237
+	91	198
+	92	162
+	93	176
+	94	159
+	95	114
+	96	119
+	97	114
+	98	90
+	99	83
+	100	72
+	101	69
+	102	61
+	103	63
+	104	49
+	105	66
+	106	45
+	107	35
+	108	37
+	109	32
+	110	29
+	111	22
+	112	21
+	113	20
+	114	20
+	115	25
+	116	14
+	117	17
+	118	17
+	119	9
+	120	20
+	121	10
+	122	4
+	123	7
+	124	11
+	125	5
+	126	8
+	127	5
+	128	7
+	129	5
+	130	10
+	131	3
+	132	4
+	133	5
+	134	5
+	135	5
+	136	3
+	137	1
+	138	2
+	139	3
+	140	2
+	141	7
+	142	2
+	143	2
+	145	2
+	147	2
+	148	1
+	149	2
+	151	1
+	152	1
+	153	2
+	154	1
+	158	1
+	163	1
+	164	1
+	170	1
-	27	2
-	28	9
-	29	86
-	30	71137
-	31	67908
-	32	63972
-	33	62832
-	34	58486
-	35	53373
-	36	51404
-	37	46949
-	38	42864
-	39	40655
-	40	36650
-	41	32938
-	42	31451
-	43	28080
-	44	25083
-	45	23653
-	46	20934
-	47	18732
-	48	17660
-	49	15694
-	50	13723
-	51	13121
-	52	11311
-	53	10052
-	54	9245
-	55	8317
-	56	7377
-	57	6937
-	58	6023
-	59	5442
-	60	5053
-	61	4387
-	62	3848
-	63	3596
-	64	3272
-	65	2825
-	66	2715
-	67	2438
-	68	2070
-	69	1930
-	70	1827
-	71	1614
-	72	1438
-	73	1276
-	74	1156
-	75	995
-	76	865
-	77	781
-	78	833
-	79	670
-	80	588
-	81	524
-	82	483
-	83	434
-	84	424
-	85	407
-	86	325
-	87	324
-	88	270
-	89	213
-	90	195
-	91	215
-	92	148
-	93	162
-	94	146
-	95	127
-	96	128
-	97	124
-	98	87
-	99	79
-	100	78
-	101	83
-	102	73
-	103	60
-	104	53
-	105	46
-	106	42
-	107	39
-	108	36
-	109	33
-	110	29
-	111	24
-	112	25
-	113	29
-	114	13
-	115	20
-	116	16
-	117	9
-	118	12
-	119	18
-	120	14
-	121	9
-	122	10
-	123	10
-	124	10
-	125	6
-	126	4
-	127	6
-	128	15
-	129	6
-	130	4
-	131	4
-	132	4
-	133	4
-	134	1
-	135	1
-	136	3
-	137	2
-	138	1
-	139	3
-	140	1
-	141	1
-	143	1
-	144	3
-	145	1
-	146	1
-	147	1
-	149	1
-	150	1
-	151	1
-	152	1
-	155	1
-	159	2
-	161	1
-	165	2
-	166	1
-	167	1
