pos	5pG>A
1	0.184973494832233
2	0.109984060281119
3	0.0630914826498423
4	0.0385780439399742
5	0.0317465922734656
6	0.0226948472079366
7	0.0208748882316528
8	0.0176991150442478
9	0.0156861399052653
10	0.0160639825005127
11	0.0143056756936589
12	0.0145585308801452
13	0.0153534081768265
14	0.0155748505017061
15	0.0167056235391173
16	0.0160829910185894
17	0.016837061780882
18	0.0175340940718063
19	0.018409781707654
20	0.0185437687482956
21	0.0202198111878258
22	0.0190449614566256
23	0.0179794520547945
24	0.0174698375061022
25	0.0172261950893014
