pos	5pG>A
1	0.065345368615097
2	0.0540881543475354
3	0.034964171705774
4	0.0288677971188475
5	0.02416073056653
6	0.0207763362619947
7	0.0177218770821624
8	0.0150093130074685
9	0.0129286061939272
10	0.0118109574458151
11	0.0103457634280906
12	0.00942831980024582
13	0.00842368546566869
14	0.00767123087222297
15	0.00720136459164129
16	0.00670210044623824
17	0.00632077277613347
18	0.00585148014341787
19	0.00579545908288001
20	0.00543415788166106
21	0.00525367727749975
22	0.00519292810986235
23	0.00469684592054236
24	0.00439315441648619
25	0.00444226228051717
