pos	5pC>T
1	0.0661022386716641
2	0.0544779877358457
3	0.0514844912305659
4	0.0275046541718304
5	0.0310123451108529
6	0.0225528794194843
7	0.0178244930245138
8	0.0152503867851721
9	0.0130664267334506
10	0.0118700553079005
11	0.0100286663495691
12	0.00894326393360521
13	0.00820407544003252
14	0.00746678318789599
15	0.00696035907936514
16	0.00667003423274889
17	0.00611482864431217
18	0.00589215732196668
19	0.00524928929647434
20	0.0050866287429822
21	0.00495627742526123
22	0.00472503428845028
23	0.00447711602394553
24	0.00437231081997736
25	0.00395243885646906
