# table produced by mapDamage version 2.0.3
# using mapped file tmp1.sam and Reference/GCF_000007125.1_ASM712v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	27	30
+	28	144
+	29	954
+	30	66362
+	31	63251
+	32	59563
+	33	58782
+	34	54438
+	35	50273
+	36	48052
+	37	44081
+	38	39996
+	39	38098
+	40	34489
+	41	31160
+	42	30178
+	43	27368
+	44	24488
+	45	23242
+	46	20404
+	47	18418
+	48	17089
+	49	15091
+	50	13625
+	51	12527
+	52	11143
+	53	9864
+	54	9018
+	55	8122
+	56	7291
+	57	6905
+	58	5923
+	59	5440
+	60	4808
+	61	4227
+	62	3744
+	63	3358
+	64	3219
+	65	2875
+	66	2698
+	67	2317
+	68	2036
+	69	1889
+	70	1745
+	71	1593
+	72	1424
+	73	1269
+	74	1068
+	75	1037
+	76	863
+	77	743
+	78	742
+	79	660
+	80	586
+	81	531
+	82	525
+	83	396
+	84	417
+	85	371
+	86	308
+	87	293
+	88	259
+	89	218
+	90	229
+	91	194
+	92	167
+	93	172
+	94	158
+	95	120
+	96	116
+	97	114
+	98	95
+	99	88
+	100	75
+	101	73
+	102	64
+	103	55
+	104	48
+	105	69
+	106	42
+	107	36
+	108	41
+	109	32
+	110	27
+	111	25
+	112	21
+	113	22
+	114	21
+	115	26
+	116	15
+	117	19
+	118	16
+	119	10
+	120	15
+	121	11
+	122	3
+	123	9
+	124	9
+	125	10
+	126	8
+	127	6
+	128	6
+	129	7
+	130	10
+	131	2
+	132	4
+	133	6
+	134	4
+	135	4
+	136	3
+	137	1
+	138	1
+	139	5
+	140	3
+	141	6
+	142	2
+	143	3
+	146	1
+	147	1
+	148	1
+	149	2
+	151	1
+	152	2
+	153	2
+	154	1
+	163	2
+	164	1
-	27	45
-	28	146
-	29	968
-	30	64895
-	31	62373
-	32	59074
-	33	58083
-	34	53993
-	35	49512
-	36	47413
-	37	43380
-	38	39734
-	39	37478
-	40	33845
-	41	30730
-	42	30037
-	43	26859
-	44	24186
-	45	22695
-	46	20161
-	47	18135
-	48	16889
-	49	15026
-	50	13325
-	51	12498
-	52	10857
-	53	9837
-	54	8890
-	55	7997
-	56	7159
-	57	6632
-	58	5759
-	59	5248
-	60	4814
-	61	4205
-	62	3684
-	63	3365
-	64	3267
-	65	2821
-	66	2669
-	67	2369
-	68	2046
-	69	1857
-	70	1781
-	71	1563
-	72	1406
-	73	1230
-	74	1120
-	75	964
-	76	849
-	77	790
-	78	815
-	79	649
-	80	564
-	81	517
-	82	458
-	83	407
-	84	429
-	85	392
-	86	315
-	87	291
-	88	268
-	89	212
-	90	196
-	91	206
-	92	172
-	93	159
-	94	145
-	95	131
-	96	133
-	97	119
-	98	87
-	99	80
-	100	87
-	101	85
-	102	68
-	103	61
-	104	55
-	105	42
-	106	41
-	107	43
-	108	36
-	109	33
-	110	22
-	111	24
-	112	28
-	113	23
-	114	13
-	115	24
-	116	17
-	117	8
-	118	15
-	119	19
-	120	11
-	121	10
-	122	12
-	123	10
-	124	9
-	125	8
-	126	4
-	127	7
-	128	12
-	129	7
-	130	3
-	131	3
-	132	3
-	133	5
-	134	1
-	135	1
-	136	3
-	137	3
-	139	3
-	140	1
-	141	1
-	143	1
-	144	2
-	145	1
-	146	1
-	149	1
-	150	1
-	151	1
-	152	1
-	155	2
-	159	2
-	165	2
-	166	2
