pos	5pC>T
1	0.204565639809322
2	0.122683908196951
3	0.0842870726541903
4	0.0636586192610448
5	0.0498590669151607
6	0.0390979400399432
7	0.0308133430256037
8	0.0242513495870475
9	0.0196240021765562
10	0.016277094972067
11	0.0135512871256045
12	0.0116046301823617
13	0.00983744119406183
14	0.00880757063904402
15	0.00796245245332956
16	0.00731963688485428
17	0.00669528515475036
18	0.00630574475560139
19	0.00575231810683202
20	0.00552970130248334
21	0.00525887600274935
22	0.00494906828861149
23	0.00478815462779498
24	0.00450488916756059
25	0.00414913847749669
