# table produced by mapDamage version 2.0.3
# using mapped file tmp1.sam and /home/sam/Scratch/Databases/hg38Poinar/Hardmasked/hg38Hard.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	27	167
+	28	1731
+	29	5169
+	30	224002
+	31	215205
+	32	201598
+	33	185978
+	34	168724
+	35	150349
+	36	133794
+	37	118042
+	38	103334
+	39	89168
+	40	77593
+	41	66525
+	42	59421
+	43	51482
+	44	43618
+	45	37357
+	46	31789
+	47	27520
+	48	23400
+	49	20094
+	50	16874
+	51	14376
+	52	12364
+	53	10459
+	54	9003
+	55	7730
+	56	6450
+	57	5414
+	58	4741
+	59	4011
+	60	3498
+	61	3044
+	62	2497
+	63	2230
+	64	1974
+	65	1701
+	66	1460
+	67	1253
+	68	1104
+	69	890
+	70	807
+	71	639
+	72	563
+	73	518
+	74	444
+	75	393
+	76	344
+	77	274
+	78	268
+	79	212
+	80	192
+	81	168
+	82	132
+	83	116
+	84	85
+	85	91
+	86	63
+	87	79
+	88	42
+	89	57
+	90	59
+	91	43
+	92	33
+	93	29
+	94	27
+	95	26
+	96	23
+	97	19
+	98	15
+	99	24
+	100	14
+	101	11
+	102	8
+	103	8
+	104	3
+	105	8
+	106	4
+	107	5
+	108	5
+	109	4
+	110	6
+	111	3
+	112	4
+	113	2
+	114	2
+	115	4
+	116	1
+	117	3
+	120	1
+	121	1
+	122	2
+	123	1
+	125	1
+	127	2
+	131	1
+	132	1
+	136	1
+	139	1
+	140	1
-	27	158
-	28	1701
-	29	5116
-	30	223836
-	31	215779
-	32	201699
-	33	185641
-	34	168282
-	35	150452
-	36	134310
-	37	118021
-	38	103178
-	39	89126
-	40	77196
-	41	66113
-	42	59916
-	43	51196
-	44	44139
-	45	37667
-	46	31995
-	47	27611
-	48	23264
-	49	19927
-	50	17011
-	51	14439
-	52	12368
-	53	10586
-	54	8952
-	55	7550
-	56	6515
-	57	5639
-	58	4786
-	59	3995
-	60	3520
-	61	2981
-	62	2514
-	63	2190
-	64	1891
-	65	1635
-	66	1472
-	67	1198
-	68	1085
-	69	904
-	70	795
-	71	697
-	72	596
-	73	539
-	74	396
-	75	407
-	76	306
-	77	292
-	78	264
-	79	217
-	80	178
-	81	164
-	82	129
-	83	122
-	84	129
-	85	98
-	86	85
-	87	69
-	88	70
-	89	48
-	90	57
-	91	44
-	92	44
-	93	32
-	94	28
-	95	22
-	96	25
-	97	15
-	98	8
-	99	21
-	100	21
-	101	8
-	102	8
-	103	17
-	104	13
-	105	5
-	106	7
-	107	2
-	108	5
-	109	5
-	110	2
-	111	2
-	112	2
-	113	6
-	114	3
-	115	5
-	116	1
-	118	1
-	119	2
-	120	2
-	122	2
-	124	2
-	125	1
-	126	1
-	128	1
-	129	1
-	132	1
-	133	1
-	139	1
-	152	1
