pos	5pG>A
1	0.200515039520789
2	0.120197729430371
3	0.0832657199688739
4	0.0640542825821391
5	0.049550295577991
6	0.0389568935699014
7	0.0307915927989654
8	0.0244498721511696
9	0.0195148780929306
10	0.016330271431397
11	0.013627899005398
12	0.011577058534549
13	0.0100177275503551
14	0.00916066314286338
15	0.00802280359595167
16	0.00748926231343197
17	0.00679650763000882
18	0.00636748060017586
19	0.00592651540964018
20	0.00557512252276928
21	0.00553491858233603
22	0.005151660196068
23	0.00480780093349585
24	0.00459930698333711
25	0.00445536985829733
