pos	5pC>T
1	0.199562386058153
2	0.120409147006437
3	0.0909251602478757
4	0.0602164221124788
5	0.0543225526392958
6	0.0398342863811413
7	0.0307198860408054
8	0.0241882503748298
9	0.0193934621753378
10	0.0162603490059681
11	0.0133906554634243
12	0.0114367075921399
13	0.00972772223386145
14	0.00865635863500475
15	0.00778016426839723
16	0.00739635253104382
17	0.00659669299339522
18	0.00611683728933768
19	0.00558351655401268
20	0.00539866380143223
21	0.00509388804036515
22	0.00481806057395812
23	0.00461958107067126
24	0.00446256127024647
25	0.0040662220190987
