# table produced by mapDamage version 2.0.3
# using mapped file tmp1.sam and /home/sam/Scratch/Databases/hg38Poinar/Hardmasked/hg38Hard.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	27	192
+	28	1887
+	29	6682
+	30	214887
+	31	207240
+	32	194185
+	33	179575
+	34	162990
+	35	145347
+	36	129817
+	37	114647
+	38	100290
+	39	86642
+	40	75624
+	41	65150
+	42	59232
+	43	51654
+	44	43756
+	45	37465
+	46	31866
+	47	27697
+	48	23596
+	49	20109
+	50	16922
+	51	14370
+	52	12346
+	53	10428
+	54	9049
+	55	7701
+	56	6504
+	57	5435
+	58	4739
+	59	4028
+	60	3494
+	61	3009
+	62	2483
+	63	2200
+	64	2006
+	65	1730
+	66	1472
+	67	1263
+	68	1106
+	69	887
+	70	808
+	71	664
+	72	565
+	73	519
+	74	439
+	75	387
+	76	336
+	77	281
+	78	269
+	79	204
+	80	195
+	81	166
+	82	131
+	83	120
+	84	92
+	85	91
+	86	65
+	87	77
+	88	37
+	89	52
+	90	56
+	91	41
+	92	30
+	93	27
+	94	30
+	95	24
+	96	23
+	97	21
+	98	13
+	99	21
+	100	13
+	101	11
+	102	8
+	103	9
+	104	4
+	105	8
+	106	3
+	107	4
+	108	5
+	109	5
+	110	6
+	111	2
+	112	4
+	113	2
+	114	2
+	115	3
+	116	1
+	117	2
+	120	1
+	121	1
+	122	3
+	123	1
+	125	1
+	131	1
+	132	3
+	136	1
+	139	1
+	140	1
-	27	205
-	28	1793
-	29	6552
-	30	214300
-	31	207620
-	32	194365
-	33	179371
-	34	162339
-	35	145460
-	36	130066
-	37	114381
-	38	100090
-	39	86733
-	40	75255
-	41	64950
-	42	59810
-	43	51389
-	44	44188
-	45	37744
-	46	32163
-	47	27650
-	48	23381
-	49	19955
-	50	17073
-	51	14425
-	52	12296
-	53	10594
-	54	8964
-	55	7537
-	56	6500
-	57	5648
-	58	4816
-	59	4007
-	60	3493
-	61	2944
-	62	2493
-	63	2167
-	64	1929
-	65	1681
-	66	1473
-	67	1225
-	68	1069
-	69	910
-	70	795
-	71	705
-	72	592
-	73	541
-	74	386
-	75	404
-	76	312
-	77	297
-	78	260
-	79	211
-	80	177
-	81	155
-	82	122
-	83	122
-	84	130
-	85	90
-	86	82
-	87	71
-	88	70
-	89	48
-	90	67
-	91	48
-	92	40
-	93	35
-	94	26
-	95	22
-	96	23
-	97	17
-	98	8
-	99	25
-	100	20
-	101	7
-	102	8
-	103	15
-	104	12
-	105	5
-	106	6
-	107	2
-	108	5
-	109	5
-	110	2
-	111	2
-	112	1
-	113	4
-	114	3
-	115	4
-	116	1
-	117	1
-	118	3
-	119	2
-	120	2
-	122	1
-	124	1
-	125	1
-	126	1
-	128	1
-	129	1
-	133	1
-	139	1
-	157	1
