pos	3pG>A
1	0.02745611080391
2	0.0220866301819895
3	0.0179160114024638
4	0.0150782488900031
5	0.0124872728527793
6	0.0107742434854816
7	0.00960915940804547
8	0.00861532862854932
9	0.00778719687450602
10	0.0070812750920427
11	0.00658114697004876
12	0.00610715007057488
13	0.00574589095191584
14	0.00564610243995219
15	0.00526141475954132
16	0.0049873124572588
17	0.00473443329562193
18	0.00470210146625828
19	0.00470430210339674
20	0.00451806441379334
21	0.00446177240753392
22	0.00436353388495424
23	0.00432586397264731
24	0.00450140746062039
25	0.00441467006717195
