pos	5pC>T
1	0.0274474197341589
2	0.021697926358553
3	0.0179642995847744
4	0.0146669228105735
5	0.0123446987872783
6	0.0107131127397503
7	0.00916263417411186
8	0.00825888959350042
9	0.00755353205465298
10	0.0069789373684812
11	0.00634894544999959
12	0.00588973000164186
13	0.00550019117373659
14	0.00519378998778139
15	0.0049722044461101
16	0.00469050502172519
17	0.00457681780772102
18	0.00446819459075002
19	0.00439471349466149
20	0.00463617721665038
21	0.00458772647762104
22	0.00416407087721086
23	0.00427422349380371
24	0.00424118864485837
25	0.0042576375884452
