"","Position","C.T","G.A"
"1",1,0.914925044544076,0.530026966403144
"2",2,0.891941837220031,0.558256606940218
"3",3,0.865340868423943,0.566108152338981
"4",4,0.83600769901674,0.56179617360672
"5",5,0.80519158112933,0.55063737771194
"6",6,0.77345956453321,0.539672561948088
"7",7,0.741235225441137,0.532368842908616
"8",8,0.709153363945939,0.529075671537511
"9",9,0.677845425044775,0.529199523679013
"10",10,0.648909272703823,0.53000421731243
"11",11,0.623520292948836,0.530315427256051
"12",12,0.600637319067796,0.53208055023478
"13",-12,0.526101763414847,0.604847281156471
"14",-11,0.517457756727988,0.631335583722034
"15",-10,0.513133887791519,0.657700365355848
"16",-9,0.513911872622609,0.684556916720489
"17",-8,0.517816956775832,0.713206854621347
"18",-7,0.523757405368372,0.743714965210123
"19",-6,0.530911881578103,0.77543960153827
"20",-5,0.538397700350296,0.807325927183719
"21",-4,0.544366635157887,0.838248510144758
"22",-3,0.546128155663787,0.867089186014151
"23",-2,0.537890590138919,0.893035810575003
"24",-1,0.51043313320005,0.915486921272731
