"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0111670544158005,0.00496156448003422,0.0628987950196566,0.244045616595404,0.209788902500896,7483.54043977423
"Std.",2.53176592392694e-05,8.31221117470498e-05,0.000373402444663495,0.00277884900267909,0.000771106267692355,1.59657195749949
"Acceptance ratio",0.15764,0.14288,0.11134,0.12302,0.19082,0.5421
"0%",0.0110640458285201,0.00461778363261056,0.0614612997474457,0.233833444389252,0.206838719850273,7471.99971214047
"2.5%",0.0111165802327382,0.00479986059625538,0.0621877893089147,0.238550014441946,0.208285894522083,7479.58372566072
"5%",0.011125649335751,0.00482603801723795,0.0622972476775363,0.239601951613607,0.208541642166483,7480.49416806708
"7.5%",0.0111308266069315,0.00484433876190359,0.0623733259888289,0.240198229762746,0.208677244064496,7481.01515798087
"10%",0.0111346483441915,0.00485552556998989,0.0624336980914071,0.240619004395762,0.208797561333554,7481.39591433476
"12.5%",0.0111376106414252,0.00486748181816323,0.0624834813903861,0.241018284176317,0.20890301211501,7481.71158729661
"15%",0.0111405858428838,0.00487578548762404,0.0625199669956532,0.241261178791991,0.209003457983683,7481.96041273419
"17.5%",0.0111433956938993,0.00488563709258549,0.062566666279157,0.241501550766732,0.20906717949347,7482.18264558918
"20%",0.011146045320108,0.00489328197336757,0.0626008328250865,0.241780912265949,0.20913126425091,7482.3855450229
"22.5%",0.011148075513045,0.00490028262833794,0.0626309012161678,0.241980943039975,0.209206002648107,7482.56587082322
"25%",0.0111500389008459,0.00490652600419284,0.0626568104406803,0.242173601851213,0.209268691196108,7482.72685530767
"27.5%",0.0111521963494424,0.0049126267786315,0.0626805024932091,0.242340907058998,0.209331292382171,7482.87608775836
"30%",0.0111542438621348,0.004917476294433,0.0627022558527874,0.242531023507882,0.209383738974577,7483.01824411571
"32.5%",0.0111560549794092,0.00492379761478399,0.0627249108223286,0.242722061275375,0.209439078822912,7483.14972865596
"35%",0.0111578565752141,0.00492803379112034,0.0627508606058893,0.242935801098329,0.20948679666937,7483.27244168641
"37.5%",0.0111596102694129,0.00493360981591252,0.0627739938585841,0.243096455925375,0.209539824471731,7483.39176468198
"40%",0.0111611512060263,0.00493881742957617,0.0627957274722651,0.243272171428838,0.209594294000645,7483.49929969449
"42.5%",0.0111625597082111,0.0049443480926061,0.0628182421955577,0.243440417711404,0.209641785780192,7483.59553630951
"45%",0.0111642103427801,0.00494905737327592,0.0628438809878759,0.243604996770201,0.209688796364576,7483.69555087719
"47.5%",0.0111657337415506,0.00495456582287294,0.0628643291965571,0.243766473201363,0.209741503176231,7483.78662842636
"50%",0.0111669941999509,0.00495964316011722,0.0628871654547934,0.243942572593433,0.209789703361226,7483.8766941528
"52.5%",0.0111684706400684,0.00496489143568934,0.0629081420240623,0.244097953729525,0.209836238771983,7483.96327236921
"55%",0.011170114676667,0.00497012709031446,0.0629341585482394,0.244235942424201,0.209888236524902,7484.05013138367
"57.5%",0.0111716771037267,0.00497615359192151,0.0629587572101601,0.244426957462537,0.209931461221608,7484.1311601728
"60%",0.0111735060645677,0.00498199063349594,0.0629793498743839,0.244608710277526,0.209978116233584,7484.21680676724
"62.5%",0.0111750477725964,0.00498734631665844,0.0630059508764602,0.244850678419502,0.210023805552274,7484.29872684911
"65%",0.0111768014047476,0.00499307227214341,0.0630296597735884,0.245066527292748,0.210064699293703,7484.37754273757
"67.5%",0.0111781989881818,0.00499949923747682,0.06305456136892,0.245268781504754,0.210118031578996,7484.46048783094
"70%",0.0111800822404641,0.00500596013556395,0.0630830135646197,0.245482411379453,0.210170712193491,7484.54443977467
"72.5%",0.0111817295589206,0.00501141715666754,0.0631113617454088,0.245719539347414,0.210229183436474,7484.63216468344
"75%",0.0111838423570201,0.0050175762339864,0.0631379982026101,0.245936859211907,0.210294586632637,7484.71092705534
"77.5%",0.0111858513756081,0.00502534927943199,0.0631677148828663,0.246150907073665,0.210356813747036,7484.79205856771
"80%",0.0111883087826971,0.00503378447313301,0.0632003996387469,0.246411678648359,0.210426273415568,7484.87797589004
"82.5%",0.0111904652794471,0.00504247391712229,0.0632374318329925,0.246683417709301,0.210499140599594,7484.95885715646
"85%",0.0111931616277044,0.00505054484065296,0.0632760835192663,0.246973783231725,0.21058911276547,7485.05152191996
"87.5%",0.0111955710184659,0.00505901003099447,0.0633288558644946,0.247280372004592,0.210684042051198,7485.14365656973
"90%",0.0111990227824897,0.00506798917894721,0.0633867135039844,0.247748838620771,0.21077783661055,7485.24164434931
"92.5%",0.0112030364750763,0.00508049991471576,0.0634600552044932,0.248172645997668,0.210898361751013,7485.35093181449
"95%",0.0112086994807,0.00509926359792275,0.0635401653022383,0.248647445130724,0.211063299153836,7485.46719587856
"97.5%",0.0112183309925896,0.00512000339259627,0.0636535637302603,0.249613137564019,0.21133274399357,7485.63172159328
"100%",0.0112568573645849,0.00526540795776913,0.0643592727359752,0.254257670897237,0.213501508183103,7486.02015112449
