# table produced by mapDamage version 2.2.1
# using mapped file tmp1.sam and /home/sam/Scratch/Databases/hg38Poinar/Hardmasked/hg38Hard.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	20	179712
+	28	64667
+	32	37555
+	21	163104
+	19	194436
+	31	43917
+	27	75455
+	24	114824
+	23	129765
+	38	14431
+	29	59717
+	40	10459
+	54	1260
+	52	1717
+	39	12346
+	30	51684
+	36	20159
+	26	86744
+	22	145472
+	33	31902
+	44	5481
+	17	216448
+	35	23698
+	57	819
+	18	207764
+	37	16953
+	25	100317
+	34	27770
+	56	895
+	46	3998
+	15	1147
+	41	9080
+	48	3006
+	16	3879
+	51	1987
+	43	6505
+	42	7740
+	45	4763
+	49	2518
+	58	655
+	50	2216
+	53	1489
+	47	3503
+	74	76
+	70	120
+	69	130
+	55	1101
+	76	53
+	59	567
+	73	69
+	65	272
+	68	167
+	60	520
+	63	333
+	67	192
+	62	389
+	78	41
+	61	443
+	64	277
+	66	208
+	71	90
+	95	5
+	72	91
+	83	22
+	75	37
+	100	2
+	107	1
+	80	27
+	119	3
+	14	108
+	94	4
+	81	31
+	77	56
+	99	4
+	88	11
+	86	21
+	79	30
+	85	13
+	84	21
+	102	3
+	82	24
+	96	5
+	112	1
+	92	8
+	97	6
+	90	9
+	89	8
+	108	1
+	93	3
+	91	4
+	87	13
+	109	3
+	110	1
+	123	1
+	104	2
+	127	1
+	101	2
+	98	2
+	103	1
+	118	1
+	126	1
-	24	114383
-	36	20085
-	21	162442
-	16	3857
-	23	130329
-	17	215884
-	19	194427
-	26	86780
-	29	60238
-	18	208161
-	30	51587
-	38	14425
-	37	17082
-	32	37869
-	25	100201
-	33	32186
-	20	179447
-	35	23386
-	41	8965
-	27	75106
-	40	10654
-	47	3495
-	28	64428
-	22	145582
-	14	104
-	39	12337
-	34	27711
-	31	44232
-	46	4014
-	54	1224
-	72	92
-	48	2964
-	44	5695
-	43	6527
-	15	1130
-	59	591
-	52	1676
-	45	4787
-	42	7528
-	53	1488
-	60	545
-	61	392
-	50	2184
-	62	398
-	51	1908
-	78	47
-	58	698
-	49	2506
-	80	37
-	57	800
-	56	910
-	71	131
-	55	1073
-	64	295
-	63	317
-	65	264
-	84	17
-	69	122
-	70	121
-	79	38
-	67	175
-	68	156
-	90	15
-	77	67
-	93	6
-	66	209
-	103	1
-	73	82
-	81	25
-	74	71
-	87	20
-	92	5
-	89	8
-	75	69
-	76	50
-	85	8
-	94	2
-	86	25
-	83	24
-	111	1
-	107	2
-	91	12
-	82	22
-	95	5
-	88	7
-	106	2
-	104	1
-	126	1
-	101	3
-	105	3
-	113	1
-	96	5
-	144	1
-	115	1
-	102	4
-	99	1
-	112	1
-	100	4
-	109	1
-	97	2
-	98	2
-	116	1
-	120	1
