pos	5pG>A
1	0.220540961440319
2	0.139501080464745
3	0.088184678551739
4	0.060603875186307
5	0.0483672145661122
6	0.0377703569576255
7	0.0337892614698405
8	0.0278678036458224
9	0.0247512305944718
10	0.0218281525820124
11	0.0210268049564905
12	0.0201036590176669
13	0.0191458921232409
14	0.0192274248614082
15	0.0186628732271332
16	0.0186889069340058
17	0.0198643322027684
18	0.0202881174379823
19	0.0208729348629965
20	0.0211601471691897
21	0.0218406267310279
22	0.0222487644653532
23	0.0215074841266681
24	0.0217262879513684
25	0.0213977799496919
