pos	5pC>T
1	0.015136206236941
2	0.0132593007136247
3	0.00861166651011124
4	0.00695037626219158
5	0.0052219656970874
6	0.00376712866314022
7	0.00324810236597613
8	0.00260501465320742
9	0.00232383295741918
10	0.00229778565862697
11	0.00214273992029751
12	0.00219260626966874
13	0.00222270647199826
14	0.0020240701927552
15	0.00225527890800951
16	0.00215207810041571
17	0.0022652395240494
18	0.00224315555986597
19	0.00231673582295989
20	0.00233712382986744
21	0.00238909668943938
22	0.00226386736179606
23	0.00232441103387538
24	0.00253049243382762
25	0.0022397942050473
