pos	5pG>A
1	0.219064132966779
2	0.138582966226138
3	0.0877923927664936
4	0.0604328947131352
5	0.0482043503359167
6	0.0377248561648824
7	0.0336130340749533
8	0.0277792808229473
9	0.0246539058332929
10	0.0217965496017162
11	0.0210236998818622
12	0.0200164477178033
13	0.0191644564348885
14	0.0191929208940423
15	0.0186831120926056
16	0.0186100885787716
17	0.0198385426689025
18	0.0202648401826484
19	0.0208188163958876
20	0.0211266101296648
21	0.0218111868317166
22	0.0222573045590445
23	0.0214523120280599
24	0.0216750397222656
25	0.0213428462849227
