pos	5pC>T
1	0.0151570644673935
2	0.0132768609550562
3	0.00860614638498251
4	0.00696917269071091
5	0.0052746956040989
6	0.00382606621385796
7	0.00326970464830854
8	0.00260759831203743
9	0.00239538445765203
10	0.00228529009380426
11	0.00221600475388729
12	0.00222994298831073
13	0.00227223207893672
14	0.00208030086273138
15	0.00229839299098993
16	0.00216717588524288
17	0.00232430098915743
18	0.00231821850695466
19	0.00233243849843771
20	0.00240944931360538
21	0.00242028272162673
22	0.00229838267758451
23	0.00232704402515723
24	0.00255195618351316
25	0.0023181723174756
