pos	5pC>T
1	0.0682714532378682
2	0.0558244812344264
3	0.0359237616337414
4	0.0293824824269983
5	0.0249561369052295
6	0.0216760359883471
7	0.0179132962145884
8	0.0152596993367422
9	0.0132316990663479
10	0.0117020883645747
11	0.0101611941117183
12	0.00910589528220425
13	0.00836784508504239
14	0.00758850666067695
15	0.00713894972181514
16	0.00665534647943361
17	0.00616915803511969
18	0.0059111104561631
19	0.00548711805617636
20	0.00525971481745799
21	0.0050104142775363
22	0.00483400597704885
23	0.004594931244117
24	0.00439722474557974
25	0.00409942295566557
