"","Position","C.T","G.A"
"1",1,0.945946469677525,0.284973064399801
"2",2,0.928415997912581,0.267568875502683
"3",3,0.906522032130732,0.255438352717588
"4",4,0.87997090744755,0.249118066373617
"5",5,0.848512754232676,0.256804315870416
"6",6,0.811928360436879,0.280885415726924
"7",7,0.77101362614169,0.308526873370937
"8",8,0.728390581315895,0.327002728165111
"9",9,0.687383252336502,0.334625076115889
"10",10,0.650522141558335,0.335133333294448
"11",11,0.618432935961106,0.33422555428355
"12",12,0.590553994899698,0.335656183367397
"13",-12,0.325886270891567,0.593176072273473
"14",-11,0.323861018093131,0.620718358160959
"15",-10,0.324312763148029,0.652385224714448
"16",-9,0.323255513950664,0.68877919776702
"17",-8,0.315401809206192,0.72920785202123
"18",-7,0.298229146921413,0.771149228718321
"19",-6,0.273568504200769,0.811540273367091
"20",-5,0.251797215489666,0.847952197087952
"21",-4,0.243487870853032,0.879472095746305
"22",-3,0.254362760676103,0.906018486198065
"23",-2,0.280491423862285,0.927878098162946
"24",-1,0.321649307840745,0.945405132332573
