pos	5pC>T
1	0.00246887454590343
2	0.0133529434531873
3	0.00637864913516475
4	0.00558841673621947
5	0.00401720644175051
6	0.00324247644138211
7	0.00250600028236623
8	0.00189103713605686
9	0.00189204995011868
10	0.00211079968164988
11	0.00160594198534578
12	0.00231011550577529
13	0.00185919247904024
14	0.0018011282539251
15	0.00205496151300895
16	0.00218826103836516
17	0.00177729168090779
18	0.00209124812659022
19	0.00232533558820421
20	0.0022845841715825
21	0.00253083339274257
22	0.00258268168448239
23	0.00217211419114605
24	0.00169641279377982
25	0.00186159739376365
