"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00348346221232734,0.00785451246766106,0.380128761195755,0.462318677641738,0.656373379412203,-9163.24966316265
"Std.",9.91086899324307e-05,0.000193442499366474,0.00714101002102527,0.00565786183183516,0.0224241132567882,1.54121759908763
"Acceptance ratio",0.21898,0.18066,0.24246,0.19538,0.23804,0.7007
"0%",0.0031163547092079,0.00703290803904234,0.355001323993451,0.44195886628311,0.574407766355434,-9176.16802630323
"2.5%",0.00328949934896196,0.00747362032629738,0.366372302957183,0.451478115878692,0.614764622388972,-9167.06404702243
"5%",0.00332126549763595,0.00753126179664449,0.368416327113795,0.45311370365996,0.621034484341895,-9166.19735506269
"7.5%",0.0033392937268525,0.00757531760191939,0.369799568684481,0.454297151417449,0.625035113922782,-9165.68507950923
"10%",0.0033551716164614,0.00760304520129634,0.371014575646109,0.455139535150279,0.6280202049419,-9165.31685440381
"12.5%",0.00336982066792595,0.00763114039537573,0.371905672644838,0.455802357299671,0.630922129387681,-9165.02014720831
"15%",0.00337936958904771,0.00765287564097053,0.372698580935973,0.456348581825054,0.633177667557094,-9164.78292482585
"17.5%",0.00339071580720113,0.00767092681463941,0.373386566854878,0.456862307854558,0.635338505689109,-9164.5674360412
"20%",0.00339937958445874,0.00768695797215074,0.374044180876868,0.457322084722131,0.637393992020913,-9164.37778984552
"22.5%",0.00340740284860981,0.00770506105814267,0.374633993871207,0.457768049740292,0.639389374020427,-9164.20450756202
"25%",0.00341662415977664,0.00772338389253163,0.37513851527064,0.45824888865054,0.64100023690823,-9164.05663125742
"27.5%",0.0034239054626784,0.0077385905422553,0.375700421683711,0.458677860776961,0.642822711128887,-9163.91672152821
"30%",0.00343142731768506,0.00775461189886926,0.376211344314918,0.459135070197631,0.6444736658923,-9163.78282308233
"32.5%",0.00343870838461299,0.00776775425511234,0.376788333582955,0.459525025817045,0.645852227089319,-9163.66145570789
"35%",0.00344545370604908,0.00778106453334629,0.377305682513596,0.45994183017033,0.647422657586581,-9163.54559554717
"37.5%",0.00345210084654527,0.00779421539300696,0.377728639562929,0.460402031883526,0.648725654179698,-9163.43516439808
"40%",0.00345834521716061,0.00780527671117271,0.378170066228957,0.460789810060747,0.649960498596005,-9163.32193735012
"42.5%",0.0034648374571405,0.00781713242756107,0.378622259416884,0.461228443063923,0.651299205884111,-9163.2202964314
"45%",0.00347099058244147,0.0078273988821091,0.379122215002441,0.461652036541306,0.652717644124567,-9163.12189209949
"47.5%",0.00347765998549347,0.00784090343179927,0.379580709648021,0.461991924011191,0.654034927833912,-9163.0319927886
"50%",0.0034834393486335,0.007853680612624,0.379991171448517,0.462299218388771,0.6555337786858,-9162.94268368061
"52.5%",0.00348959501260727,0.00786528727281142,0.380442070946797,0.462710451723855,0.65709460451342,-9162.85620099822
"55%",0.00349580096767302,0.00787889030505893,0.380977921434594,0.463071039232065,0.658490157103648,-9162.76507401946
"57.5%",0.00350143335421305,0.00789266150448187,0.381469410879628,0.463479484438428,0.659826077370352,-9162.67894760497
"60%",0.0035086745058343,0.00790256982663747,0.381915614492159,0.463862869240008,0.661393714408823,-9162.59282118755
"62.5%",0.00351518401588256,0.00791766081421457,0.382379170940094,0.464269977143748,0.662682346929884,-9162.51211575328
"65%",0.00352075756774272,0.00793162710964871,0.382829219817787,0.464660684644754,0.664365740079917,-9162.43076618415
"67.5%",0.00352807733134912,0.00794593842218065,0.383370389291068,0.465063933193314,0.666062130078798,-9162.34941200108
"70%",0.00353526584134012,0.00796123891471664,0.383958230134261,0.465438408367821,0.667626909969816,-9162.26923321596
"72.5%",0.00354365722929047,0.00797418258161699,0.384516406505749,0.46585881738127,0.669203425604262,-9162.18441703522
"75%",0.00355175065174874,0.00798886978965112,0.385136083604052,0.466287315814991,0.671063783295537,-9162.10192851568
"77.5%",0.00355982945100713,0.00800515459611176,0.385674052812922,0.466775269188552,0.672756043788532,-9162.02108274599
"80%",0.00356693007490201,0.00802028695922312,0.386330913878811,0.467228817143904,0.674757231245269,-9161.94601308855
"82.5%",0.00357460428153727,0.00803690629096663,0.386958007997558,0.467798529043181,0.677112998052058,-9161.86287869287
"85%",0.00358564683957355,0.00805511844371776,0.387658262484342,0.468339251057442,0.679651792133025,-9161.77279781629
"87.5%",0.00359540669317425,0.00807613781101953,0.388441749741125,0.469011749328945,0.682653093023575,-9161.6849577604
"90%",0.00360851334154618,0.00809974213644059,0.389381242213079,0.469639339125127,0.685980370996585,-9161.58801533009
"92.5%",0.00362469506770982,0.00812726406917506,0.3904570446165,0.470453663777496,0.689707474220972,-9161.48736306104
"95%",0.00364535745805067,0.00817052441310412,0.391881377097838,0.471432409545102,0.694724231998062,-9161.36385532197
"97.5%",0.00367869382962939,0.00823923215443449,0.394085921609027,0.473018023544373,0.702712028858299,-9161.20280299078
"100%",0.00386099488982003,0.0085812660945684,0.404159264025418,0.482523220364643,0.746474599381553,-9160.81009875208
