pos	5pG>A
1	0.182690874400024
2	0.107539323811246
3	0.0618790181180596
4	0.0384093045930982
5	0.0317235016500479
6	0.0223970137315025
7	0.0204559542668228
8	0.0177722398924484
9	0.0154105465928245
10	0.0158555837737662
11	0.0142828539010879
12	0.0144208945843081
13	0.0152398342580237
14	0.0155396464560784
15	0.0166045291355979
16	0.0159323573599804
17	0.0166875826747617
18	0.0173670444638187
19	0.018328242154957
20	0.0183018609742748
21	0.0197995341286087
22	0.0190509542987218
23	0.0177055041771238
24	0.0176682146723
25	0.0173445187780964
