pos	5pG>A
1	0.20497634224109
2	0.123113040455357
3	0.0855508402758061
4	0.065715326433974
5	0.0507147846639809
6	0.0397830079470963
7	0.0314892507791977
8	0.0249659935359798
9	0.0199122006660795
10	0.0166096195651565
11	0.0139031324965946
12	0.0117538033130183
13	0.0101314789141809
14	0.00928896691352046
15	0.00808465975508402
16	0.00752016017783523
17	0.00684782228184706
18	0.00641953395230293
19	0.00599183335305953
20	0.0056059099011857
21	0.00549313071722887
22	0.00514355832749013
23	0.00477196548591557
24	0.00453690759694932
25	0.00425802329050643
