pos	5pC>T
1	0.2046185132324
2	0.122725440011219
3	0.0843165760222912
4	0.0636851069605996
5	0.0498605349774753
6	0.0391124985557939
7	0.030801487797099
8	0.0242550026151998
9	0.0196159984086583
10	0.0162588894829503
11	0.0135371899527809
12	0.0115868021661647
13	0.00981896904176245
14	0.00879581761784794
15	0.00794345126314819
16	0.00730781263011485
17	0.00668877851746915
18	0.00629297562336989
19	0.00575357349074041
20	0.00552486187845304
21	0.00525497844597365
22	0.00493650509747809
23	0.00478009694975437
24	0.00449289006294964
25	0.00414017500097118
