"","Position","C.T","G.A"
"1",1,0.988236815562099,0.454106650929468
"2",2,0.982746866443823,0.458340145390902
"3",3,0.975101904328125,0.438857239063621
"4",4,0.964820369415059,0.418891690325256
"5",5,0.951551897520714,0.415444059984048
"6",6,0.935186180495227,0.435938155877721
"7",7,0.916053348172789,0.47012966568513
"8",8,0.895071722944269,0.505366528130455
"9",9,0.87371185376443,0.53461878789352
"10",10,0.853447878866569,0.558050574318954
"11",11,0.835263851900646,0.577670136893302
"12",12,0.819398141859605,0.595618770224092
"13",-12,0.58522008692449,0.821325874391562
"14",-11,0.566833268699676,0.836783581111714
"15",-10,0.547572838520251,0.854494278361648
"16",-9,0.525473743618828,0.874302618139141
"17",-8,0.496415502471582,0.895406323777029
"18",-7,0.45912129535056,0.916272258230883
"19",-6,0.42422111770632,0.935296023704612
"20",-5,0.407447000305607,0.951573961853009
"21",-4,0.415509354332278,0.964808821175861
"22",-3,0.441993124437505,0.975078501232972
"23",-2,0.470846158985435,0.982721792475255
"24",-1,0.486238880050874,0.988212614742033
