"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0113438767920568,0.0118899340867378,0.56572791301985,0.339362560174325,0.256183910905932,-35101.2237543155
"Std.",2.47841658971259e-05,7.60988724747791e-05,0.00110322413369217,0.000683854050442699,0.000860716497548555,1.55808544947031
"Acceptance ratio",0.15588,0.19874,0.15452,0.14856,0.20474,0.61184
"0%",0.0112258192188023,0.0115977220973784,0.562064227165013,0.336882299332733,0.252536296550233,-35112.1096360441
"2.5%",0.0112950603703751,0.0117425001935945,0.563552029333629,0.338045079717302,0.25452445882188,-35105.0705529016
"5%",0.0113030349960949,0.0117646608975206,0.563906849467642,0.338251110415411,0.254805537856229,-35104.2461252708
"7.5%",0.0113075008373036,0.0117804832122782,0.564145650237639,0.338380725378133,0.254966071158327,-35103.7447777382
"10%",0.0113116259910429,0.0117915426356929,0.564325479510736,0.338480913090818,0.255091333800085,-35103.3653500475
"12.5%",0.0113148840574865,0.0118020345256511,0.564462736973923,0.338554502768111,0.255198773182967,-35103.0556559822
"15%",0.0113175594946276,0.0118111837701276,0.56457571893367,0.338624952197216,0.25529223970638,-35102.7931295324
"17.5%",0.0113204233558476,0.0118186014990718,0.564690351071702,0.338701766622393,0.255381902956874,-35102.5801484646
"20%",0.0113231660192225,0.0118244963308959,0.564787985107,0.338774058630133,0.255458483894545,-35102.3784298806
"22.5%",0.0113254509147065,0.011830736849789,0.564875980974003,0.338828095807686,0.255525465724975,-35102.2065740278
"25%",0.0113273472536066,0.0118373180219682,0.564966780490229,0.338889517342336,0.255597881890344,-35102.0343428098
"27.5%",0.0113291296285024,0.0118437394745767,0.565049588656113,0.338938880381306,0.255665255299714,-35101.87125952
"30%",0.0113310054622908,0.0118490774373179,0.565127277653466,0.338985513200794,0.255731012958279,-35101.7410422784
"32.5%",0.011332742343608,0.0118550081910882,0.565207852937958,0.33903685604992,0.255793215861545,-35101.613230166
"35%",0.0113345268270521,0.0118603789076687,0.565288321446192,0.339089491788905,0.255853002906572,-35101.4875643329
"37.5%",0.011336513402729,0.011865170359864,0.565371903684128,0.33913409207415,0.255908683394007,-35101.3755732164
"40%",0.0113379943821833,0.0118703541944665,0.56544462939473,0.339183270804431,0.255968508935836,-35101.2693962739
"42.5%",0.0113396570350987,0.0118751582727435,0.565511729430025,0.339232315046386,0.25602230263535,-35101.165148394
"45%",0.0113412377981825,0.0118806102201837,0.565578859448692,0.339273630400656,0.256067950027009,-35101.0681479385
"47.5%",0.0113425804410826,0.0118858864457226,0.565653397846236,0.339328695990119,0.256112159391715,-35100.9690666112
"50%",0.0113443202344442,0.011890329988728,0.565731799163618,0.339368068882899,0.256161540392881,-35100.8836910556
"52.5%",0.0113455651548193,0.0118951073995774,0.565800955900636,0.339416729679374,0.256217668252996,-35100.8010476941
"55%",0.011347247539078,0.0118993371515226,0.565874825096485,0.339457447877142,0.256271837424216,-35100.7197942314
"57.5%",0.0113486901259202,0.0119046595858182,0.565948355119156,0.339507930951268,0.256325838301902,-35100.6366437013
"60%",0.0113504239292714,0.0119097653719785,0.566025887122041,0.339556145246564,0.256381631362971,-35100.5575210378
"62.5%",0.0113520900163512,0.0119146117617119,0.566094270747174,0.339598848786116,0.256436569761212,-35100.4697222866
"65%",0.0113538817559832,0.0119207885568696,0.566180671668209,0.339645136191392,0.256493469790101,-35100.3880128045
"67.5%",0.0113556167508991,0.0119252223356971,0.566258118342646,0.33968905121836,0.256550369400975,-35100.3135992168
"70%",0.0113573737879867,0.0119307284133442,0.566331043030212,0.339739999111792,0.25661636453588,-35100.2355445504
"72.5%",0.0113589893553918,0.0119367293185048,0.566404593827613,0.33978645057177,0.256684505336067,-35100.1557235296
"75%",0.0113610157121967,0.0119418936332443,0.566474616260675,0.339838827239405,0.256748722926724,-35100.0777011606
"77.5%",0.0113629404716568,0.0119475256303983,0.56656551043947,0.33989258605135,0.256829297337629,-35099.9990081426
"80%",0.0113651712712139,0.0119538316159819,0.566666309866541,0.33995233959417,0.256917160943731,-35099.9180141098
"82.5%",0.0113674111022178,0.0119605131794136,0.56676770603303,0.340019037514586,0.256995388309646,-35099.8383716844
"85%",0.0113696656521007,0.0119685151177841,0.566884155839255,0.340081441548497,0.257089580809245,-35099.7476581977
"87.5%",0.0113725513611069,0.0119779921548423,0.566994980494023,0.340158437763447,0.257193332653583,-35099.6595791537
"90%",0.0113753505190156,0.0119871169578804,0.567116422287029,0.340233230345229,0.257303831836844,-35099.5636626423
"92.5%",0.0113791486529159,0.0119989477284434,0.567284761215849,0.34034262769784,0.257425364509062,-35099.4507358162
"95%",0.0113836939771004,0.01201700173935,0.567549013915993,0.34049004139894,0.257627101868798,-35099.3156473882
"97.5%",0.0113911463188737,0.0120390554572905,0.567889624167917,0.340669948420233,0.257918351021943,-35099.158905753
"100%",0.0114379482769517,0.0121749715513172,0.570314087332087,0.341948058676913,0.26021028201718,-35098.7488641452
