# table produced by mapDamage version 2.0.3
# using mapped file tmp1.sam and /home/sam/Scratch/Databases/hg38Poinar/Hardmasked/hg38Hard.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	27	168
+	28	1715
+	29	5101
+	30	223725
+	31	214927
+	32	201327
+	33	185771
+	34	168538
+	35	150227
+	36	133656
+	37	117940
+	38	103236
+	39	89089
+	40	77540
+	41	66479
+	42	59353
+	43	51455
+	44	43590
+	45	37328
+	46	31765
+	47	27501
+	48	23380
+	49	20081
+	50	16865
+	51	14364
+	52	12356
+	53	10455
+	54	8995
+	55	7727
+	56	6443
+	57	5412
+	58	4735
+	59	4008
+	60	3496
+	61	3042
+	62	2496
+	63	2228
+	64	1972
+	65	1700
+	66	1460
+	67	1251
+	68	1104
+	69	888
+	70	804
+	71	639
+	72	562
+	73	518
+	74	444
+	75	394
+	76	344
+	77	274
+	78	268
+	79	212
+	80	192
+	81	168
+	82	132
+	83	116
+	84	85
+	85	90
+	86	63
+	87	81
+	88	42
+	89	57
+	90	59
+	91	43
+	92	33
+	93	29
+	94	27
+	95	26
+	96	22
+	97	19
+	98	15
+	99	24
+	100	14
+	101	11
+	102	8
+	103	8
+	104	3
+	105	8
+	106	4
+	107	5
+	108	5
+	109	4
+	110	6
+	111	3
+	112	4
+	113	2
+	114	2
+	115	4
+	116	1
+	117	3
+	120	1
+	121	1
+	122	2
+	123	1
+	125	1
+	127	2
+	131	1
+	132	1
+	136	1
+	139	1
+	140	1
-	27	158
-	28	1684
-	29	5049
-	30	223547
-	31	215502
-	32	201414
-	33	185423
-	34	168096
-	35	150294
-	36	134178
-	37	117926
-	38	103085
-	39	89070
-	40	77135
-	41	66071
-	42	59873
-	43	51161
-	44	44104
-	45	37646
-	46	31977
-	47	27594
-	48	23248
-	49	19919
-	50	17003
-	51	14433
-	52	12355
-	53	10583
-	54	8942
-	55	7545
-	56	6504
-	57	5637
-	58	4781
-	59	3991
-	60	3513
-	61	2980
-	62	2512
-	63	2190
-	64	1890
-	65	1635
-	66	1471
-	67	1199
-	68	1084
-	69	904
-	70	794
-	71	696
-	72	595
-	73	539
-	74	395
-	75	406
-	76	306
-	77	292
-	78	264
-	79	215
-	80	178
-	81	164
-	82	128
-	83	122
-	84	129
-	85	98
-	86	85
-	87	69
-	88	70
-	89	48
-	90	57
-	91	44
-	92	44
-	93	32
-	94	28
-	95	22
-	96	25
-	97	15
-	98	8
-	99	21
-	100	21
-	101	8
-	102	8
-	103	17
-	104	13
-	105	5
-	106	7
-	107	2
-	108	5
-	109	5
-	110	2
-	111	2
-	112	2
-	113	6
-	114	3
-	115	5
-	116	1
-	118	1
-	119	2
-	120	2
-	122	3
-	124	2
-	125	1
-	126	1
-	128	1
-	129	1
-	132	1
-	133	1
-	139	1
-	152	1
