pos	5pC>T
1	0.015132260267036
2	0.0132392492764639
3	0.00860401744265944
4	0.00695352527182995
5	0.00521979345678814
6	0.00376686227586229
7	0.00325125962543968
8	0.00260235947258848
9	0.00233722456910332
10	0.00229262192580242
11	0.00213729408053052
12	0.00219388454682572
13	0.00222413010072354
14	0.00201892232609808
15	0.00225315519422198
16	0.002150006718771
17	0.0022693102359645
18	0.00223465433179147
19	0.00231484389722973
20	0.00234413245132866
21	0.0023899540489831
22	0.00226489229248394
23	0.00232533293111358
24	0.00253441367192931
25	0.00224383420312238
