"","Position","C.T","G.A"
"1",1,0.995551526461164,0.947127083334435
"2",2,0.99286831920486,0.929850497218132
"3",3,0.988909620715478,0.912057973647526
"4",4,0.983492480486635,0.895389152035044
"5",5,0.976661717718739,0.884549924026308
"6",6,0.968881439086333,0.879868135441108
"7",7,0.961287201617896,0.876126087490529
"8",8,0.954815011521201,0.873158505713644
"9",9,0.949995981449301,0.870292737405489
"10",10,0.946414337944339,0.869751421164144
"11",11,0.943485414187215,0.872329204302975
"12",12,0.941142901953357,0.8758531177809
"13",-12,0.531681819742458,0.956330316767797
"14",-11,0.522718647056844,0.957302645420246
"15",-10,0.518182471269483,0.958765961617801
"16",-9,0.515504871864468,0.960984785811531
"17",-8,0.510708842863573,0.964230442360275
"18",-7,0.508418836954944,0.968605230360487
"19",-6,0.515595829382768,0.973940093825817
"20",-5,0.530994109196794,0.979735791567219
"21",-4,0.550501613087215,0.985266093639076
"22",-3,0.571442634303148,0.989913485523177
"23",-2,0.589894063584262,0.99341829889867
"24",-1,0.586977009744954,0.995852810430597
