pos	5pG>A
1	0.0674344618506543
2	0.0558686947600596
3	0.0358033600223568
4	0.0299100038157638
5	0.0249530670520593
6	0.0214374581299646
7	0.0182274055925708
8	0.0153465079963384
9	0.013340869687679
10	0.0120432578699113
11	0.0105264299620918
12	0.00957422474920759
13	0.00854481088131172
14	0.0078773623459537
15	0.00724331967505235
16	0.00673474148375008
17	0.00643109747400681
18	0.00588538617515809
19	0.0057688388348342
20	0.00550693428305863
21	0.00522407391416976
22	0.0052555066749882
23	0.00475409224803311
24	0.00442600550527754
25	0.00431810490693739
