pos	5pC>T
1	0.0683730404747144
2	0.0558051974343313
3	0.0359639902249371
4	0.0293186554165714
5	0.025030796668444
6	0.0216155697713896
7	0.0179587728079733
8	0.0152747061556205
9	0.0132814354203256
10	0.0116595017993973
11	0.0101938216090244
12	0.0090933014216207
13	0.00838563475114473
14	0.00759271186995775
15	0.00717505714434266
16	0.00667471870828301
17	0.00622680050077972
18	0.00593981887912808
19	0.00547066129700026
20	0.00527636017645532
21	0.00506463636773613
22	0.00484435376320799
23	0.00459650330780754
24	0.0043790139314297
25	0.00409142212189616
