"","Position","C.T","G.A"
"1",1,0.94579700623858,0.285213799001397
"2",2,0.928231603681778,0.267782334687964
"3",3,0.906292441739927,0.255791323145773
"4",4,0.879678396053047,0.24977161215678
"5",5,0.848138350941365,0.257558823704175
"6",6,0.811442948501863,0.281633511171118
"7",7,0.770360017195157,0.30941352318506
"8",8,0.727548733794651,0.327827946911487
"9",9,0.686423216213378,0.335001784812029
"10",10,0.649501787416948,0.335016359117643
"11",11,0.617429232544234,0.333544952163175
"12",12,0.589603118877579,0.334477622758646
"13",-12,0.325627423253733,0.591893910664517
"14",-11,0.323913530097897,0.619494516916994
"15",-10,0.32439518465134,0.651328191673861
"16",-9,0.323047819626575,0.687960583503295
"17",-8,0.314946072900277,0.728582053679101
"18",-7,0.297627734833449,0.770662076397366
"19",-6,0.272435460928702,0.811183605147898
"20",-5,0.250273030371779,0.847671844464563
"21",-4,0.242192754222487,0.879228702476332
"22",-3,0.253573955849334,0.905806038637444
"23",-2,0.279970337219297,0.927699415109283
"24",-1,0.321298507191535,0.945257306605258
