"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0129046173963712,0.00547432779367461,0.172260749488718,0.278000233362054,0.186653709751832,-20837.3001148697
"Std.",4.68095187302991e-05,0.000103013531529924,0.000729743717451895,0.00170386557451368,0.00106526677416928,1.53457047082854
"Acceptance ratio",0.14406,0.10854,0.10916,0.1612,0.24494,0.56686
"0%",0.0127244392787173,0.0051098317246828,0.169595189116818,0.271791251017806,0.182483259622723,-20848.3203373081
"2.5%",0.0128134753645375,0.00527343843781585,0.170807893616231,0.274690932865781,0.184599145198497,-20841.0664820803
"5%",0.0128274632167998,0.00530736638432009,0.171072702263745,0.275205294986225,0.184913944919568,-20840.2304579755
"7.5%",0.0128363071558432,0.00532944897352949,0.17122281846994,0.275561604072515,0.18512988387886,-20839.7322258525
"10%",0.0128434969582438,0.0053462447618954,0.171321890601271,0.275817657426459,0.185300259594614,-20839.3725964894
"12.5%",0.0128495156880364,0.0053578845645059,0.171428124060003,0.276009670782927,0.185425059348452,-20839.0823294175
"15%",0.0128555198034588,0.00536794453552462,0.171503854204202,0.276203193609356,0.185559429105095,-20838.8201474732
"17.5%",0.0128602506330086,0.00537722326185346,0.171583071931993,0.276376219183377,0.185663106058776,-20838.6091699691
"20%",0.0128649935477004,0.00538594274887565,0.171659564756628,0.276525547369643,0.185754198902898,-20838.4251719027
"22.5%",0.0128693114326425,0.00539409631112095,0.171723841349552,0.276675704124869,0.185831854528363,-20838.2471345643
"25%",0.0128733049117806,0.00540144791871611,0.171784036800551,0.276814538582402,0.185912845276338,-20838.0875813216
"27.5%",0.0128762729352508,0.00540812442746292,0.171830759476921,0.276928210859601,0.186001421278742,-20837.9426352291
"30%",0.0128796344159372,0.00541589154635256,0.171885914840619,0.277072567229486,0.186076728448593,-20837.8163578872
"32.5%",0.012883175662512,0.00542462081854321,0.171933093071459,0.277186327613546,0.186156292801648,-20837.6866077828
"35%",0.0128870688216241,0.00543293279178992,0.171979065949514,0.277327979387948,0.186233860505475,-20837.5731430899
"37.5%",0.01288942844288,0.00543946941422567,0.172020953320495,0.277455428665983,0.18629983882484,-20837.4608389854
"40%",0.0128925678129624,0.00544464387141086,0.172067592335256,0.277559701951887,0.186370007162649,-20837.3579286139
"42.5%",0.0128960650299319,0.00545357831405512,0.172115548741326,0.277665050345599,0.186441213786765,-20837.2571516845
"45%",0.0128986898443655,0.00545965405955972,0.172160857613212,0.277787727611995,0.18650476813508,-20837.1585568917
"47.5%",0.0129011501348107,0.00546616658042864,0.172215690595836,0.277896505960763,0.18656875722612,-20837.0656690284
"50%",0.012904066375943,0.00547337908132873,0.172255890029811,0.278011347459071,0.186641758195118,-20836.9744418388
"52.5%",0.0129071697380239,0.00548045333657532,0.172292569266096,0.278134847204354,0.186711523274351,-20836.8878104286
"55%",0.0129104905161868,0.00548708925587339,0.172339321560031,0.278240619352463,0.186769918797391,-20836.8091065715
"57.5%",0.0129134140713723,0.00549287545079809,0.172382880738056,0.278353873074753,0.186841439192667,-20836.7299250944
"60%",0.0129169602580836,0.00550083716023658,0.172427060718882,0.278469039391084,0.186913283561453,-20836.6501602909
"62.5%",0.0129202683110464,0.00550817630624559,0.172481081467449,0.278601165398156,0.186988627656174,-20836.5754652734
"65%",0.0129234651531571,0.00551540050271917,0.172529505701042,0.278708691934121,0.18706362213414,-20836.4937082245
"67.5%",0.0129263210953791,0.0055231415310998,0.172580788497939,0.278813983212773,0.187135922349585,-20836.4105852849
"70%",0.0129297843074665,0.00552943919536524,0.172630635781333,0.278926957348442,0.187209054374128,-20836.3255446565
"72.5%",0.0129337732218196,0.0055379071903337,0.172688877230467,0.279071331162583,0.187295745492113,-20836.2425833855
"75%",0.0129376281203757,0.00554553476026893,0.172751976992562,0.279196636153009,0.187375464728518,-20836.1694100264
"77.5%",0.0129410375054365,0.00555327367542287,0.172815563965724,0.279331660824146,0.187470151689285,-20836.0950368348
"80%",0.0129442923033829,0.0055618286584527,0.172876715920008,0.279472721996714,0.18757113533335,-20836.0194060394
"82.5%",0.0129484789863303,0.00557466243236564,0.172949007492268,0.279622370159516,0.187659057621139,-20835.9344478734
"85%",0.0129538166327903,0.00558420335383065,0.173030441793706,0.279772755384008,0.18777429263682,-20835.8495509927
"87.5%",0.0129583724662591,0.00559738425799888,0.173125592443151,0.279985140614662,0.18790322070972,-20835.760307404
"90%",0.0129646946053275,0.00560857300278523,0.173202556010502,0.280172947557274,0.188052782418123,-20835.6565463238
"92.5%",0.0129719276400165,0.00562535655033663,0.17329334551753,0.280434653175794,0.188196334199016,-20835.5527444881
"95%",0.0129812588319384,0.00564345563068241,0.173449391773111,0.280741861015298,0.188421241564993,-20835.4298416178
"97.5%",0.0129959257053466,0.00566990038066186,0.173708493071603,0.281240805128764,0.188718411427158,-20835.26328734
"100%",0.0130899272391658,0.00580787405492002,0.175139556182505,0.284505814988107,0.1912291620014,-20834.875390317
