# table produced by mapDamage version 2.0.3
# using mapped file tmp1.sam and ../BmelReference/GCF_000007125.1_ASM712v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	27	1
+	28	17
+	29	110
+	30	67890
+	31	64451
+	32	60542
+	33	59750
+	34	55369
+	35	50885
+	36	48759
+	37	44699
+	38	40398
+	39	38457
+	40	34893
+	41	31298
+	42	29716
+	43	26856
+	44	23824
+	45	22674
+	46	19964
+	47	17887
+	48	16729
+	49	14768
+	50	13119
+	51	12350
+	52	11018
+	53	9543
+	54	8949
+	55	7982
+	56	7178
+	57	6658
+	58	5799
+	59	5286
+	60	4788
+	61	4123
+	62	3668
+	63	3358
+	64	3012
+	65	2715
+	66	2638
+	67	2237
+	68	1989
+	69	1837
+	70	1638
+	71	1544
+	72	1368
+	73	1221
+	74	1025
+	75	998
+	76	835
+	77	746
+	78	719
+	79	640
+	80	561
+	81	500
+	82	515
+	83	395
+	84	415
+	85	361
+	86	280
+	87	280
+	88	243
+	89	206
+	90	221
+	91	190
+	92	156
+	93	165
+	94	155
+	95	110
+	96	111
+	97	107
+	98	86
+	99	83
+	100	68
+	101	69
+	102	60
+	103	63
+	104	48
+	105	64
+	106	44
+	107	33
+	108	35
+	109	30
+	110	28
+	111	19
+	112	20
+	113	19
+	114	19
+	115	24
+	116	13
+	117	16
+	118	16
+	119	9
+	120	19
+	121	9
+	122	3
+	123	5
+	124	11
+	125	5
+	126	8
+	127	5
+	128	5
+	129	5
+	130	9
+	131	3
+	132	4
+	133	5
+	134	4
+	135	5
+	136	3
+	137	1
+	138	2
+	139	2
+	140	2
+	141	7
+	142	2
+	143	2
+	145	2
+	147	2
+	148	1
+	149	2
+	151	1
+	152	1
+	153	2
+	154	1
+	158	1
+	163	1
+	164	1
+	170	1
-	27	2
-	28	8
-	29	83
-	30	67542
-	31	64481
-	32	60731
-	33	59697
-	34	55509
-	35	50691
-	36	48844
-	37	44656
-	38	40744
-	39	38601
-	40	34858
-	41	31349
-	42	29913
-	43	26707
-	44	23852
-	45	22464
-	46	19919
-	47	17880
-	48	16801
-	49	14931
-	50	13044
-	51	12516
-	52	10777
-	53	9569
-	54	8795
-	55	7902
-	56	7023
-	57	6595
-	58	5729
-	59	5173
-	60	4819
-	61	4163
-	62	3684
-	63	3418
-	64	3088
-	65	2700
-	66	2604
-	67	2329
-	68	1969
-	69	1834
-	70	1749
-	71	1535
-	72	1375
-	73	1224
-	74	1102
-	75	960
-	76	824
-	77	745
-	78	805
-	79	634
-	80	562
-	81	494
-	82	459
-	83	423
-	84	402
-	85	391
-	86	309
-	87	314
-	88	258
-	89	203
-	90	190
-	91	203
-	92	144
-	93	156
-	94	137
-	95	123
-	96	125
-	97	122
-	98	80
-	99	75
-	100	76
-	101	79
-	102	68
-	103	57
-	104	52
-	105	42
-	106	40
-	107	37
-	108	33
-	109	32
-	110	26
-	111	23
-	112	25
-	113	26
-	114	13
-	115	19
-	116	15
-	117	9
-	118	12
-	119	18
-	120	13
-	121	9
-	122	9
-	123	10
-	124	10
-	125	6
-	126	4
-	127	6
-	128	13
-	129	6
-	130	2
-	131	3
-	132	4
-	133	4
-	134	1
-	135	1
-	136	3
-	137	2
-	138	1
-	139	3
-	140	1
-	141	1
-	143	1
-	144	3
-	145	1
-	146	1
-	147	1
-	149	1
-	150	1
-	151	1
-	152	1
-	155	1
-	159	2
-	161	1
-	165	2
-	166	1
-	167	1
