pos	5pG>A
1	0.184971440409601
2	0.110045248868778
3	0.0631069740169311
4	0.0385538814850899
5	0.0317219477769937
6	0.0227122015915119
7	0.0208949068664513
8	0.0176841557766075
9	0.0157456004939796
10	0.0160502680736263
11	0.0142633906307145
12	0.0145771578029643
13	0.0153469673134067
14	0.0155917788802268
15	0.0166895604395604
16	0.0160353403596647
17	0.0168622689869149
18	0.0174834897462635
19	0.0184661052050255
20	0.0185645672241714
21	0.0202055758941143
22	0.0190652120874142
23	0.0179304681084041
24	0.0174900703783708
25	0.0171728190871661
