pos	5pC>T
1	0.00246643881469998
2	0.0133415832012065
3	0.00637341153470186
4	0.00558314904107603
5	0.00401478007532154
6	0.00323930354973681
7	0.00250423250564334
8	0.00188962012119632
9	0.00189100911122572
10	0.00210868362831858
11	0.0016049217600642
12	0.00230793439871315
13	0.00189320898923676
14	0.00179953823169904
15	0.00205353102920191
16	0.00218617771509168
17	0.00181010928961749
18	0.00208950026118753
19	0.00232402549385542
20	0.00231718121720166
21	0.00252912050724896
22	0.0025802752293578
23	0.0021712158808933
24	0.00169521455059156
25	0.00186026544556935
