"","Position","C.T","G.A"
"1",1,0.987598159036788,0.96580159660975
"2",2,0.980931252622278,0.910943236584922
"3",3,0.97019780891675,0.809582735361131
"4",4,0.954260567149774,0.719648762314116
"5",5,0.933576298589722,0.685620035311224
"6",6,0.910466145426749,0.687198453946456
"7",7,0.888110488728961,0.701122360808586
"8",8,0.870646461954161,0.708597654830102
"9",9,0.861629419355525,0.69997599647057
"10",10,0.858257225442132,0.685665938745341
"11",11,0.858695886774109,0.665090687616481
"12",12,0.863331464518863,0.623184831653212
"13",-12,0.328627497599304,0.88157246754743
"14",-11,0.31190906902539,0.88336042462762
"15",-10,0.307415020710286,0.885798410843829
"16",-9,0.311778091963911,0.889745462396097
"17",-8,0.309565729519796,0.896627170674359
"18",-7,0.306733308173729,0.907344971096092
"19",-6,0.301030293254983,0.922317095597133
"20",-5,0.299968846562909,0.940191915955544
"21",-4,0.314759542391862,0.958054534524823
"22",-3,0.348653687136062,0.973021914753994
"23",-2,0.390285425289824,0.983794551540459
"24",-1,0.385335938636897,0.990718890747235
