"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00350032844686867,0.00785775685742065,0.379930034852118,0.462241241330446,0.652430604876771,-9176.24876523632
"Std.",9.88747015094351e-05,0.000193118087274601,0.00734863579035572,0.00583330480102639,0.0219094985479662,1.56122729024347
"Acceptance ratio",0.2228,0.18066,0.24426,0.19404,0.23402,0.7005
"0%",0.0031328745288303,0.00710472675612836,0.355358139679961,0.44151562401592,0.562302665249504,-9188.54332461368
"2.5%",0.00331369670302895,0.00748905428888098,0.366029063308795,0.451146368926086,0.609988952423024,-9180.1527136343
"5%",0.0033443392491922,0.00754920325633187,0.36816474375852,0.452779127743998,0.616623650960304,-9179.27087701621
"7.5%",0.00336209794915478,0.00758683555846064,0.369560156617802,0.454048801644654,0.620924231017492,-9178.67935608911
"10%",0.00337493920633535,0.0076135459054176,0.370504625769478,0.454866739188582,0.624296381940375,-9178.31676918981
"12.5%",0.00338817730362995,0.00763621985834054,0.371398018775565,0.455485084017672,0.627185663662027,-9178.00601798328
"15%",0.00339826963976608,0.00765402784307502,0.372155572575554,0.456105821542378,0.629792816161025,-9177.76395098664
"17.5%",0.00340773942731897,0.00767610602383177,0.372920941666158,0.456677272000225,0.631789302532929,-9177.54261490091
"20%",0.00341565029214098,0.00769349431564192,0.373624405991087,0.457143672948286,0.633919935000555,-9177.34960325415
"22.5%",0.0034244684183504,0.0077093197711699,0.374251950458074,0.457650020939914,0.63597466948095,-9177.17946449577
"25%",0.00343149317650468,0.00772406343439876,0.374797721670295,0.458202464470639,0.637785211324148,-9177.02190075658
"27.5%",0.00343931073616645,0.00774107697735774,0.375401080483936,0.458620810205336,0.639318295914846,-9176.88389125614
"30%",0.00344594071611133,0.00775450790513126,0.375974172728964,0.459104421512354,0.640793852164177,-9176.75840578098
"32.5%",0.00345284853295908,0.00776780992379151,0.376542756664359,0.459560607502211,0.642207939449923,-9176.63100695315
"35%",0.00345938089748764,0.00778003082969521,0.377089671059576,0.459889765920562,0.643618592059992,-9176.5238735301
"37.5%",0.00346610995566935,0.00779480320215163,0.377588215150523,0.460299562313198,0.645144869159924,-9176.41530563184
"40%",0.0034721409595186,0.00780664014954785,0.378049454472394,0.460688176202891,0.646625256192396,-9176.30954026916
"42.5%",0.00347975182215096,0.00781756378238041,0.378465401357759,0.461145067008861,0.648072716689847,-9176.20885791861
"45%",0.00348633862515041,0.00782945755747408,0.37891654617982,0.461485982263345,0.64938463224147,-9176.11466929189
"47.5%",0.00349242364862596,0.00784213899190422,0.379433357658574,0.461912425366025,0.650977660120712,-9176.01898468537
"50%",0.00349902267533113,0.00785449920689057,0.379852681912743,0.462293427528094,0.652347536798866,-9175.9294895808
"52.5%",0.00350573544371334,0.00786719873459171,0.380377480625461,0.462684581534065,0.653653852751239,-9175.845556816
"55%",0.00351145941241575,0.00787962656964578,0.380906500815354,0.463036419424552,0.655116687341665,-9175.7658343077
"57.5%",0.00351695204719437,0.00789172636597969,0.38133969114951,0.463357973246061,0.656574889114769,-9175.6868313278
"60%",0.00352285589661878,0.00790613616151768,0.3817895286828,0.463719337715027,0.657989881261706,-9175.60540856935
"62.5%",0.00352911832355382,0.00791698643493077,0.382148738894657,0.464055674602566,0.659559242105036,-9175.52547829171
"65%",0.00353625234332834,0.00793133304269845,0.3826257966449,0.464426538483974,0.660974506485457,-9175.44726379704
"67.5%",0.00354359237571249,0.00794500942340187,0.383145580192314,0.464894674467751,0.662594968870157,-9175.36154634016
"70%",0.00355094223670224,0.00795590415214314,0.38368818984305,0.465324763116832,0.663983532119179,-9175.28150092596
"72.5%",0.00355751024093692,0.00797108301300911,0.384209662199238,0.465709470799048,0.665473580144488,-9175.19787202531
"75%",0.00356687258171591,0.00798691169252035,0.384833323678651,0.466192139785455,0.667179018254026,-9175.11352130595
"77.5%",0.0035756983959146,0.00800362021938445,0.385370717445204,0.466644695117335,0.668723968265844,-9175.03410584346
"80%",0.00358431584627058,0.00802147300969339,0.386053177952096,0.467150582478781,0.670572374519877,-9174.95348250497
"82.5%",0.00359286819007619,0.00804123845326434,0.386742098599273,0.467745869541733,0.672550149940263,-9174.86928209378
"85%",0.00360376438175052,0.00805926100184023,0.387508625393913,0.468269590397257,0.67494323672105,-9174.77617345961
"87.5%",0.00361383243211354,0.00808177213411338,0.388351709165964,0.468987880555744,0.677514505060585,-9174.67937917204
"90%",0.00362803324995988,0.00810687309248654,0.389335724829929,0.469691011985215,0.680516396735088,-9174.57409820537
"92.5%",0.00364369095938241,0.00813976310589925,0.390392720363911,0.470649515607802,0.684124651844882,-9174.45395893071
"95%",0.00366785015141575,0.00818474999900044,0.391907943555659,0.471833871646551,0.688656929732202,-9174.32836229394
"97.5%",0.0036987027458561,0.00823672715566267,0.394807050449775,0.47378046502289,0.695376603879049,-9174.17468267254
"100%",0.00391337960734416,0.00859221524386267,0.41002604707563,0.48577101569146,0.732006549929389,-9173.79267652652
