"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.012869362712699,0.00549082305036398,0.172277600739118,0.278213545567133,0.186204385528137,-21692.5766083848
"Std.",4.77676186952449e-05,0.000103703638485489,0.000741273037174409,0.00173777666625445,0.00107069793474498,1.60739502792243
"Acceptance ratio",0.14206,0.2017,0.2042,0.15784,0.24254,0.65248
"0%",0.0126991103508114,0.00511659051262513,0.169430979976242,0.272793764661405,0.181713161708009,-21703.648983337
"2.5%",0.0127792841884587,0.00529192166687891,0.170828954311646,0.274936564411313,0.184103517976692,-21696.5554717914
"5%",0.0127918438052097,0.00531908725594883,0.171044750275456,0.275385915494532,0.184434762645455,-21695.6824704039
"7.5%",0.0128019287165896,0.00534070449887774,0.171193733353656,0.275652871140521,0.184663917033128,-21695.0912322075
"10%",0.012808869361946,0.00535652142277128,0.171311978523944,0.275925896633271,0.184823587308567,-21694.7032457236
"12.5%",0.0128136463732678,0.00537064970309996,0.17141751438523,0.276165515986742,0.184963315890771,-21694.4018769994
"15%",0.0128185875793746,0.00538148558188447,0.171507995023802,0.276382371592162,0.185091796200031,-21694.1395899887
"17.5%",0.0128235504385665,0.00539331371280312,0.171576801645451,0.276539031118058,0.185201719284512,-21693.9202241643
"20%",0.0128283231693116,0.00540267818278214,0.171646824869588,0.276701741609612,0.185308635780757,-21693.7261405181
"22.5%",0.012832011254903,0.00541170915025448,0.171712991183337,0.276863499122198,0.185403557024721,-21693.5634907118
"25%",0.0128353748819225,0.00542151792626054,0.171776010797067,0.277015029958764,0.185488961773072,-21693.4062002609
"27.5%",0.0128396222927721,0.00542952621160118,0.171827044383481,0.277152366192644,0.185562397820528,-21693.2494457866
"30%",0.0128434092240073,0.00543634320723272,0.171879879524003,0.277266545934364,0.185644988135272,-21693.1148390035
"32.5%",0.012846523482633,0.00544335108908314,0.171936986174999,0.277394264124351,0.185721015678385,-21692.9842645414
"35%",0.0128494914160694,0.00544986811459307,0.171988257251648,0.277506045779303,0.185790438046306,-21692.8753145458
"37.5%",0.0128528453220332,0.00545743785696559,0.172040915000846,0.277622391621657,0.185871274801252,-21692.766272972
"40%",0.0128562157483311,0.0054639339056261,0.172090508988244,0.277729606560113,0.185941740520995,-21692.65811369
"42.5%",0.0128600115759313,0.00546920279181536,0.172141409116476,0.277840740733791,0.186008329133039,-21692.5447394152
"45%",0.0128636970359051,0.00547597869114005,0.172193028936722,0.277958129381077,0.186078934482502,-21692.4504006453
"47.5%",0.0128669819410918,0.00548323945812802,0.172240785858503,0.278066710585752,0.18614850249195,-21692.3480982214
"50%",0.012870105506511,0.00548932395922549,0.172282363575223,0.278176355447688,0.186220090841789,-21692.25484851
"52.5%",0.0128730175676717,0.00549619861613058,0.172330036107496,0.278298617888522,0.186280149538947,-21692.1647750284
"55%",0.0128760882772157,0.00550292498139352,0.172377788218659,0.2784193013058,0.186349876159125,-21692.0735844409
"57.5%",0.0128789036923765,0.00550933374483631,0.172432807604914,0.278549790569032,0.18641650257543,-21691.9913259952
"60%",0.0128818835966045,0.00551674364614356,0.172475491825822,0.27866854202758,0.186483706362698,-21691.9039563641
"62.5%",0.0128846085207229,0.00552293942758528,0.172524903567406,0.278772195952923,0.186548579275687,-21691.8196475115
"65%",0.012888135769549,0.00553085579011424,0.172569924807928,0.278893820367103,0.186622654305664,-21691.7403853721
"67.5%",0.0128912179979854,0.00553881485782612,0.172620923912998,0.279034058551715,0.18669241234056,-21691.6550791029
"70%",0.0128943144557534,0.00554586194506448,0.172678247656519,0.279163721111648,0.186759389596862,-21691.5628852565
"72.5%",0.0128977218779398,0.00555460612527311,0.17272648265255,0.279288734958355,0.186839758517811,-21691.4771135647
"75%",0.0129013087646145,0.00556180551927081,0.172782305301189,0.279420429835054,0.18691379702926,-21691.3999184109
"77.5%",0.0129050863322833,0.00557039763080685,0.172836483549579,0.27957588152286,0.187010188306166,-21691.3140438655
"80%",0.0129094153277442,0.00557859860239203,0.172902088686271,0.279716193582891,0.187094651882534,-21691.2249679924
"82.5%",0.0129135783802123,0.00558933427870305,0.172978891385083,0.279890351110154,0.187185086550901,-21691.1363231208
"85%",0.0129185699471073,0.00559880931803241,0.173047789753267,0.280075610965297,0.187299567628761,-21691.0467133675
"87.5%",0.0129234320572815,0.00561138697161278,0.173146878604799,0.280305756961805,0.187428441758098,-21690.9549125823
"90%",0.0129304690595656,0.00562630645918461,0.173233680989318,0.280534439489257,0.187569318282484,-21690.8466855212
"92.5%",0.0129388003909669,0.00564184829285647,0.173362756702822,0.280775844019083,0.187759882372869,-21690.7231332545
"95%",0.0129488211757456,0.00566377409951083,0.173493993984244,0.281038790765736,0.187972145928115,-21690.6075246403
"97.5%",0.0129652950304338,0.00569354194047024,0.173718295395113,0.281631808655204,0.188309332865222,-21690.440562003
"100%",0.0130516314424154,0.00588212525572263,0.175246014701531,0.285158518302561,0.190181087834409,-21690.0279584241
