Genome	ST	clusters	Country	Host	Type
00-2782_2000	11	Western Mediterranean	France	Sheep	Modern
00-2956-4_2000	11	Western Mediterranean	NA	NA	Modern
00-3099-5733_2000	11	Western Mediterranean	France	Sheep	Modern
00-3099-5734_2000	11	Western Mediterranean	France	Goat	Modern
00-4216_2000	11	Western Mediterranean	France	Human	Modern
01-3016-5171_2001	11	Western Mediterranean	France	Cattle	Modern
02-5863-1_Unknown	8	Fertile Crescent	NA	NA	Modern
02-7258_Unknown	8	Fertile Crescent	NA	NA	Modern
1-VerB_2013	8	Africa/America	NA	NA	Modern
11-1823-3434_Unknown	8	Fertile Crescent	NA	NA	Modern
128_1986	8	Indo-Pacific	China	Human	Modern
133_1998	8	Indo-Pacific	China	Human	Modern
16M-VerB_Unknown	7	Africa/America	NA	NA	Modern
16M-VerC_Unknown	7	Africa/America	NA	NA	Modern
1_2011	8	Africa/America	Norway	Human	Modern
2007BM-1_2007	8	Indo-Pacific	India	Human	Modern
2008724259_2007	11	Western Mediterranean	United States	Human	Modern
2010724553_2010	8	Fertile Crescent	Canada	Human	Modern
2011TE116411_2011	43	Western Mediterranean	Italy	Sheep	Modern
2011TE116911_2011	43	Western Mediterranean	Italy	Goat	Modern
2011TE117111_2011	43	Western Mediterranean	Italy	Sheep	Modern
2011TE1178211_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE1178911_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1179111_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1179311_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE1179811_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1180211_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE1180311_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE1180511_2011	11	Western Mediterranean	Italy	Cattle	Modern
2011TE1181011_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE1181411_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1181511_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1182111_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1182611_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1182811_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1184211_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1184411_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1237211_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1237311_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1284111_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1284911_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1354111_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE1951311_2011	8	Indo-Pacific	Italy	Human	Modern
2011TE199411_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE199511_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE2103111_2011	7	Africa/America	Italy	Goat	Modern
2011TE2168711_2011	43	Western Mediterranean	Italy	Sheep	Modern
2011TE229911_2011	43	Western Mediterranean	Italy	Sheep	Modern
2011TE246111_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE392211_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE446711_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE447111_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE447411_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE447811_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE447911_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE448011_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE448411_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE448611_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE448811_2011	11	Western Mediterranean	Italy	Goat	Modern
2011TE449111_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE449611_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE450011_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE605711_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE607611_2011	11	Western Mediterranean	Italy	Cattle	Modern
2011TE629911_2011	11	Western Mediterranean	Italy	Human	Modern
2011TE629912_2011	11	Western Mediterranean	Italy	Human	Modern
2011TE683711_2011	88	Western Mediterranean	Italy	Sheep	Modern
2011TE683811_2011	88	Western Mediterranean	Italy	Sheep	Modern
2011TE683911_2011	88	Western Mediterranean	Italy	Sheep	Modern
2011TE684011_2011	11	Western Mediterranean	Italy	Sheep	Modern
2011TE684411_2011	88	Western Mediterranean	Italy	Sheep	Modern
2011TE74411_2011	11	Western Mediterranean	Italy	Cattle	Modern
2011TE755611_2011	43	Western Mediterranean	Italy	Sheep	Modern
2012TE1848511_2012	11	Western Mediterranean	Italy	Sheep	Modern
2012TE2422611_2012	11	Western Mediterranean	Italy	Sheep	Modern
2012TE2424011_2012	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1352811_2013	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1500311_2013	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1500511_2013	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1501611_2013	43	Western Mediterranean	Italy	Sheep	Modern
2013TE1501911_2013	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1502111_2013	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1502811_2013	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1502911_2013	11	Western Mediterranean	Italy	Cattle	Modern
2013TE254711_2013	11	Western Mediterranean	Italy	Human	Modern
2014TE1651012_2014	11	Western Mediterranean	Italy	Goat	Modern
2014TE1651017_2014	11	Western Mediterranean	Italy	Goat	Modern
2015CB2220119_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015CB3742120_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015CB3742127_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS2529114_2015	11	Western Mediterranean	Italy	Goat	Modern
2015IS2533111_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS2547111_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS256619_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS3088130_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS3088136_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS3088142_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS341317_2015	11	Western Mediterranean	Italy	Human	Modern
2015IS368118_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS508818_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015IS594717_2015	11	Western Mediterranean	Italy	Cattle	Modern
2015IS604318_2015	11	Western Mediterranean	Italy	Cattle	Modern
2015TE1184311_2015	43	Western Mediterranean	Italy	NA	Modern
2015TE1184511_2015	43	Western Mediterranean	Italy	NA	Modern
2015TE1184711_2015	43	Western Mediterranean	Italy	NA	Modern
2015TE1184712_2015	43	Western Mediterranean	Italy	NA	Modern
2015TE1184913_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE1614211_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE1614212_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE1616512_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE1617311_2015	11	Western Mediterranean	Italy	Goat	Modern
2015TE1618111_2015	11	Western Mediterranean	Italy	Goat	Modern
2015TE1618911_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE1619411_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE1620011_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE2182411_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE2182511_2015	11	Western Mediterranean	Italy	Sheep	Modern
2015TE2627011_2015	11	Western Mediterranean	Italy	Human	Modern
2016CB126517_2016	11	Western Mediterranean	Italy	Cattle	Modern
2016TE1727011_2016	11	Western Mediterranean	Italy	Sheep	Modern
2016TE1727111_2016	11	Western Mediterranean	Italy	Cattle	Modern
2016TE600811_2016	11	Western Mediterranean	Italy	Ibex	Modern
2016TE634411_2016	11	Western Mediterranean	Italy	Human	Modern
2016TE70312_2015	11	Western Mediterranean	Italy	Sheep	Modern
2016TE70511_2015	11	Western Mediterranean	Italy	Sheep	Modern
2017TE307211_2017	11	Western Mediterranean	Italy	Human	Modern
20236_2012	8	Fertile Crescent	China	Human	Modern
43_Unknown	8	Russia	China	Sheep	Modern
548_1948	8	Russia	Russia	Sheep	Modern
64-150_1964	41	Fertile Crescent	NA	NA	Modern
66-59_1966	8	Fertile Crescent	India	Sheep	Modern
ADMAS-G1_2013	7	Africa/America	India	Goat	Modern
ATCC23457_Unknown	8	Fertile Crescent	NA	NA	Modern
B115_1962	7	Africa/America	Malta	Goat	Modern
B115_Unknown	7	Africa/America	NA	NA	Modern
B15_2018	8	Fertile Crescent	China	Human	Modern
B29_2018	8	Fertile Crescent	China	Human	Modern
B7_2016	8	Fertile Crescent	China	Human	Modern
B9_2018	8	Fertile Crescent	China	Human	Modern
BB10_2012	8	Indo-Pacific	China	Human	Modern
BB15_2010	8	Indo-Pacific	China	Sheep	Modern
BB17_2010	8	Indo-Pacific	China	Goat	Modern
BB18_2013	8	Indo-Pacific	China	Sheep	Modern
BB19_2011	8	Indo-Pacific	China	Human	Modern
BB1_1973	8	Indo-Pacific	China	Human	Modern
BB20_2011	8	Indo-Pacific	China	Human	Modern
BB2_1957	8	Indo-Pacific	China	Goat	Modern
BB3_1980	8	Indo-Pacific	China	Goat	Modern
