Sample	Date	Date.Source	ST	clusters	Country	Host	Type
00-2529-3_2000	2000	Collection	NA	NA	NA	NA	NA
00-2782_2000	2000	Collection	11	Western Mediterranean	France	Sheep	Modern
00-2956-4_2000	2000	Collection	11	Western Mediterranean	NA	NA	Modern
00-3099-5733_2000	2000	Collection	11	Western Mediterranean	France	Sheep	Modern
00-3099-5734_2000	2000	Collection	11	Western Mediterranean	France	Goat	Modern
00-4216_2000	2000	Collection	11	Western Mediterranean	France	Human	Modern
01-3016-5171_2001	2001	Collection	11	Western Mediterranean	France	Cattle	Modern
02-5863-1_Unknown	2013-08-26	Submission	8	Fertile Crescent	NA	NA	Modern
02-7258_Unknown	2013-08-26	Submission	8	Fertile Crescent	NA	NA	Modern
1-VerB_2013	2013	Collection	8	Africa/America	NA	NA	Modern
11-1823-3434_Unknown	2013-08-26	Submission	8	Fertile Crescent	NA	NA	Modern
128_1986	1986-04	Collection	8	Indo-Pacific	China	Human	Modern
133_1998	1998-03	Collection	8	Indo-Pacific	China	Human	Modern
16M-VerB_Unknown	NODATE	NODATE	7	Africa/America	NA	NA	Modern
16M-VerC_Unknown	NODATE	NODATE	7	Africa/America	NA	NA	Modern
1_2011	2011	Collection	8	Africa/America	Norway	Human	Modern
2007BM-1_2007	2007-11-11	Collection	8	Indo-Pacific	India	Human	Modern
2008724259_2007	2007-08	Collection	11	Western Mediterranean	United States	Human	Modern
2010724553_2010	2010-11	Collection	8	Fertile Crescent	Canada	Human	Modern
2011TE116411_2011	2011	Collection	43	Western Mediterranean	Italy	Sheep	Modern
2011TE116911_2011	2011	Collection	43	Western Mediterranean	Italy	Goat	Modern
2011TE117111_2011	2011	Collection	43	Western Mediterranean	Italy	Sheep	Modern
2011TE1178211_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE1178911_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1179111_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1179311_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE1179811_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1180211_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE1180311_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE1180511_2011	2011	Collection	11	Western Mediterranean	Italy	Cattle	Modern
2011TE1181011_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE1181411_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1181511_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1182111_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1182611_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1182811_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1184211_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1184411_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1237211_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1237311_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1284111_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1284911_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE1354111_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE1951311_2011	2011	Collection	8	Indo-Pacific	Italy	Human	Modern
2011TE199411_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE199511_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE2103111_2011	2011	Collection	7	Africa/America	Italy	Goat	Modern
2011TE2168711_2011	2011	Collection	43	Western Mediterranean	Italy	Sheep	Modern
2011TE229911_2011	2011	Collection	43	Western Mediterranean	Italy	Sheep	Modern
2011TE246111_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE392211_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE446711_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE447111_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE447411_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE447811_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE447911_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE448011_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE448411_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE448611_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE448811_2011	2011	Collection	11	Western Mediterranean	Italy	Goat	Modern
2011TE449111_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE449611_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE450011_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE605711_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE607611_2011	2011	Collection	11	Western Mediterranean	Italy	Cattle	Modern
2011TE629911_2011	2011	Collection	11	Western Mediterranean	Italy	Human	Modern
2011TE629912_2011	2011	Collection	11	Western Mediterranean	Italy	Human	Modern
2011TE683711_2011	2011	Collection	88	Western Mediterranean	Italy	Sheep	Modern
2011TE683811_2011	2011	Collection	88	Western Mediterranean	Italy	Sheep	Modern
2011TE683911_2011	2011	Collection	88	Western Mediterranean	Italy	Sheep	Modern
2011TE684011_2011	2011	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2011TE684411_2011	2011	Collection	88	Western Mediterranean	Italy	Sheep	Modern
2011TE74411_2011	2011	Collection	11	Western Mediterranean	Italy	Cattle	Modern
2011TE755611_2011	2011	Collection	43	Western Mediterranean	Italy	Sheep	Modern
2012TE1848511_2012	2012	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2012TE2422611_2012	2012	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2012TE2424011_2012	2012	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1352811_2013	2013	Collection	11	Western Mediterranean	Italy	Sheep	Modern
2013TE1500311_2013	2013	Collection	11	Western Mediterranean	Italy	Sheep	Modern
