
     LogAnalyser v1.10.4 Prerelease #bc6cbd9, 2002-2018
                    MCMC Output analysis
                             by
           Andrew Rambaut and Alexei J. Drummond

             Institute of Evolutionary Biology
                  University of Edinburgh
                     a.rambaut@ed.ac.uk

               Department of Computer Science
                   University of Auckland
                  alexei@cs.auckland.ac.nz


Analysing log file: WMedAlignmentLogNormal.log
burnIn   <= 100000000,   maxState  = 1000000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-4628183.5612	20.9539	-4628175.9718	-4628232.5338	-4628158.6011	252.2505	-4628179.5251	-4628165.4683	
prior	216.596	20.0442	225.4299	169.1414	235.4014	233.661	223.7781	232.4396	
likelihood	-4628400.1572	5.7258	-4628399.8286	-4628411.5649	-4628389.3241	36562.6416	-4628403.1734	-4628395.5345	
treeModel.rootHeight	622.3836	0	0	0	0	�	0	0	
age(root)	1394.6164	0	0	0	0	�	0	0	
treeLength	2149.963	233.9791	2035.5488	1970.7842	2708.5379	225.9009	1990.3345	2047.0057	
exponential.popSize	1.9993E42	1.338E43	9.5812E30	1.4314E29	5.877E42	271.0243	4.2009E29	9.6783E30	
exponential.growthRate	1.1386	1.8103E-3	1.1391	1.135	1.1404	7.0876E5	1.1391	1.1404	
gtr.rates.rateAC	0.564	0.0178	0.5638	0.5298	0.5998	2.0335E5	0.5517	0.5758	
gtr.rates.rateAG	2.0731	0.0291	2.073	2.0161	2.1303	1.4876E5	2.0533	2.0925	
gtr.rates.rateAT	0.2983	0.0153	0.298	0.2684	0.3283	2.0686E5	0.287	0.3075	
gtr.rates.rateCG	0.3347	0.0123	0.3346	0.3111	0.3591	1.9824E5	0.3259	0.3424	
gtr.rates.rateCT	2.1487	0.0294	2.1488	2.0909	2.2062	1.4603E5	2.1288	2.1686	
gtr.rates.rateGT	0.5811	0.018	0.581	0.5458	0.6165	1.9912E5	0.569	0.5933	
frequencies1	0.2139	2.2535E-4	0.2139	0.2135	0.2144	3.1842E5	0.2138	0.2141	
frequencies2	0.2851	2.482E-4	0.2851	0.2846	0.2856	3.0495E5	0.2849	0.2853	
frequencies3	0.2869	2.4874E-4	0.2869	0.2864	0.2874	3.0716E5	0.2868	0.2871	
frequencies4	0.214	2.2526E-4	0.214	0.2136	0.2145	3.2272E5	0.2139	0.2142	
alpha	0.5482	0.4405	0.4247	2.7971E-3	1.4104	1.4651E5	0.142	0.5002	
pInv	0.279	0.1707	0.2696	5.5853E-7	0.5681	1.6285E5	2.0673E-4	0.2697	
ucld.mean	1.2365E-3	4.6259E-4	1.1619E-3	3.8815E-4	2.0029E-3	283.8937	6.4077E-4	1.2951E-3	
ucld.stdev	0.2311	0.1708	0.1887	0.0115	0.5153	324.5345	0.0468	0.2189	
meanRate	1.3889E-6	1.31E-7	1.4488E-6	1.085E-6	1.5089E-6	228.6676	1.4375E-6	1.4905E-6	
coefficientOfVariation	2.652	1.0182	2.3018	1.5488	5.0515	1231.8406	1.8792	2.4304	
covariance	0.1629	0.1423	0.1522	-0.0743	0.4284	527.5015	-0.0293	0.1864	
coalescentEventsStatistic1	18709.9301	3348.4556	17207.6007	15719.2052	26887.6664	229.0884	16319.2281	17492.0952	
coalescentEventsStatistic2	332.4204	324.936	234.2089	1.9002E-4	986.6201	2645.8148	0.0125	234.2185	
coalescentEventsStatistic3	162.7663	157.1217	116.2308	1.2707E-4	474.2434	6746.0893	1.2707E-4	116.2308	
coalescentEventsStatistic4	105.5329	100.6569	75.8083	2.8129E-5	306.4737	12271.6052	3.2655E-3	75.8111	
coalescentEventsStatistic5	77.0526	73.2446	55.263	2.2081E-5	224.1803	15108.9979	2.2081E-5	55.263	
coalescentEventsStatistic6	59.4516	56.7399	42.5603	1.1393E-4	173.1081	16436.985	1.6616E-3	42.5611	
coalescentEventsStatistic7	47.376	45.508	33.7713	5.8489E-5	138.5731	16246.8341	2.4548E-4	33.7715	
coalescentEventsStatistic8	38.5656	37.1354	27.5197	9.7311E-6	112.9302	16689.674	9.7311E-6	27.5197	
coalescentEventsStatistic9	31.8088	30.338	22.7818	8.547E-6	92.7617	17662.3013	1.7491E-4	22.7819	
coalescentEventsStatistic10	26.7911	25.5283	19.2192	2.9866E-5	78.025	17959.577	5.9679E-4	19.2197	
coalescentEventsStatistic11	22.8834	21.7047	16.4743	3.1276E-5	66.3918	19383.3682	2.9915E-4	16.4745	
coalescentEventsStatistic12	19.759	18.6668	14.2612	3.33E-5	57.2598	19205.8309	3.33E-5	14.2612	
coalescentEventsStatistic13	17.1032	16.0932	12.3877	1.7813E-5	49.3216	19436.4634	5.2175E-5	12.3877	
coalescentEventsStatistic14	14.9184	13.9075	10.869	1.0413E-5	42.822	19566.9373	9.3735E-5	10.869	
coalescentEventsStatistic15	13.0446	12.11	9.5221	1.19E-5	37.3692	18828.3857	6.5613E-4	9.5225	
coalescentEventsStatistic16	11.3904	10.5191	8.3482	3.844E-5	32.5016	17498.8715	3.844E-5	8.3482	
coalescentEventsStatistic17	9.936	9.0919	7.3302	2.4938E-5	28.1053	14195.7947	2.4938E-5	7.3302	
coalescentEventsStatistic18	8.6816	7.9026	6.4431	2.2181E-5	24.4397	11693.3492	2.2181E-5	6.4431	
coalescentEventsStatistic19	7.5633	6.81	5.6373	2.9933E-5	21.174	11657.9352	6.1554E-5	5.6373	
coalescentEventsStatistic20	6.5734	5.8624	4.9427	7.0773E-6	18.2964	7747.5598	7.0773E-6	4.9427	
coalescentEventsStatistic21	5.713	5.0167	4.3486	1.8731E-6	15.7193	6258.5371	1.8731E-6	4.3486	
coalescentEventsStatistic22	4.9019	4.2406	3.7698	1.1558E-6	13.3672	5765.4957	1.1558E-6	3.7698	
coalescentEventsStatistic23	4.1006	3.4929	3.1906	4.5076E-7	11.0094	4535.3104	1.9418E-4	3.1908	
coalescentEventsStatistic24	3.4002	2.7912	2.6846	1.9969E-5	8.9521	3028.9472	9.9657E-4	2.6854	
coalescentEventsStatistic25	2.6487	2.2041	2.0915	2.5436E-6	7.0496	1402.6062	1.0717E-4	2.0916	
coalescentEventsStatistic26	1.8294	1.443	1.495	3.1206E-6	4.6523	1112.8458	3.2346E-4	1.4952	
coalescentEventsStatistic27	1.0902	0.8108	0.9077	1.8318E-5	2.6586	1070.6257	0.0739	0.9712	
coalescentEventsStatistic28	0.5925	0.3993	0.5198	3.7764E-3	1.3502	1521.8942	0.0832	0.5772	
coalescentEventsStatistic29	0	0	0	0	0	�	0	0	
treeLikelihood	-4628400.1572	5.7258	-4628399.8286	-4628411.5649	-4628389.3241	36562.6416	-4628403.1734	-4628395.5345	
branchRates	-235.5057	0	0	0	0	�	0	0	
coalescent	530.0833	11.1301	534.1924	504.6196	543.1163	251.7628	532.5793	540.1192	

