burnIn   <= 1000000,   maxState  = 10000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-17628.589	4.7568	-17628.2272	-17638.0163	-17619.5342	4589.0924	-17630.9954	-17624.7448	
prior	-547.2767	9.2596	-547.1883	-566.0208	-529.5293	2844.6491	-552.6568	-540.2991	
likelihood	-17081.3123	9.2282	-17081.0357	-17099.548	-17063.5431	3254.3977	-17086.3311	-17074.0306	
treeModel.rootHeight	4454.5842	233.3902	4445.0196	4016.0557	4919.6874	4518.0238	4277.0494	4588.1446	
age(root)	-2437.5842	233.3902	-2428.0196	-2902.6874	-1999.0557	4518.0238	-2571.1446	-2260.0494	
treeLength	14141.559	612.505	14117.6352	12975.3505	15348.0347	3860.4189	13627.7262	14445.9306	
exponential.popSize	137.3684	9.5676	137.1247	119.055	155.8991	6337.1331	131.0804	143.9244	
exponential.growthRate	-0.0058	9.5437E-4	-0.0057	-0.0076	-0.0039	8010.1252	-0.0064	-0.0051	
gtr.rates.rateAC	0.5404	0.0364	0.5392	0.4702	0.6098	2360.7678	0.512	0.5607	
gtr.rates.rateAG	2.2127	0.0726	2.2115	2.0716	2.354	1189.237	2.1688	2.2671	
gtr.rates.rateAT	0.313	0.0347	0.3119	0.2504	0.3829	2608.2769	0.2889	0.3366	
gtr.rates.rateCG	0.1977	0.0199	0.197	0.1576	0.2353	2054.1266	0.1837	0.2098	
gtr.rates.rateCT	2.2193	0.0725	2.2198	2.0798	2.3584	1070.5989	2.174	2.2723	
gtr.rates.rateGT	0.5169	0.036	0.5164	0.4492	0.5868	2087.1536	0.4923	0.5427	
frequencies1	0.2161	5.5995E-3	0.2162	0.2058	0.2275	2197.7658	0.2128	0.2203	
frequencies2	0.2851	6.3815E-3	0.2851	0.2724	0.297	2501.0136	0.2811	0.2897	
frequencies3	0.2787	6.416E-3	0.2787	0.2655	0.2908	2590.2434	0.2746	0.2832	
frequencies4	0.2201	5.762E-3	0.2199	0.2088	0.2316	2323.8096	0.216	0.2235	
alpha	20.549	2.2295	20.4487	16.0876	24.8413	7582.0661	18.7788	21.7255	
clock.rate	9.5702E-5	4.1143E-6	9.569E-5	8.7973E-5	1.0404E-4	3925.6794	9.2855E-5	9.8321E-5	
meanRate	9.5702E-5	4.1143E-6	9.569E-5	8.7973E-5	1.0404E-4	3925.6794	9.2855E-5	9.8321E-5	
coalescentEventsStatistic1	10584.0149	1747.4059	10546.3711	7281.6527	14104.9559	3516.6099	9190.2082	11552.3203	
coalescentEventsStatistic2	1681.2012	1309.8175	1420.134	7.1859E-3	4191.545	5678.4951	7.1859E-3	1420.134	
coalescentEventsStatistic3	954.8708	846.4781	729.3193	0.12	2673.1997	6868.3804	1.2831	730.0173	
coalescentEventsStatistic4	1010.1223	883.2915	769.1543	0.0651	2801.6016	5723.0924	0.5614	769.4164	
coalescentEventsStatistic5	801.1222	681.8257	632.5225	0.058	2152.7466	6943.1664	0.058	632.5225	
coalescentEventsStatistic6	936.1403	867.5077	686.1443	0.1428	2693.6614	5293.0019	0.5303	686.3877	
coalescentEventsStatistic7	947.7729	839.4858	719.8291	0.0895	2652.8489	6288.7064	0.0895	719.8291	
