PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34269	-0.00092487
2.1375e-08	-32729	-0.0083464
2.1544e-07	-34529	-0.026608
8.3235e-07	-34013	-0.057874
2.1715e-06	-32998	-0.10373
4.5688e-06	-35304	-0.16479
8.3895e-06	-32731	-0.24356
1.4025e-05	-35305	-0.33631
2.1888e-05	-34730	-0.45276
3.2412e-05	-34631	-0.58305
4.6050e-05	-34406	-0.73620
6.3272e-05	-34259	-0.90999
8.4561e-05	-32086	-1.0919
0.00011042	-34717	-1.3023
0.00014136	-34705	-1.5315
0.00017791	-34312	-1.7796
0.00022061	-33382	-2.0448
0.00027002	-33482	-2.3261
0.00032669	-33448	-2.6171
0.00039121	-33085	-2.9417
0.00046416	-30830	-3.2487
0.00054613	-30731	-3.5832
0.00063774	-30616	-3.9005
0.00073959	-31958	-4.2700
0.00085232	-30001	-4.6014
0.00097656	-28528	-4.9209
0.0011130	-27863	-5.2747
0.0012622	-26232	-5.5275
0.0014248	-26266	-5.8061
0.0016016	-23247	-6.0640
0.0017932	-23609	-6.3370
0.0020003	-23384	-6.5590
0.0022237	-22212	-6.6790
0.0024638	-21337	-6.9013
0.0027216	-20324	-7.1426
0.0029977	-20038	-7.2835
0.0032929	-19822	-7.4659
0.0036078	-19561	-7.7293
0.0039432	-19530	-7.9782
0.0042998	-19262	-8.3053
0.0046784	-18901	-8.6077
0.0050798	-19169	-8.9502
0.0055047	-19084	-9.3278
0.0059538	-18774	-9.7341
0.0064280	-18725	-10.123
0.0069280	-18483	-10.555
0.0074546	-18458	-11.009
0.0080087	-18451	-11.471
0.0085909	-18395	-11.935
0.0092021	-18165	-12.438
0.0098431	-18148	-12.929
0.010515	-18120	-13.475
0.011218	-18112	-14.010
0.011953	-18064	-14.550
0.012722	-18011	-15.104
0.013524	-18007	-15.691
0.014361	-18009	-16.278
0.015234	-17879	-16.895
0.016143	-17851	-17.553
0.017090	-17880	-18.177
0.018075	-17820	-18.851
0.019099	-17798	-19.524
0.020162	-17834	-20.206
0.021267	-17768	-20.912
0.022413	-17647	-21.646
0.023602	-17768	-22.388
0.024834	-17681	-23.132
