PathParameter	MaxPathLikelihood	MLContribution
0.0000	-2.9569e+05	-0.0071595
2.1375e-08	-2.9150e+05	-0.065225
2.1544e-07	-2.9463e+05	-0.20741
8.3235e-07	-2.9070e+05	-0.44875
2.1715e-06	-2.9038e+05	-0.80266
4.5688e-06	-2.9436e+05	-1.2798
8.3895e-06	-2.9667e+05	-1.8793
1.4025e-05	-2.8837e+05	-2.6158
2.1888e-05	-2.8794e+05	-3.4854
3.2412e-05	-2.8493e+05	-4.4855
4.6050e-05	-2.8690e+05	-5.6062
6.3272e-05	-2.8127e+05	-6.8623
8.4561e-05	-2.7021e+05	-8.2324
0.00011042	-2.6819e+05	-9.6573
0.00014136	-2.6412e+05	-11.260
0.00017791	-2.3576e+05	-12.718
0.00022061	-2.3937e+05	-14.225
0.00027002	-2.3018e+05	-15.558
0.00032669	-2.1739e+05	-16.970
0.00039121	-1.9825e+05	-17.372
0.00046416	-1.7466e+05	-17.570
0.00054613	-1.5417e+05	-17.305
0.00063774	-1.3864e+05	-16.790
0.00073959	-1.2027e+05	-16.523
0.00085232	-1.0712e+05	-15.955
0.00097656	-1.0223e+05	-16.444
0.0011130	-1.0225e+05	-17.238
0.0012622	-1.0060e+05	-18.105
0.0014248	-98020	-19.011
0.0016016	-98039	-20.142
0.0017932	-96058	-21.398
0.0020003	-95094	-22.835
0.0022237	-94407	-24.112
0.0024638	-91978	-25.506
0.0027216	-92127	-27.028
0.0029977	-90752	-28.376
0.0032929	-89472	-29.775
0.0036078	-88246	-31.381
0.0039432	-86344	-32.824
0.0042998	-87160	-34.607
0.0046784	-86370	-36.150
0.0050798	-85495	-37.814
0.0055047	-83957	-39.400
0.0059538	-83660	-41.359
0.0064280	-82996	-43.195
0.0069280	-82390	-45.096
0.0074546	-81773	-47.032
0.0080087	-81573	-49.065
0.0085909	-81304	-51.277
0.0092021	-80846	-53.458
0.0098431	-80384	-55.662
0.010515	-80379	-57.999
0.011218	-80047	-60.264
0.011953	-79200	-62.688
0.012722	-78527	-64.975
0.013524	-78716	-67.400
0.014361	-78668	-70.131
0.015234	-77882	-72.597
0.016143	-77913	-75.307
0.017090	-77553	-77.906
0.018075	-77038	-80.422
0.019099	-76730	-83.173
0.020162	-76589	-86.125
0.021267	-76464	-89.072
0.022413	-76212	-91.978
0.023602	-75998	-94.904
0.024834	-75561	-97.943
0.026111	-75391	-101.21
0.027432	-75466	-104.41
0.028800	-75189	-107.84
0.030215	-75056	-111.23
0.031678	-75026	-114.71
0.033190	-74958	-118.24
0.034752	-74868	-121.74
0.036364	-74710	-125.51
0.038028	-74672	-129.28
0.039745	-74551	-133.19
0.041515	-74558	-137.07
0.043339	-74389	-141.04
0.045219	-74425	-145.16
0.047156	-74465	-149.38
0.049149	-74398	-153.58
0.051201	-74281	-157.88
0.053312	-74208	-162.24
0.055484	-74237	-166.66
0.057716	-74189	-171.18
0.060011	-74146	-175.75
0.062368	-74145	-180.48
0.064790	-74145	-185.20
0.067277	-74086	-189.93
0.069830	-73996	-194.86
0.072450	-74040	-199.83
0.075138	-74012	-204.91
0.077895	-74013	-209.95
0.080722	-73931	-215.09
0.083620	-73958	-220.44
0.086591	-73869	-225.72
0.089634	-73854	-231.12
0.092751	-73828	-236.63
0.095944	-73861	-242.19
0.099213	-73811	-247.80
0.10256	-73808	-253.49
0.10598	-73790	-259.32
0.10949	-73792	-265.19
0.11307	-73796	-271.13
0.11673	-73734	-277.11
0.12048	-73743	-283.22
0.12431	-73716	-289.34
0.12823	-73713	-295.63
0.13223	-73726	-302.00
0.13631	-73721	-308.37
0.14049	-73714	-314.86
0.14475	-73658	-321.41
0.14911	-73691	-328.04
0.15355	-73677	-334.79
0.15809	-73621	-341.60
0.16271	-73651	-348.46
0.16744	-73639	-355.44
0.17226	-73639	-362.50
0.17717	-73641	-369.62
0.18218	-73622	-376.82
0.18729	-73601	-384.11
0.19250	-73602	-391.45
0.19781	-73611	-398.94
0.20322	-73604	-406.45
0.20874	-73597	-414.08
0.21436	-73577	-421.75
0.22008	-73589	-429.53
0.22591	-73576	-437.40
0.23185	-73587	-445.35
0.23789	-73579	-453.37
0.24405	-73582	-461.46
0.25031	-73562	-469.65
0.25669	-73563	-477.94
0.26318	-73552	-486.28
0.26978	-73555	-494.74
0.27650	-73557	-503.26
0.28334	-73556	-511.86
0.29029	-73544	-520.58
0.29736	-73540	-529.35
0.30455	-73550	-538.19
0.31186	-73543	-547.15
0.31930	-73539	-556.20
0.32685	-73520	-565.30
0.33454	-73537	-574.53
0.34234	-73531	-583.82
0.35028	-73530	-593.21
0.35834	-73529	-602.64
0.36653	-73515	-612.20
0.37485	-73510	-621.84
0.38330	-73520	-631.55
0.39188	-73513	-641.35
0.40060	-73508	-651.25
0.40945	-73511	-661.23
0.41844	-73507	-671.30
0.42757	-73513	-681.48
0.43683	-73509	-691.69
0.44624	-73508	-702.05
0.45578	-73512	-712.49
0.46547	-73507	-722.95
0.47530	-73499	-733.56
0.48527	-73500	-744.25
0.49539	-73499	-755.02
0.50566	-73497	-765.88
0.51608	-73495	-776.84
0.52664	-73498	-787.88
0.53735	-73495	-799.02
0.54822	-73494	-810.25
0.55924	-73490	-821.54
0.57041	-73493	-832.94
0.58174	-73490	-844.45
0.59323	-73489	-856.01
0.60487	-73492	-867.71
0.61667	-73490	-879.50
0.62863	-73485	-891.30
0.64076	-73488	-903.25
0.65304	-73482	-915.29
0.66549	-73482	-927.40
0.67811	-73482	-939.62
0.69089	-73481	-951.94
0.70384	-73481	-964.34
0.71696	-73481	-976.83
0.73025	-73479	-989.43
0.74371	-73482	-1002.1
0.75734	-73479	-1014.9
0.77115	-73479	-1027.7
0.78513	-73473	-1040.7
0.79929	-73478	-1053.8
0.81363	-73470	-1066.9
0.82814	-73474	-1080.1
0.84284	-73472	-1093.4
0.85772	-73474	-1106.9
0.87278	-73471	-1120.4
0.88802	-73468	-1134.0
0.90345	-73467	-1147.7
0.91907	-73468	-1161.5
0.93488	-73465	-1175.4
0.95087	-73466	-1189.4
0.96705	-73465	-1203.5
0.98343	-73466	-1217.6
1.0000	-73463	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -74059.0838581569
