burnIn   <= 1000000,   maxState  = 10000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-74363.5429	8.1954	-74363.1223	-74380.2437	-74348.3295	927.4278	-74368.297	-74357.5643	
prior	-1893.1839	18.9558	-1892.9871	-1930.4977	-1856.7218	205.9411	-1903.6907	-1877.8	
likelihood	-72470.3591	18.1871	-72470.3508	-72505.1758	-72435.3739	272.604	-72481.6964	-72456.5794	
treeModel.rootHeight	5165.4085	174.8105	5160.1832	4834.7882	5508.4564	315.9789	5020.536	5255.3803	
age(root)	-3147.0797	174.8105	-3141.8544	-3490.1276	-2816.4594	315.9789	-3237.0516	-3002.2073	
treeLength	30193.3712	874.2265	30166.66	28542.5431	31940.8196	211.6262	29511.8336	30711.1352	
exponential.popSize	394.731	17.2799	394.3835	361.4178	428.329	2196.3408	382.0914	405.4154	
exponential.growthRate	-0.0122	8.6104E-4	-0.0122	-0.0139	-0.0105	5822.5451	-0.0128	-0.0116	
gtr.rates.rateAC	0.5643	0.0189	0.564	0.5278	0.6019	2286.8397	0.55	0.5754	
gtr.rates.rateAG	2.1323	0.0369	2.1331	2.0586	2.202	1126.5628	2.1107	2.1597	
gtr.rates.rateAT	0.416	0.0211	0.4154	0.3753	0.4575	2171.7609	0.3997	0.4278	
gtr.rates.rateCG	0.2221	9.6387E-3	0.2222	0.2046	0.2427	1814.4078	0.2171	0.2298	
gtr.rates.rateCT	2.1127	0.0361	2.1121	2.0447	2.1856	1106.9138	2.088	2.1361	
gtr.rates.rateGT	0.5526	0.0181	0.5522	0.5174	0.5872	2370.5454	0.5411	0.5651	
frequencies1	0.2016	3.0632E-3	0.2016	0.1958	0.2077	1896.6104	0.1989	0.2031	
frequencies2	0.297	3.621E-3	0.297	0.2902	0.3043	2042.2507	0.2944	0.2993	
frequencies3	0.2921	3.6495E-3	0.2921	0.2843	0.2986	2164.7413	0.2897	0.2946	
frequencies4	0.2093	3.144E-3	0.2093	0.2032	0.2155	2094.4815	0.2069	0.2111	
alpha	40.1342	3.1432	39.9882	33.7542	46.041	7011.8913	37.8352	41.9965	
clock.rate	3.7428E-5	1.1385E-6	3.7428E-5	3.5237E-5	3.9658E-5	231.9045	3.6581E-5	3.8148E-5	
meanRate	3.7428E-5	1.1385E-6	3.7428E-5	3.5237E-5	3.9658E-5	231.9045	3.6581E-5	3.8148E-5	
coalescentEventsStatistic1	1.3989E5	17656.4022	1.4035E5	1.0604E5	1.748E5	1170.6509	1.2852E5	1.5239E5	
coalescentEventsStatistic2	16780.7343	13765.6867	13581.3392	3.8854	43401.024	3733.7775	3.8854	13581.3392	
coalescentEventsStatistic3	11035.7896	9340.0552	8623.7372	1.2518	29117.2709	4286.2346	1.9536	8624.413	
coalescentEventsStatistic4	8764.1656	7785.1105	6589.0107	1.2451	24313.1352	4047.2948	1.2451	6589.0107	
coalescentEventsStatistic5	7556.7111	7061.551	5427.0886	2.3151	21609.0008	3586.8071	3.3229	5427.4873	
coalescentEventsStatistic6	6788.5745	6327.1089	4966.474	0.1936	19816.5394	4171.0943	0.5817	4966.8444	
coalescentEventsStatistic7	6275.5192	5938.6058	4458.3213	1.0152	18089.4547	5533.3168	1.0152	4458.3213	
coalescentEventsStatistic8	5933.2108	5685.672	4213.5986	0.1323	17365.2739	5813.2563	7.6187	4215.6501	
coalescentEventsStatistic9	5767.9402	5557.1509	4072.1835	0.1301	16936.2625	5764.5337	0.1301	4072.1835	
coalescentEventsStatistic10	5803.2548	5676.7383	4105.9319	0.2946	17309.6566	5362.1523	0.2946	4105.9319	
coalescentEventsStatistic11	5891.0197	5668.96	4175.7006	0.5981	17157.1165	4742.6585	0.5981	4175.7006	
coalescentEventsStatistic12	5723.1938	5657.8981	3980.3583	2.2146	17074.3801	4787.1739	6.9701	3983.0282	
coalescentEventsStatistic13	5857.9929	5771.2395	4025.565	0.0721	17703.0126	6062.6427	0.0721	4025.565	
coalescentEventsStatistic14	5809.2181	5693.2195	4051.8636	0.4573	17355.5517	5312.6697	0.4573	4051.8636	
coalescentEventsStatistic15	6239.0637	5965.5373	4426.4485	0.3504	18264.775	5600.6988	0.3504	4426.4485	
coalescentEventsStatistic16	6566.8251	6177.284	4710.8138	0.5648	19041.4628	6051.9453	2.0376	4711.5241	
coalescentEventsStatistic17	6867.6124	6350.9159	4968.6913	0.0398	19753.2986	6675.8039	7.001	4973.5693	
coalescentEventsStatistic18	7458.0585	6947.6337	5473.2333	6.5944E-4	21639.8015	4238.9417	6.5944E-4	5473.2333	
coalescentEventsStatistic19	7815.6356	7087.8227	5800.2111	0.6164	22134.747	6231.9748	1.1646	5800.5772	
coalescentEventsStatistic20	7508.5654	6779.6731	5625.5777	0.3626	20856.8197	3966.0367	3.8973	5627.2415	
coalescentEventsStatistic21	6920.0464	6272.5554	5172.9385	0.6184	19353.0241	5588.4348	2.5449	5174.5386	
coalescentEventsStatistic22	6373.1772	5771.628	4780.1027	0.1508	17764.1125	5552.8678	1.8454	4781.7919	
coalescentEventsStatistic23	6027.9375	5479.6335	4435.5646	0.2483	17116.9847	5011.1527	9.6971	4444.2649	
coalescentEventsStatistic24	5590.9018	5096.2586	4170.2714	0.671	16070.0633	5665.6846	0.671	4170.2714	
coalescentEventsStatistic25	5452.4932	4962.9305	4050.789	1.3775	15342.3158	5907.4328	1.3775	4050.789	
coalescentEventsStatistic26	5366.4077	4854.6151	3965.5894	0.6695	15061.921	5647.8624	0.6695	3965.5894	
coalescentEventsStatistic27	5443.1084	4965.784	4009.8738	0.1512	15317.0615	4988.8305	13.9858	4022.3956	
coalescentEventsStatistic28	5602.5262	5150.3346	4095.6367	0.9746	15972.1678	5121.9009	1.3013	4095.7365	
coalescentEventsStatistic29	5798.7028	5324.6992	4215.4218	1.8997	16621.3754	4231.3095	11.2916	4221.8152	
coalescentEventsStatistic30	5801.7788	5212.7863	4266.1569	0.8051	16306.3565	3744.2388	1.8156	4266.5141	
coalescentEventsStatistic31	5219.7326	4638.467	3985.746	0.3278	14518.2383	5017.3615	0.3278	3985.746	
coalescentEventsStatistic32	4335.4268	4003.069	3141.9152	0.1126	12365.9943	4599.0323	0.1126	3141.9152	
coalescentEventsStatistic33	3736.8872	3523.4747	2682.5403	0.4039	10857.2518	4006.7549	3.653	2684.6903	
coalescentEventsStatistic34	3168.3014	2963.133	2295.5874	0.34	9162.2377	3955.1935	0.34	2295.5874	
