burnIn   <= 1000000,   maxState  = 10000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-4563706.3977	121.2009	-4563702.8921	-4563712.8747	-4563694.3331	1407.1206	-4563705.6809	-4563699.3669	
prior	-499.0986	7.9586	-499.0635	-514.4976	-483.2762	2111.5548	-504.3288	-493.9034	
likelihood	-4563207.299	121.4949	-4563203.5891	-4563219.4213	-4563188.8749	1391.7674	-4563208.6887	-4563198.168	
treeModel.rootHeight	2910.7793	133.6651	2907.7838	2652.9069	3158.2796	3930.2681	2805.889	2980.0863	
age(root)	-893.7793	133.6651	-890.7838	-1141.2796	-635.9069	3930.2681	-963.0863	-788.889	
treeLength	11204.4136	435.9168	11190.9283	10381.7673	12074.1784	3307.8989	10906.6217	11477.5797	
exponential.popSize	131.3487	9.2781	131.1025	113.7499	149.9401	5802.6606	124.9218	137.3429	
exponential.growthRate	-0.0076	1.1277E-3	-0.0076	-0.0099	-0.0055	7965.0286	-0.0083	-0.0068	
gtr.rates.rateAC	0.5997	0.0342	0.599	0.53	0.6637	2275.086	0.5739	0.619	
gtr.rates.rateAG	2.0423	0.0541	2.0417	1.9392	2.1454	1947.5758	2.0051	2.0795	
gtr.rates.rateAT	0.3636	0.0307	0.3626	0.3027	0.4231	2540.4078	0.3401	0.3815	
gtr.rates.rateCG	0.3079	0.0212	0.3072	0.2666	0.3497	2392.9972	0.2911	0.3185	
gtr.rates.rateCT	2.1195	0.0545	2.1195	2.0115	2.2199	1644.671	2.0773	2.1505	
gtr.rates.rateGT	0.5671	0.033	0.5663	0.5004	0.6281	2422.5083	0.5444	0.5887	
frequencies1	0.2139	2.2203E-4	0.2139	0.2135	0.2144	3290.308	0.2138	0.2141	
frequencies2	0.2851	2.4816E-4	0.2851	0.2847	0.2856	3836.0293	0.2849	0.2853	
frequencies3	0.287	2.4735E-4	0.287	0.2865	0.2875	3501.5935	0.2868	0.2871	
frequencies4	0.214	2.2573E-4	0.214	0.2135	0.2144	3847.6844	0.2138	0.2141	
alpha	0.4853	0.4587	0.354	3.1003E-3	1.3795	2487.0318	3.1003E-3	0.354	
pInv	0.3662	0.2081	0.3631	3.4767E-4	0.7076	4448.5724	0.1861	0.5168	
clock.rate	8.1288E-8	1.0224E-7	7.911E-8	7.2579E-8	8.5741E-8	2219.8566	7.6427E-8	8.0873E-8	
meanRate	8.1288E-8	1.0224E-7	7.911E-8	7.2579E-8	8.5741E-8	2219.8566	7.6427E-8	8.0873E-8	
coalescentEventsStatistic1	11241.9509	1850.3295	11199.4746	7757.481	14915.5916	3307.712	9662.7642	12172.1162	
coalescentEventsStatistic2	1790.7761	1377.2693	1517.5221	0.5705	4397.7503	5895.9576	3.6836	1519.6735	
coalescentEventsStatistic3	1036.7519	919.6764	787.8072	0.0379	2861.6316	7296.4456	1.5119	788.6341	
coalescentEventsStatistic4	1070.4584	945.5398	804.9335	1.3336E-3	3004.6299	5530.9373	1.3336E-3	804.9335	
