PathParameter	MaxPathLikelihood	MLContribution
0.0000	-4.5927e+06	-0.098419
2.1375e-08	-4.5902e+06	-0.89359
2.1544e-07	-4.5866e+06	-2.8406
8.3235e-07	-4.5890e+06	-6.1658
2.1715e-06	-4.5892e+06	-11.038
4.5688e-06	-4.5935e+06	-17.593
8.3895e-06	-4.5905e+06	-25.946
1.4025e-05	-4.5869e+06	-36.203
2.1888e-05	-4.5913e+06	-48.454
3.2412e-05	-4.5901e+06	-62.791
4.6050e-05	-4.5858e+06	-79.281
6.3272e-05	-4.5911e+06	-98.003
8.4561e-05	-4.5882e+06	-119.03
0.00011042	-4.5872e+06	-142.41
0.00014136	-4.5881e+06	-168.20
0.00017791	-4.5865e+06	-196.49
0.00022061	-4.5841e+06	-227.31
0.00027002	-4.5847e+06	-260.70
0.00032669	-4.5786e+06	-296.67
0.00039121	-4.5800e+06	-335.26
0.00046416	-4.5797e+06	-376.55
0.00054613	-4.5799e+06	-420.50
0.00063774	-4.5782e+06	-467.24
0.00073959	-4.5771e+06	-516.91
0.00085232	-4.5753e+06	-569.55
0.00097656	-4.5741e+06	-625.15
0.0011130	-4.5750e+06	-683.70
0.0012622	-4.5745e+06	-745.23
0.0014248	-4.5732e+06	-809.81
0.0016016	-4.5723e+06	-877.47
0.0017932	-4.5706e+06	-948.16
0.0020003	-4.5694e+06	-1022.0
0.0022237	-4.5689e+06	-1099.0
0.0024638	-4.5670e+06	-1179.1
0.0027216	-4.5671e+06	-1262.4
0.0029977	-4.5666e+06	-1349.0
0.0032929	-4.5655e+06	-1438.9
0.0036078	-4.5657e+06	-1532.3
0.0039432	-4.5655e+06	-1629.1
0.0042998	-4.5652e+06	-1729.4
0.0046784	-4.5651e+06	-1833.1
0.0050798	-4.5647e+06	-1940.3
0.0055047	-4.5647e+06	-2051.1
0.0059538	-4.5646e+06	-2165.3
0.0064280	-4.5647e+06	-2283.2
0.0069280	-4.5645e+06	-2404.5
0.0074546	-4.5643e+06	-2529.5
0.0080087	-4.5640e+06	-2658.2
0.0085909	-4.5640e+06	-2790.5
0.0092021	-4.5643e+06	-2926.5
0.0098431	-4.5642e+06	-3066.2
0.010515	-4.5641e+06	-3209.7
0.011218	-4.5641e+06	-3356.9
0.011953	-4.5641e+06	-3507.9
0.012722	-4.5639e+06	-3662.8
0.013524	-4.5640e+06	-3821.4
0.014361	-4.5639e+06	-3983.9
0.015234	-4.5639e+06	-4150.3
0.016143	-4.5638e+06	-4320.6
0.017090	-4.5638e+06	-4494.9
0.018075	-4.5638e+06	-4673.1
0.019099	-4.5638e+06	-4855.2
0.020162	-4.5638e+06	-5041.4
0.021267	-4.5638e+06	-5231.5
0.022413	-4.5638e+06	-5425.7
0.023602	-4.5637e+06	-5624.0
0.024834	-4.5637e+06	-5826.3
0.026111	-4.5637e+06	-6032.8
0.027432	-4.5637e+06	-6243.3
0.028800	-4.5637e+06	-6458.0
0.030215	-4.5637e+06	-6676.9
0.031678	-4.5636e+06	-6899.9
0.033190	-4.5637e+06	-7127.2
0.034752	-4.5636e+06	-7358.6
0.036364	-4.5636e+06	-7594.3
0.038028	-4.5636e+06	-7834.3
0.039745	-4.5636e+06	-8078.5
0.041515	-4.5636e+06	-8327.0
0.043339	-4.5636e+06	-8579.8
0.045219	-4.5636e+06	-8837.0
0.047156	-4.5636e+06	-9098.5
0.049149	-4.5636e+06	-9364.4
0.051201	-4.5636e+06	-9634.7
0.053312	-4.5636e+06	-9909.4
0.055484	-4.5636e+06	-10188
0.057716	-4.5636e+06	-10472
0.060011	-4.5636e+06	-10760
0.062368	-4.5636e+06	-11052
0.064790	-4.5636e+06	-11349
0.067277	-4.5636e+06	-11651
0.069830	-4.5635e+06	-11957
0.072450	-4.5636e+06	-12267
0.075138	-4.5636e+06	-12582
0.077895	-4.5636e+06	-12902
0.080722	-4.5635e+06	-13226
0.083620	-4.5635e+06	-13555
0.086591	-4.5635e+06	-13889
0.089634	-4.5636e+06	-14227
0.092751	-4.5635e+06	-14570
0.095944	-4.5636e+06	-14917
0.099213	-4.5635e+06	-15269
0.10256	-4.5636e+06	-15626
0.10598	-4.5635e+06	-15988
0.10949	-4.5635e+06	-16354
0.11307	-4.5635e+06	-16725
0.11673	-4.5635e+06	-17101
0.12048	-4.5635e+06	-17481
0.12431	-4.5635e+06	-17867
0.12823	-4.5635e+06	-18257
0.13223	-4.5635e+06	-18652
0.13631	-4.5635e+06	-19052
0.14049	-4.5635e+06	-19457
0.14475	-4.5635e+06	-19866
0.14911	-4.5635e+06	-20281
0.15355	-4.5635e+06	-20700
0.15809	-4.5635e+06	-21124
0.16271	-4.5635e+06	-21553
0.16744	-4.5635e+06	-21988
0.17226	-4.5635e+06	-22427
0.17717	-4.5635e+06	-22871
0.18218	-4.5635e+06	-23320
0.18729	-4.5635e+06	-23774
0.19250	-4.5635e+06	-24233
0.19781	-4.5635e+06	-24697
0.20322	-4.5635e+06	-25166
0.20874	-4.5635e+06	-25640
0.21436	-4.5635e+06	-26119
0.22008	-4.5635e+06	-26604
0.22591	-4.5635e+06	-27093
0.23185	-4.5635e+06	-27588
0.23789	-4.5635e+06	-28087
0.24405	-4.5635e+06	-28592
0.25031	-4.5635e+06	-29102
0.25669	-4.5635e+06	-29617
0.26318	-4.5635e+06	-30137
0.26978	-4.5635e+06	-30663
0.27650	-4.5635e+06	-31193
0.28334	-4.5635e+06	-31729
0.29029	-4.5635e+06	-32270
0.29736	-4.5635e+06	-32816
0.30455	-4.5635e+06	-33368
0.31186	-4.5635e+06	-33925
0.31930	-4.5635e+06	-34487
0.32685	-4.5635e+06	-35054
0.33454	-4.5635e+06	-35627
0.34234	-4.5635e+06	-36205
0.35028	-4.5635e+06	-36788
0.35834	-4.5635e+06	-37376
0.36653	-4.5635e+06	-37970
0.37485	-4.5635e+06	-38570
0.38330	-4.5635e+06	-39174
0.39188	-4.5635e+06	-39784
0.40060	-4.5635e+06	-40400
0.40945	-4.5635e+06	-41021
0.41844	-4.5635e+06	-41647
0.42757	-4.5635e+06	-42278
0.43683	-4.5635e+06	-42916
0.44624	-4.5635e+06	-43558
0.45578	-4.5635e+06	-44206
0.46547	-4.5635e+06	-44860
0.47530	-4.5635e+06	-45519
0.48527	-4.5635e+06	-46183
0.49539	-4.5635e+06	-46853
0.50566	-4.5635e+06	-47529
0.51608	-4.5635e+06	-48210
0.52664	-4.5635e+06	-48896
0.53735	-4.5635e+06	-49588
0.54822	-4.5635e+06	-50286
0.55924	-4.5635e+06	-50989
0.57041	-4.5635e+06	-51698
0.58174	-4.5635e+06	-52413
0.59323	-4.5635e+06	-53133
0.60487	-4.5635e+06	-53859
0.61667	-4.5635e+06	-54590
0.62863	-4.5635e+06	-55327
0.64076	-4.5635e+06	-56069
0.65304	-4.5635e+06	-56818
0.66549	-4.5635e+06	-57572
0.67811	-4.5635e+06	-58331
0.69089	-4.5635e+06	-59097
0.70384	-4.5635e+06	-59868
0.71696	-4.5635e+06	-60645
0.73025	-4.5635e+06	-61427
0.74371	-4.5635e+06	-62215
0.75734	-4.5635e+06	-63009
0.77115	-4.5635e+06	-63809
0.78513	-4.5635e+06	-64614
0.79929	-4.5635e+06	-65426
0.81363	-4.5635e+06	-66243
0.82814	-4.5635e+06	-67066
0.84284	-4.5635e+06	-67894
0.85772	-4.5635e+06	-68729
0.87278	-4.5635e+06	-69569
0.88802	-4.5635e+06	-70415
0.90345	-4.5635e+06	-71267
0.91907	-4.5635e+06	-72125
0.93488	-4.5635e+06	-72989
0.95087	-4.5635e+06	-73859
0.96705	-4.5635e+06	-74734
0.98343	-4.5635e+06	-75616
1.0000	-4.5635e+06	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -4563639.110900019
