burnIn   <= 1000000,   maxState  = 10000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
joint	-4637694.1464	8.2579	-4637693.8171	-4637710.4473	-4637678.7032	845.4262	-4637699.0135	-4637688.0141	
prior	-1811.011	17.0568	-1810.6635	-1844.3716	-1776.7968	200.2132	-1820.5067	-1797.9262	
likelihood	-4635883.1354	16.2428	-4635882.8795	-4635914.5045	-4635850.6604	265.3684	-4635892.3669	-4635871.0914	
treeModel.rootHeight	4348.5466	141.3279	4344.7328	4074.5189	4624.0971	310.105	4255.1791	4442.0074	
age(root)	-2330.2179	141.3279	-2326.404	-2605.7684	-2056.1901	310.105	-2423.6786	-2236.8503	
treeLength	28791.8335	801.3334	28759.5123	27310.0782	30453.4597	220.7244	28186.8835	29255.699	
exponential.popSize	388.2357	16.7323	387.781	355.4125	421.1876	2880.5993	377.0049	398.9043	
exponential.growthRate	-0.013	8.7631E-4	-0.013	-0.0148	-0.0113	4208.6331	-0.0136	-0.0124	
gtr.rates.rateAC	0.5772	0.0179	0.5771	0.5436	0.6117	2100.5528	0.5643	0.5881	
gtr.rates.rateAG	2.0623	0.0288	2.0621	2.0075	2.1194	1769.0915	2.0403	2.0783	
gtr.rates.rateAT	0.3442	0.016	0.3437	0.3131	0.3745	2375.7592	0.3328	0.3539	
gtr.rates.rateCG	0.3015	0.0113	0.3015	0.2801	0.3241	2297.4518	0.2944	0.3091	
gtr.rates.rateCT	2.1351	0.0285	2.1349	2.0797	2.1892	1672.1931	2.1162	2.154	
gtr.rates.rateGT	0.5798	0.0177	0.5796	0.5424	0.6124	2446.7487	0.569	0.5918	
frequencies1	0.2142	2.2579E-4	0.2142	0.2137	0.2146	3009.9939	0.214	0.2143	
frequencies2	0.2849	2.4372E-4	0.2849	0.2844	0.2853	3308.4925	0.2847	0.285	
frequencies3	0.2867	2.4703E-4	0.2867	0.2862	0.2872	3654.2762	0.2865	0.2869	
frequencies4	0.2143	2.2706E-4	0.2143	0.2138	0.2147	3680.2232	0.2141	0.2144	
pInv	0.8766	0.0218	0.8796	0.8325	0.9136	1040.0354	0.8706	0.8967	
alpha	0.916	0.3936	0.8469	0.2608	1.6936	1335.4636	0.5159	0.9616	
clock.rate	1.065E-7	3.1611E-9	1.0649E-7	1.0039E-7	1.128E-7	243.0792	1.0428E-7	1.0857E-7	
meanRate	1.065E-7	3.1611E-9	1.0649E-7	1.0039E-7	1.128E-7	243.0792	1.0428E-7	1.0857E-7	
coalescentEventsStatistic1	1.4455E5	18213.7943	1.4509E5	1.0794E5	1.8006E5	1062.9352	1.3304E5	1.566E5	
coalescentEventsStatistic2	17417.6257	14037.1661	14335.8011	1.5613	44821.5572	4250.9476	1.5613	14335.8011	
coalescentEventsStatistic3	11657.7974	9731.085	9264.4205	2.3429	30434.6848	4803.4956	2.3429	9264.4205	
coalescentEventsStatistic4	9403.7384	8235.3131	7218.655	0.9988	25853.9118	2904.8096	23.4642	7236.501	
coalescentEventsStatistic5	8161.0396	7586.5452	6028.468	0.2989	23063.9284	3865.927	16.8638	6043.7967	
coalescentEventsStatistic6	7200.7705	6814.7308	5127.4244	1.1035	21126.7453	3786.931	1.1035	5127.4244	
coalescentEventsStatistic7	6683.2684	6321.4698	4778.6966	2.3665	19189.2424	4188.3899	8.2025	4780.3875	
coalescentEventsStatistic8	6212.2487	6004.4273	4378.4025	0.2841	18497.9764	4502.2136	3.9255	4380.793	
coalescentEventsStatistic9	6023.189	5813.0622	4309.4849	0.5546	17498.1352	4348.1424	7.9373	4315.5186	
coalescentEventsStatistic10	5996.2199	5902.3187	4193.786	0.139	18015.1078	4725.8592	35.4166	4229.0569	
coalescentEventsStatistic11	5802.1647	5527.2608	4141.1026	0.3121	16969.6743	4193.6923	4.8992	4145.1545	
coalescentEventsStatistic12	5938.1034	5725.1093	4151.688	0.3017	17696.4136	3135.8382	0.8887	4151.7101	
coalescentEventsStatistic13	5995.0108	5835.464	4154.1366	0.9568	18032.4779	2756.0027	0.9568	4154.1366	
coalescentEventsStatistic14	5965.8684	5810.3306	4172.761	0.7044	18164.9519	3697.7934	2.9305	4173.9404	
coalescentEventsStatistic15	6317.2456	6107.577	4405.0378	0.4207	18749.1865	3077.5395	0.4207	4405.0378	
coalescentEventsStatistic16	6626.2395	6378.734	4711.4609	0.5355	19722.6542	2902.7938	0.5355	4711.4609	
coalescentEventsStatistic17	7009.3849	6653.8193	5006.9546	0.2484	20548.8163	4002.4831	2.7327	5008.3215	
coalescentEventsStatistic18	7471.1802	6996.5606	5427.6238	4.1323	21658.7435	2775.4984	4.1323	5427.6238	
coalescentEventsStatistic19	7704.3676	7043.4004	5728.863	4.6048	22017.8666	3649.2255	6.4391	5729.8869	
coalescentEventsStatistic20	7646.896	6878.8824	5761.7899	0.9757	21766.8992	4511.5084	0.9757	5761.7899	
coalescentEventsStatistic21	7144.488	6473.0067	5300.6775	0.1814	20157.1956	5444.4955	0.1814	5300.6775	
coalescentEventsStatistic22	6676.7493	6050.4958	4940.7911	1.5359	19051.4593	3958.2897	11.8554	4949.7181	
coalescentEventsStatistic23	6096.6357	5632.1762	4490.6812	0.7025	17571.6517	5057.5786	0.7025	4490.6812	
coalescentEventsStatistic24	5776.9034	5283.1998	4216.8833	0.8378	16301.0057	5039.0395	0.8378	4216.8833	
coalescentEventsStatistic25	5674.6912	5217.2935	4130.5932	0.2822	16083.3324	5757.9781	4.0598	4132.5823	
coalescentEventsStatistic26	5519.1552	5084.3884	3969.6673	1.1239	15641.3352	4721.2415	1.1239	3969.6673	
coalescentEventsStatistic27	5580.8504	5066.9978	4148.2966	0.4747	15859.6343	5335.8003	0.4747	4148.2966	
coalescentEventsStatistic28	5829.4626	5295.5703	4246.0354	0.2355	16568.5541	5297.3271	0.2355	4246.0354	
coalescentEventsStatistic29	6046.1081	5414.118	4479.2373	0.4719	17061.0141	4159.852	0.5803	4479.3132	
coalescentEventsStatistic30	5783.7959	5220.3421	4314.9019	3.152	16277.0519	4703.6963	3.152	4314.9019	
coalescentEventsStatistic31	5280.3422	4716.6158	3941.3999	0.3308	14863.4618	5616.1546	1.0833	3941.5454	
coalescentEventsStatistic32	4432.0952	4088.8973	3241.0598	0.7767	12556.9733	4800.5419	1.1122	3241.3327	
coalescentEventsStatistic33	3808.3763	3543.3282	2748.873	0.4548	10946.6966	4080.124	3.365	2749.2412	
coalescentEventsStatistic34	3159.6048	3001.5596	2266.4982	0.1071	9191.5476	3526.9102	1.7011	2267.1821	
coalescentEventsStatistic35	2795.523	2683.5726	2012.6418	0.25	8362.1087	4715.2745	1.0339	2012.9882	
coalescentEventsStatistic36	2470.8387	2362.2342	1750.1016	0.4727	7240.2968	5357.6891	0.4008	1750.1016	
coalescentEventsStatistic37	2272.04	2185.3984	1621.7494	0.1727	6726.6505	5163.2508	6.1195	1624.9674	
coalescentEventsStatistic38	2109.0077	2033.9813	1497.3756	0.2681	6271.2962	4698.6816	0.6377	1497.4309	
coalescentEventsStatistic39	1989.6778	1941.1428	1368.3916	1.477E-3	5960.9666	4091.1109	1.3079	1369.425	
coalescentEventsStatistic40	1875.8641	1795.5717	1346.0996	4.6518E-4	5493.3544	4053.827	2.4341	1347.7011	
coalescentEventsStatistic41	1796.7347	1710.1991	1279.8738	0.1504	5306.2225	4820.7498	0.1504	1279.8738	
coalescentEventsStatistic42	1744.3403	1659.5183	1253.6084	0.0488	5082.3181	4058.9622	0.0488	1253.6084	
coalescentEventsStatistic43	1696.0744	1601.6419	1218.6053	0.1588	5009.7571	3711.7393	0.3428	1218.7324	
coalescentEventsStatistic44	1647.3493	1550.4324	1186.4583	0.0449	4809.3125	3948.7372	0.0449	1186.4583	
coalescentEventsStatistic45	1637.784	1549.0612	1184.1825	0.1852	4794.625	4511.4602	1.199	1184.8559	
coalescentEventsStatistic46	1615.5031	1511.3054	1188.9976	0.1818	4687.4931	4685.4426	0.1818	1188.9976	
coalescentEventsStatistic47	1577.7096	1462.0213	1155.6769	0.1734	4444.3098	6314.9445	0.1734	1155.6769	
coalescentEventsStatistic48	1578.0293	1465.3402	1160.1563	0.0497	4550.4469	5024.3139	0.2139	1160.2754	
coalescentEventsStatistic49	1577.8378	1417.0476	1180.4453	0.0426	4509.026	5130.4761	0.0426	1180.4453	
coalescentEventsStatistic50	1616.7293	1464.2862	1204.8426	0.1746	4504.9552	3867.5863	0.1746	1204.8426	
coalescentEventsStatistic51	1575.2252	1442.7241	1164.488	0.1406	4521.3196	5223.9158	0.1406	1164.488	
coalescentEventsStatistic52	1587.2249	1393.341	1208.9127	1.2515	4378.0216	5536.6908	1.2515	1209.0459	
coalescentEventsStatistic53	1579.9098	1406.9922	1195.2769	0.086	4429.7974	5846.6294	0.086	1195.2769	
coalescentEventsStatistic54	1556.6393	1394.3914	1170.4419	0.1919	4336.9649	5446.2441	1.6156	1170.8825	
coalescentEventsStatistic55	1545.7771	1378.4287	1159.086	1.5302	4329.5203	5577.9584	1.5302	1159.086	
coalescentEventsStatistic56	1519.0878	1359.3934	1136.4265	0.093	4230.6145	5371.6289	0.093	1136.4265	
coalescentEventsStatistic57	1477.2623	1309.7049	1119.9124	0.2702	4100.322	5402.7467	0.2702	1119.9124	
coalescentEventsStatistic58	1428.8399	1261.9422	1080.5268	0.3876	3979.4739	4810.641	1.573	1080.9679	
coalescentEventsStatistic59	1444.6198	1283.3653	1087.5154	0.909	4065.2855	3092.3589	0.909	1087.7015	
coalescentEventsStatistic60	1386.9407	1255.6075	1022.095	0.1094	3847.0919	3927.9688	0.495	1022.1787	
coalescentEventsStatistic61	1400.5942	1286.2519	1042.5032	0.0395	3956.9817	4133.9151	0.0395	1042.5032	
coalescentEventsStatistic62	1401.0343	1293.1044	1018.6086	0.012	4035.1272	3664.7977	0.012	1018.6086	
coalescentEventsStatistic63	1423.3704	1323.8354	1046.734	4.2505E-3	4107.6527	2441.7832	4.2505E-3	1046.734	
coalescentEventsStatistic64	1550.7438	1440.1328	1112.4982	0.1335	4478.9685	2880.0872	0.347	1112.5819	
coalescentEventsStatistic65	1701.8185	1577.7511	1227.0012	0.1677	4979.5991	2606.8757	1.0838	1227.1723	
coalescentEventsStatistic66	2164.0042	1917.9592	1633.9451	0.8608	6041.9724	2202.9683	1.9865	1634.9182	
coalescentEventsStatistic67	2346.1888	1993.1387	1803.3223	0.6605	6262.9428	1753.275	0.7908	1803.398	
coalescentEventsStatistic68	1938.5353	1651.3191	1512.2192	0.1952	5169.669	2906.6467	0.1952	1512.2192	
coalescentEventsStatistic69	1418.3402	1331.7715	1019.6005	0.4572	4108.0173	3142.505	0.7478	1019.7906	
coalescentEventsStatistic70	983.3065	969.9833	675.5641	1.799E-3	2961.638	3048.507	0.7219	676.0277	
coalescentEventsStatistic71	810.282	798.9183	570.0367	0.0656	2424.2606	3442.1075	0.3525	570.2726	
coalescentEventsStatistic72	749.7573	737.6616	521.029	0.0829	2239.4835	2949.6664	0.6868	521.4575	
coalescentEventsStatistic73	706.2796	669.9315	502.6909	0.0354	2078.1531	2352.7123	0.0354	502.6909	
coalescentEventsStatistic74	694.3575	643.1175	510.9697	5.4328E-4	1963.4436	2353.9826	5.4328E-4	510.9697	
coalescentEventsStatistic75	716.6641	663.6581	530.3213	0.1331	2074.7889	2937.4102	0.1331	530.3213	
coalescentEventsStatistic76	781.9245	750.5643	557.5472	0.0168	2269.1421	2418.3253	0.0168	557.5472	
