PathParameter	MaxPathLikelihood	MLContribution
0.0000	-4.9333e+06	-0.10659
2.1375e-08	-4.9401e+06	-0.96788
2.1544e-07	-4.9216e+06	-3.0756
8.3235e-07	-4.9340e+06	-6.6783
2.1715e-06	-4.9268e+06	-11.954
4.5688e-06	-4.9250e+06	-19.043
8.3895e-06	-4.9203e+06	-28.093
1.4025e-05	-4.9281e+06	-39.169
2.1888e-05	-4.9222e+06	-52.405
3.2412e-05	-4.9011e+06	-67.840
4.6050e-05	-4.9137e+06	-85.584
6.3272e-05	-4.9014e+06	-105.60
8.4561e-05	-4.8933e+06	-128.14
0.00011042	-4.8862e+06	-152.97
0.00014136	-4.8844e+06	-180.28
0.00017791	-4.8457e+06	-209.82
0.00022061	-4.8286e+06	-241.69
0.00027002	-4.8032e+06	-275.70
0.00032669	-4.7850e+06	-311.78
0.00039121	-4.7503e+06	-349.56
0.00046416	-4.7172e+06	-390.18
0.00054613	-4.6873e+06	-432.71
0.00063774	-4.6889e+06	-480.30
0.00073959	-4.6780e+06	-529.86
0.00085232	-4.6740e+06	-582.69
0.00097656	-4.6703e+06	-639.08
0.0011130	-4.6709e+06	-698.47
0.0012622	-4.6682e+06	-761.01
0.0014248	-4.6660e+06	-826.65
0.0016016	-4.6626e+06	-895.37
0.0017932	-4.6632e+06	-967.49
0.0020003	-4.6600e+06	-1042.7
0.0022237	-4.6592e+06	-1121.1
0.0024638	-4.6569e+06	-1202.5
0.0027216	-4.6553e+06	-1287.6
0.0029977	-4.6546e+06	-1375.8
0.0032929	-4.6540e+06	-1467.3
0.0036078	-4.6526e+06	-1562.3
0.0039432	-4.6520e+06	-1660.8
0.0042998	-4.6506e+06	-1762.7
0.0046784	-4.6505e+06	-1868.0
0.0050798	-4.6495e+06	-1977.0
0.0055047	-4.6492e+06	-2089.6
0.0059538	-4.6481e+06	-2205.7
0.0064280	-4.6466e+06	-2325.4
0.0069280	-4.6463e+06	-2448.8
0.0074546	-4.6456e+06	-2575.8
0.0080087	-4.6452e+06	-2706.5
0.0085909	-4.6455e+06	-2841.0
0.0092021	-4.6447e+06	-2979.1
0.0098431	-4.6438e+06	-3121.0
0.010515	-4.6433e+06	-3266.5
0.011218	-4.6422e+06	-3416.1
0.011953	-4.6427e+06	-3569.4
0.012722	-4.6416e+06	-3726.5
0.013524	-4.6417e+06	-3887.5
0.014361	-4.6410e+06	-4052.3
0.015234	-4.6409e+06	-4221.4
0.016143	-4.6400e+06	-4393.9
0.017090	-4.6400e+06	-4570.8
0.018075	-4.6393e+06	-4751.7
0.019099	-4.6396e+06	-4936.8
0.020162	-4.6393e+06	-5125.7
0.021267	-4.6390e+06	-5318.8
0.022413	-4.6389e+06	-5515.9
0.023602	-4.6387e+06	-5717.2
0.024834	-4.6387e+06	-5922.7
0.026111	-4.6384e+06	-6132.4
0.027432	-4.6383e+06	-6346.3
0.028800	-4.6384e+06	-6564.4
0.030215	-4.6382e+06	-6786.6
0.031678	-4.6381e+06	-7013.2
0.033190	-4.6381e+06	-7244.0
0.034752	-4.6380e+06	-7479.2
0.036364	-4.6378e+06	-7718.6
0.038028	-4.6379e+06	-7962.4
0.039745	-4.6379e+06	-8210.4
0.041515	-4.6378e+06	-8462.9
0.043339	-4.6377e+06	-8719.7
0.045219	-4.6376e+06	-8981.0
0.047156	-4.6376e+06	-9246.7
0.049149	-4.6376e+06	-9516.8
0.051201	-4.6375e+06	-9791.3
0.053312	-4.6375e+06	-10070
0.055484	-4.6375e+06	-10354
0.057716	-4.6374e+06	-10642
0.060011	-4.6374e+06	-10934
0.062368	-4.6374e+06	-11232
0.064790	-4.6374e+06	-11533
0.067277	-4.6373e+06	-11840
0.069830	-4.6372e+06	-12150
0.072450	-4.6373e+06	-12466
0.075138	-4.6372e+06	-12786
0.077895	-4.6372e+06	-13111
0.080722	-4.6372e+06	-13440
0.083620	-4.6372e+06	-13774
0.086591	-4.6371e+06	-14113
0.089634	-4.6372e+06	-14457
0.092751	-4.6372e+06	-14805
0.095944	-4.6371e+06	-15158
0.099213	-4.6371e+06	-15516
0.10256	-4.6371e+06	-15878
0.10598	-4.6371e+06	-16246
0.10949	-4.6371e+06	-16618
0.11307	-4.6371e+06	-16995
0.11673	-4.6371e+06	-17377
0.12048	-4.6371e+06	-17763
0.12431	-4.6370e+06	-18155
0.12823	-4.6370e+06	-18551
0.13223	-4.6370e+06	-18953
0.13631	-4.6370e+06	-19359
0.14049	-4.6370e+06	-19770
0.14475	-4.6370e+06	-20186
0.14911	-4.6370e+06	-20607
0.15355	-4.6370e+06	-21033
0.15809	-4.6370e+06	-21465
0.16271	-4.6370e+06	-21901
0.16744	-4.6370e+06	-22342
0.17226	-4.6370e+06	-22788
0.17717	-4.6370e+06	-23239
