PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34631	-0.0010063
2.1375e-08	-35115	-0.0091231
2.1544e-07	-34453	-0.029149
8.3235e-07	-35706	-0.062875
2.1715e-06	-34014	-0.11287
4.5688e-06	-33502	-0.17891
8.3895e-06	-33894	-0.26411
1.4025e-05	-35423	-0.36548
2.1888e-05	-34581	-0.48592
3.2412e-05	-33377	-0.62996
4.6050e-05	-35037	-0.78928
6.3272e-05	-34118	-0.96494
8.4561e-05	-34574	-1.1685
0.00011042	-33207	-1.3774
0.00014136	-34534	-1.6015
0.00017791	-34069	-1.8496
0.00022061	-32579	-2.0987
0.00027002	-31943	-2.3720
0.00032669	-32668	-2.6438
0.00039121	-32447	-2.9310
0.00046416	-31153	-3.2334
0.00054613	-29777	-3.5308
0.00063774	-28397	-3.8317
0.00073959	-29949	-4.1368
0.00085232	-29156	-4.4478
0.00097656	-28296	-4.7689
0.0011130	-27393	-5.0974
0.0012622	-25329	-5.4113
0.0014248	-26142	-5.7278
0.0016016	-25958	-6.0639
0.0017932	-25207	-6.3391
0.0020003	-23980	-6.6240
0.0022237	-22272	-6.9445
0.0024638	-22805	-7.1590
0.0027216	-20938	-7.4184
0.0029977	-21727	-7.6503
0.0032929	-20851	-7.8619
0.0036078	-20895	-8.1164
0.0039432	-20274	-8.3980
0.0042998	-20155	-8.7317
0.0046784	-20050	-9.0315
0.0050798	-19697	-9.3642
0.0055047	-19372	-9.7532
0.0059538	-19337	-10.128
0.0064280	-19317	-10.538
0.0069280	-18912	-10.993
0.0074546	-19033	-11.415
0.0080087	-18549	-11.837
0.0085909	-18929	-12.360
0.0092021	-18617	-12.846
0.0098431	-18774	-13.368
0.010515	-18652	-13.899
0.011218	-18470	-14.425
0.011953	-18377	-14.927
0.012722	-18470	-15.527
0.013524	-18471	-16.125
0.014361	-18303	-16.696
0.015234	-18202	-17.341
0.016143	-18076	-17.938
0.017090	-18130	-18.604
0.018075	-18104	-19.265
0.019099	-18019	-19.935
0.020162	-18028	-20.634
0.021267	-18022	-21.337
0.022413	-17993	-22.056
0.023602	-17970	-22.777
0.024834	-17903	-23.526
0.026111	-17936	-24.310
0.027432	-17793	-25.071
0.028800	-17853	-25.867
0.030215	-17800	-26.723
0.031678	-17732	-27.503
0.033190	-17675	-28.394
0.034752	-17711	-29.241
0.036364	-17714	-30.119
0.038028	-17677	-31.032
0.039745	-17678	-31.927
0.041515	-17666	-32.857
0.043339	-17607	-33.763
0.045219	-17625	-34.740
0.047156	-17557	-35.717
0.049149	-17540	-36.712
0.051201	-17546	-37.727
0.053312	-17574	-38.756
0.055484	-17556	-39.779
0.057716	-17574	-40.874
0.060011	-17494	-41.921
0.062368	-17523	-43.003
0.064790	-17533	-44.139
0.067277	-17510	-45.250
0.069830	-17498	-46.408
0.072450	-17507	-47.543
0.075138	-17465	-48.725
0.077895	-17475	-49.905
0.080722	-17479	-51.138
0.083620	-17439	-52.331
0.086591	-17464	-53.623
0.089634	-17447	-54.873
0.092751	-17436	-56.144
0.095944	-17426	-57.459
0.099213	-17416	-58.761
0.10256	-17409	-60.095
0.10598	-17421	-61.458
0.10949	-17400	-62.826
0.11307	-17407	-64.246
0.11673	-17382	-65.648
0.12048	-17377	-67.051
0.12431	-17383	-68.532
0.12823	-17375	-69.995
0.13223	-17389	-71.480
0.13631	-17370	-72.949
0.14049	-17365	-74.480
0.14475	-17365	-76.031
0.14911	-17363	-77.589
0.15355	-17345	-79.136
0.15809	-17357	-80.749
0.16271	-17353	-82.377
0.16744	-17343	-83.990
0.17226	-17334	-85.648
0.17717	-17343	-87.336
0.18218	-17322	-89.025
0.18729	-17331	-90.706
0.19250	-17339	-92.442
0.19781	-17336	-94.194
0.20322	-17293	-95.920
0.20874	-17292	-97.552
0.21436	-17292	-99.359
0.22008	-17282	-101.18
0.22591	-17270	-103.01
0.23185	-17281	-104.89
0.23789	-17285	-106.76
0.24405	-17284	-108.65
0.25031	-17279	-110.56
0.25669	-17278	-112.52
0.26318	-17273	-114.47
0.26978	-17274	-116.44
0.27650	-17265	-118.42
0.28334	-17272	-120.45
0.29029	-17273	-122.48
0.29736	-17264	-124.53
0.30455	-17267	-126.60
0.31186	-17265	-128.70
0.31930	-17257	-130.81
0.32685	-17251	-132.96
0.33454	-17252	-135.08
0.34234	-17250	-137.25
0.35028	-17254	-139.48
0.35834	-17256	-141.67
0.36653	-17253	-143.92
0.37485	-17237	-146.12
0.38330	-17250	-148.42
0.39188	-17248	-150.71
0.40060	-17245	-153.03
0.40945	-17242	-155.40
0.41844	-17242	-157.73
0.42757	-17244	-160.08
0.43683	-17241	-162.46
0.44624	-17240	-164.88
0.45578	-17240	-167.34
0.46547	-17242	-169.80
0.47530	-17239	-172.26
0.48527	-17235	-174.80
0.49539	-17230	-177.30
0.50566	-17237	-179.85
0.51608	-17236	-182.42
0.52664	-17230	-184.97
0.53735	-17233	-187.61
0.54822	-17236	-190.21
0.55924	-17233	-192.88
0.57041	-17229	-195.52
0.58174	-17232	-198.20
0.59323	-17232	-200.91
0.60487	-17227	-203.62
0.61667	-17224	-206.37
0.62863	-17226	-209.16
0.64076	-17226	-212.01
0.65304	-17224	-214.80
0.66549	-17231	-217.64
0.67811	-17230	-220.55
0.69089	-17230	-223.41
0.70384	-17225	-226.28
0.71696	-17220	-229.15
0.73025	-17225	-232.15
0.74371	-17228	-235.15
0.75734	-17209	-238.03
0.77115	-17215	-241.08
0.78513	-17218	-244.07
0.79929	-17220	-247.18
0.81363	-17222	-250.24
0.82814	-17218	-253.37
0.84284	-17214	-256.42
0.85772	-17214	-259.57
0.87278	-17216	-262.73
0.88802	-17218	-265.95
0.90345	-17213	-269.13
0.91907	-17218	-272.42
0.93488	-17215	-275.62
0.95087	-17209	-278.81
0.96705	-17212	-282.15
0.98343	-17213	-285.58
1.0000	-17212	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -17437.60017240788
