PathParameter	MaxPathLikelihood	MLContribution
0.0000	-35423	-0.00092496
2.1375e-08	-33758	-0.0083882
2.1544e-07	-34919	-0.026627
8.3235e-07	-35320	-0.057813
2.1715e-06	-35665	-0.10355
4.5688e-06	-34989	-0.16461
8.3895e-06	-33540	-0.24314
1.4025e-05	-34570	-0.33884
2.1888e-05	-34983	-0.45306
3.2412e-05	-34626	-0.58629
4.6050e-05	-34257	-0.73619
6.3272e-05	-35216	-0.90868
8.4561e-05	-34417	-1.0993
0.00011042	-33529	-1.3111
0.00014136	-33028	-1.5390
0.00017791	-34471	-1.7881
0.00022061	-33482	-2.0561
0.00027002	-32078	-2.3252
0.00032669	-32864	-2.6210
0.00039121	-31617	-2.9386
0.00046416	-30653	-3.2607
0.00054613	-30254	-3.5930
0.00063774	-31583	-3.9110
0.00073959	-30445	-4.2742
0.00085232	-27353	-4.5794
0.00097656	-28184	-4.9364
0.0011130	-28234	-5.2387
0.0012622	-26103	-5.5580
0.0014248	-25127	-5.8135
0.0016016	-23617	-6.0756
0.0017932	-22287	-6.3105
0.0020003	-21322	-6.5555
0.0022237	-21717	-6.7835
0.0024638	-21560	-6.9089
0.0027216	-20938	-7.1021
0.0029977	-19770	-7.2848
0.0032929	-20282	-7.5112
0.0036078	-19646	-7.6948
0.0039432	-19597	-8.0519
0.0042998	-19219	-8.2978
0.0046784	-18905	-8.6309
0.0050798	-18980	-8.9811
0.0055047	-18983	-9.3719
0.0059538	-18702	-9.7295
0.0064280	-18712	-10.115
0.0069280	-18717	-10.571
0.0074546	-18612	-11.009
0.0080087	-18421	-11.477
0.0085909	-18401	-11.962
0.0092021	-18316	-12.477
0.0098431	-18099	-12.943
0.010515	-18321	-13.469
0.011218	-18096	-14.032
0.011953	-18029	-14.588
0.012722	-18098	-15.141
0.013524	-18000	-15.714
0.014361	-18024	-16.335
0.015234	-17947	-16.941
0.016143	-17856	-17.574
0.017090	-17860	-18.235
0.018075	-17885	-18.890
0.019099	-17736	-19.567
0.020162	-17870	-20.242
0.021267	-17795	-20.979
0.022413	-17817	-21.695
0.023602	-17847	-22.447
0.024834	-17688	-23.191
0.026111	-17735	-23.973
0.027432	-17705	-24.762
0.028800	-17744	-25.578
0.030215	-17690	-26.388
0.031678	-17657	-27.228
0.033190	-17650	-28.075
0.034752	-17642	-28.957
0.036364	-17600	-29.837
0.038028	-17634	-30.747
0.039745	-17629	-31.668
0.041515	-17618	-32.602
0.043339	-17643	-33.563
0.045219	-17626	-34.533
0.047156	-17579	-35.531
0.049149	-17597	-36.528
0.051201	-17574	-37.548
0.053312	-17587	-38.588
0.055484	-17551	-39.646
0.057716	-17555	-40.724
0.060011	-17561	-41.810
0.062368	-17565	-42.914
0.064790	-17523	-44.035
0.067277	-17529	-45.176
0.069830	-17546	-46.334
0.072450	-17528	-47.523
0.075138	-17530	-48.725
0.077895	-17534	-49.922
0.080722	-17516	-51.154
0.083620	-17515	-52.404
0.086591	-17519	-53.671
0.089634	-17510	-54.954
0.092751	-17505	-56.261
0.095944	-17503	-57.572
0.099213	-17514	-58.910
0.10256	-17496	-60.275
0.10598	-17503	-61.643
0.10949	-17477	-63.032
0.11307	-17498	-64.444
0.11673	-17492	-65.879
0.12048	-17491	-67.320
0.12431	-17492	-68.782
0.12823	-17487	-70.280
0.13223	-17472	-71.773
0.13631	-17477	-73.298
0.14049	-17482	-74.844
0.14475	-17475	-76.398
0.14911	-17476	-77.977
0.15355	-17480	-79.579
0.15809	-17475	-81.192
0.16271	-17478	-82.822
0.16744	-17473	-84.471
0.17226	-17463	-86.152
0.17717	-17470	-87.837
0.18218	-17468	-89.555
0.18729	-17466	-91.279
0.19250	-17466	-93.029
0.19781	-17467	-94.796
0.20322	-17464	-96.594
0.20874	-17459	-98.398
0.21436	-17467	-100.23
