# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 05 11:23:39 EST 2022 [seed=1641399818326]
# -threads 32 ST11BeastTest.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-72691.08761298835	-692.0017404519597	-71999.0858725364	623.4308197604036	1393.5691802395963	643.0496018057746	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-71999.0858725364	0.0	-44.34296674258667
1000	-46870.98837724113	-251.79732134631348	-46619.191055894815	636.8457173849378	1380.1542826150621	843.5327427032016	4.461957338088419	0.9948301972940341	1.0080211179370293	0.9929868752210976	0.9917777917003433	1.0282389252585435	0.9841450925889521	0.4656221200730494	0.1292510197905368	0.1292510197905368	-46619.191055894815	0.0	-135.92616850937293
2000	-39204.57589466567	-194.7716469389897	-39009.80424772668	639.8296878307152	1377.170312169285	1282.0981426273079	21.768149090737964	0.9841685609292777	1.0216456881938962	0.9963179053017878	0.989697748534033	1.0365447872577573	0.9716253097832483	0.46560156051535084	0.02080363893620892	0.020803638936208915	-39009.80424772668	0.0	-145.07214532616914
3000	-35544.54906908301	-185.81686810577125	-35358.73220097724	630.242057268069	1386.757942731931	1427.629959019149	26.950037325755815	0.9871288895690566	1.0216456881938962	1.0079238437135791	0.989697748534033	1.0365447872577573	0.9570590427316781	0.7379851419214194	0.0034770692306539336	0.0034770692306539323	-35358.73220097724	0.0	-153.04727770411853
4000	-32174.491611237932	-224.83527435271964	-31949.65633688521	630.163120646223	1386.836879353777	1630.6793717501748	41.74831403120167	0.9869156294791213	1.026546615082839	1.0048932832556097	0.9779745301007964	1.0439489814217555	0.9597209606598786	1.9602599246034524	8.420936558551244E-4	8.420936558551245E-4	-31949.65633688521	0.0	-179.1891585433497
5000	-30634.575862115915	-269.63578160472986	-30364.940080511184	685.0311242692605	1331.9688757307395	1933.0512905224368	63.29677995809148	0.9825797126940597	1.0211063928235242	1.0009286151386176	0.9765734826470512	1.0551968575787103	0.9636149391180374	9.296291849593011	7.13084167343566E-4	7.130841673435659E-4	-30364.940080511184	0.0	-187.93208989805902
6000	-29938.131602685364	-319.90872966090706	-29618.222873024457	1065.0869657876965	951.9130342123035	2820.8170891527357	51.60862010585979	0.979282619822776	1.0463583276086945	0.9931675251736608	0.9676977078734099	1.0552046683991438	0.9582891511223159	19.84182559132434	4.746100627831181E-4	4.7461006278311804E-4	-29618.222873024457	0.0	-229.2342868024835
7000	-29714.731962315935	-344.3236508461757	-29370.40831146976	1159.3007155607625	857.6992844392375	3171.187217530949	73.49756146403007	0.9784166071017044	1.0558934672613636	0.9887317614178696	0.9650920671308625	1.0617857289211194	0.9500803681670816	25.05677676898851	4.112645353743043E-4	4.112645353743045E-4	-29370.40831146976	0.0	-221.49512378445675
8000	-29545.786011597673	-358.0142961331271	-29187.771715464547	1187.50349816981	829.49650183019	3398.8516619137595	81.71858380328287	0.9725969743286978	1.074078451031	0.9791966406048153	0.9650920671308625	1.0610850676961527	0.9479507992084727	24.597192169995584	3.93940284192368E-4	3.9394028419236795E-4	-29187.771715464547	0.0	-227.90535263047846
9000	-29403.46169592476	-373.20390288510424	-29030.25779303966	1302.4064139558457	714.5935860441543	3767.1753000900694	91.87800361370067	0.970443838214216	1.087611938127298	0.9785441843120285	0.9640829338588941	1.0632382038106347	0.9360789016769298	23.362254194105557	3.5165567992813244E-4	3.5165567992813244E-4	-29030.25779303966	0.0	-235.52782884951972
10000	-29351.980390799774	-397.90435792391236	-28954.076032875862	1367.0101860630289	649.9898139369711	3966.10646492007	91.18504650998277	0.9710794928969442	1.087611938127298	0.9913495567559006	0.9446234410553014	1.069256669487627	0.9360789016769298	31.620989588975412	3.241603029691666E-4	3.241603029691666E-4	-28954.076032875862	0.0	-244.50930140556326
11000	-29310.97937260275	-402.1848111351676	-28908.79456146758	1335.101506380247	681.898493619753	3966.9877675378416	91.71960404353145	0.9680838401781817	1.09454002478542	0.9877077894359431	0.9413171666554094	1.0722523222063896	0.9360988567386573	29.68445820673643	3.2964352077901514E-4	3.2964352077901487E-4	-28908.79456146758	0.0	-252.09794656094525
12000	-29283.126564889997	-396.371157332606	-28886.75540755739	1363.436103644458	653.563896355542	4057.2226472099724	97.50348000680411	0.9585098861473642	1.09454002478542	1.0113662222669737	0.9413171666554094	1.079524945700357	0.9147417544444766	24.6363792828537	3.0309031596664293E-4	3.030903159666429E-4	-28886.75540755739	0.0	-250.72779786408356
13000	-29232.22302815653	-397.9678211240066	-28834.255207032526	1428.2632180515918	588.7367819484082	4278.750354008354	101.8988300397178	0.9528688979920044	1.09454002478542	1.0155740362880978	0.9350114591811204	1.0898812109245186	0.9121243708288398	22.449143199102153	2.995442272678029E-4	2.9954422726780283E-4	-28834.255207032526	0.0	-252.284079259555
14000	-29221.030912612696	-412.6153524464447	-28808.41556016625	1447.8797500833193	569.1202499166807	4377.322231783473	93.21696335533234	0.9673945253410168	1.087297560934871	1.0203338068951284	0.9322889595666612	1.0971236747750677	0.8955614724872557	26.71543525951967	2.8953626744825523E-4	2.8953626744825523E-4	-28808.41556016625	0.0	-267.1235534200454
15000	-29174.910117331245	-424.3881873069083	-28750.521930024337	1516.5876204310161	500.41237956898385	4587.270655421719	110.23503971738856	0.966564536893502	1.0863120390411738	1.0102309463659147	0.9231773857124365	1.1143306954872534	0.8993843964997202	28.840645811354573	2.841731688545489E-4	2.841731688545488E-4	-28750.521930024337	0.0	-257.62447752036616
16000	-29132.628860668858	-431.34683781593816	-28701.28202285292	1647.9653847922443	369.0346152077557	4913.79244132537	104.86992612862672	0.9576390937989534	1.0943973183041544	1.0102309463659147	0.9236311418327384	1.1208627289840685	0.8932387707141712	29.570038944470237	2.635968936343161E-4	2.635968936343161E-4	-28701.28202285292	0.0	-268.5697359669102
17000	-29076.549017386515	-430.7812103167332	-28645.76780706978	1748.3473439838185	268.6526560161815	5281.765906904614	108.32600544956072	0.9488910836322006	1.1065532255777197	1.0233028840387717	0.9274561756263446	1.1208627289840685	0.8729339021408954	23.721247473505386	2.4863343304518045E-4	2.486334330451805E-4	-28645.76780706978	0.0	-276.2929768330868
18000	-29062.85321829999	-442.49189336796513	-28620.361324932026	1765.8730084675524	251.12699153244762	5361.357689372921	116.26112650922028	0.9488910836322006	1.1065532255777197	1.013843725654299	0.9274561756263446	1.1208627289840685	0.882393060525368	27.58887549115914	2.4237817060499177E-4	2.4237817060499185E-4	-28620.361324932026	0.0	-272.36724891554195
