PathParameter	MaxPathLikelihood	MLContribution
0.0000	-58653	-0.0015021
2.1375e-08	-58944	-0.013640
2.1544e-07	-57825	-0.043584
8.3235e-07	-56714	-0.094149
2.1715e-06	-53547	-0.16932
4.5688e-06	-55766	-0.26861
8.3895e-06	-55946	-0.39461
1.4025e-05	-55992	-0.55074
2.1888e-05	-56476	-0.73811
3.2412e-05	-57546	-0.95200
4.6050e-05	-55836	-1.1968
6.3272e-05	-58637	-1.4702
8.4561e-05	-55597	-1.7759
0.00011042	-54846	-2.1080
0.00014136	-54682	-2.4725
0.00017791	-54190	-2.8606
0.00022061	-50442	-3.2730
0.00027002	-49669	-3.6924
0.00032669	-52424	-4.1326
0.00039121	-49134	-4.5766
0.00046416	-48721	-5.0305
0.00054613	-45542	-5.4773
0.00063774	-46291	-5.9216
0.00073959	-44117	-6.3336
0.00085232	-40193	-6.6916
0.00097656	-40396	-7.0296
0.0011130	-37755	-7.2683
0.0012622	-35547	-7.4846
0.0014248	-34586	-7.7478
0.0016016	-32219	-7.8456
0.0017932	-31711	-8.1379
0.0020003	-31240	-8.3759
0.0022237	-31356	-8.6483
0.0024638	-30596	-9.0722
0.0027216	-30424	-9.4612
0.0029977	-30088	-9.9364
0.0032929	-30069	-10.401
0.0036078	-29764	-10.921
0.0039432	-29439	-11.422
0.0042998	-29399	-12.014
0.0046784	-28605	-12.565
0.0050798	-28940	-13.160
0.0055047	-28992	-13.846
0.0059538	-28762	-14.472
0.0064280	-28720	-15.131
0.0069280	-28667	-15.853
0.0074546	-28515	-16.548
0.0080087	-28561	-17.288
0.0085909	-28416	-18.067
0.0092021	-28136	-18.865
0.0098431	-28184	-19.668
0.010515	-28234	-20.502
0.011218	-28160	-21.382
0.011953	-28068	-22.258
0.012722	-28085	-23.168
0.013524	-28022	-24.093
0.014361	-27970	-25.053
0.015234	-27951	-26.054
0.016143	-28004	-27.055
0.017090	-27856	-28.100
0.018075	-27945	-29.137
0.019099	-27937	-30.224
0.020162	-27878	-31.327
0.021267	-27783	-32.461
0.022413	-27763	-33.618
0.023602	-27837	-34.799
0.024834	-27797	-36.003
0.026111	-27758	-37.224
0.027432	-27764	-38.491
0.028800	-27756	-39.767
0.030215	-27776	-41.093
0.031678	-27738	-42.412
0.033190	-27718	-43.765
0.034752	-27733	-45.155
0.036364	-27716	-46.559
0.038028	-27685	-48.000
0.039745	-27646	-49.477
0.041515	-27703	-50.952
0.043339	-27654	-52.467
0.045219	-27673	-54.016
0.047156	-27674	-55.569
0.049149	-27666	-57.179
0.051201	-27651	-58.795
0.053312	-27663	-60.453
0.055484	-27664	-62.124
0.057716	-27656	-63.820
0.060011	-27632	-65.559
0.062368	-27643	-67.315
0.064790	-27637	-69.107
0.067277	-27636	-70.914
0.069830	-27614	-72.750
0.072450	-27619	-74.617
0.075138	-27599	-76.510
0.077895	-27622	-78.436
0.080722	-27619	-80.378
0.083620	-27607	-82.358
0.086591	-27591	-84.368
0.089634	-27614	-86.398
0.092751	-27606	-88.466
0.095944	-27592	-90.545
0.099213	-27592	-92.674
0.10256	-27591	-94.815
0.10598	-27599	-96.997
0.10949	-27596	-99.200
0.11307	-27590	-101.43
0.11673	-27586	-103.69
0.12048	-27590	-105.98
0.12431	-27586	-108.30
0.12823	-27591	-110.66
0.13223	-27575	-113.03
0.13631	-27579	-115.44
0.14049	-27571	-117.88
0.14475	-27571	-120.34
0.14911	-27578	-122.83
0.15355	-27575	-125.36
0.15809	-27574	-127.90
0.16271	-27568	-130.50
0.16744	-27568	-133.11
0.17226	-27565	-135.75
0.17717	-27561	-138.43
0.18218	-27568	-141.14
0.18729	-27562	-143.88
0.19250	-27565	-146.64
0.19781	-27565	-149.43
0.20322	-27563	-152.26
0.20874	-27560	-155.12
0.21436	-27561	-158.00
0.22008	-27552	-160.92
0.22591	-27564	-163.87
0.23185	-27558	-166.85
0.23789	-27554	-169.86
0.24405	-27557	-172.90
0.25031	-27550	-175.97
0.25669	-27556	-179.08
0.26318	-27554	-182.21
0.26978	-27556	-185.38
0.27650	-27553	-188.57
0.28334	-27550	-191.81
0.29029	-27558	-195.07
0.29736	-27556	-198.36
0.30455	-27553	-201.69
0.31186	-27554	-205.04
0.31930	-27551	-208.43
0.32685	-27546	-211.85
0.33454	-27551	-215.30
0.34234	-27550	-218.78
0.35028	-27551	-222.30
0.35834	-27549	-225.85
0.36653	-27547	-229.43
0.37485	-27549	-233.04
0.38330	-27543	-236.69
0.39188	-27548	-240.37
0.40060	-27550	-244.08
0.40945	-27547	-247.82
0.41844	-27547	-251.60
0.42757	-27549	-255.41
0.43683	-27547	-259.25
0.44624	-27547	-263.12
0.45578	-27546	-267.03
0.46547	-27547	-270.97
0.47530	-27541	-274.95
0.48527	-27546	-278.96
0.49539	-27547	-283.00
0.50566	-27543	-287.07
0.51608	-27545	-291.18
0.52664	-27543	-295.32
0.53735	-27546	-299.49
0.54822	-27543	-303.70
0.55924	-27543	-307.94
0.57041	-27546	-312.21
0.58174	-27543	-316.52
0.59323	-27544	-320.87
0.60487	-27544	-325.25
0.61667	-27544	-329.66
0.62863	-27544	-334.10
