PathParameter	MaxPathLikelihood	MLContribution
0.0000	-2.9600e+05	-0.0071604
2.1375e-08	-2.9267e+05	-0.065325
2.1544e-07	-2.9132e+05	-0.20692
8.3235e-07	-2.9448e+05	-0.45014
2.1715e-06	-2.9277e+05	-0.80571
4.5688e-06	-2.9451e+05	-1.2771
8.3895e-06	-2.9172e+05	-1.8833
1.4025e-05	-2.7788e+05	-2.6162
2.1888e-05	-2.8356e+05	-3.4946
3.2412e-05	-2.9682e+05	-4.4850
4.6050e-05	-2.8439e+05	-5.6154
6.3272e-05	-2.8485e+05	-6.8989
8.4561e-05	-2.7767e+05	-8.2311
0.00011042	-2.5790e+05	-9.6693
0.00014136	-2.6535e+05	-11.207
0.00017791	-2.5311e+05	-12.748
0.00022061	-2.4927e+05	-14.212
0.00027002	-2.3114e+05	-15.547
0.00032669	-2.0011e+05	-16.667
0.00039121	-1.9744e+05	-17.497
0.00046416	-1.7555e+05	-17.684
0.00054613	-1.5178e+05	-17.460
0.00063774	-1.3417e+05	-16.685
0.00073959	-1.2416e+05	-16.559
0.00085232	-1.1006e+05	-16.260
0.00097656	-1.0257e+05	-16.425
0.0011130	-1.0422e+05	-17.244
0.0012622	-1.0139e+05	-18.182
0.0014248	-99984	-19.175
0.0016016	-98149	-20.310
0.0017932	-95400	-21.485
0.0020003	-94547	-22.857
0.0022237	-93870	-24.238
0.0024638	-92265	-25.618
0.0027216	-92233	-27.057
0.0029977	-89980	-28.481
0.0032929	-90693	-29.950
0.0036078	-88517	-31.488
0.0039432	-86002	-33.015
0.0042998	-87385	-34.654
0.0046784	-86737	-36.200
0.0050798	-85350	-37.822
0.0055047	-84091	-39.596
0.0059538	-84154	-41.393
0.0064280	-83337	-43.238
0.0069280	-82621	-45.120
0.0074546	-82242	-47.045
0.0080087	-81424	-49.157
0.0085909	-81729	-51.355
0.0092021	-81051	-53.422
0.0098431	-80620	-55.751
0.010515	-80145	-58.029
0.011218	-79567	-60.317
0.011953	-79323	-62.698
0.012722	-79194	-65.211
0.013524	-78916	-67.682
0.014361	-78846	-70.203
0.015234	-77712	-72.611
0.016143	-77843	-75.390
0.017090	-77645	-77.967
0.018075	-76831	-80.510
0.019099	-76564	-83.359
0.020162	-76197	-86.132
0.021267	-76537	-89.157
0.022413	-75980	-92.111
0.023602	-75949	-94.903
0.024834	-75759	-98.035
0.026111	-75631	-101.35
0.027432	-75470	-104.49
0.028800	-75258	-107.94
0.030215	-75271	-111.33
0.031678	-75187	-114.84
0.033190	-75034	-118.35
0.034752	-74947	-121.96
0.036364	-74879	-125.83
0.038028	-74824	-129.53
0.039745	-74701	-133.39
0.041515	-74651	-137.30
0.043339	-74629	-141.28
0.045219	-74562	-145.42
0.047156	-74506	-149.57
0.049149	-74502	-153.85
0.051201	-74414	-158.13
0.053312	-74326	-162.49
0.055484	-74403	-166.98
0.057716	-74354	-171.52
0.060011	-74331	-176.12
0.062368	-74223	-180.81
0.064790	-74195	-185.54
0.067277	-74263	-190.37
0.069830	-74209	-195.25
0.072450	-74224	-200.27
0.075138	-74210	-205.32
0.077895	-74118	-210.42
0.080722	-74146	-215.66
0.083620	-74081	-220.84
0.086591	-74060	-226.28
0.089634	-74066	-231.69
0.092751	-74083	-237.18
0.095944	-74029	-242.76
0.099213	-74028	-248.41
0.10256	-74018	-254.12
0.10598	-74005	-259.94
0.10949	-73965	-265.80
0.11307	-73986	-271.77
0.11673	-73941	-277.84
0.12048	-73964	-283.95
0.12431	-73921	-290.12
0.12823	-73909	-296.40
0.13223	-73895	-302.74
0.13631	-73880	-309.18
0.14049	-73910	-315.69
0.14475	-73883	-322.28
0.14911	-73882	-328.91
0.15355	-73852	-335.67
0.15809	-73853	-342.47
0.16271	-73855	-349.41
0.16744	-73854	-356.39
0.17226	-73852	-363.46
0.17717	-73836	-370.61
0.18218	-73811	-377.83
0.18729	-73814	-385.14
0.19250	-73810	-392.51
0.19781	-73789	-399.97
0.20322	-73798	-407.54
0.20874	-73797	-415.16
0.21436	-73796	-422.88
0.22008	-73787	-430.68
0.22591	-73782	-438.58
0.23185	-73772	-446.54
0.23789	-73766	-454.56
0.24405	-73759	-462.69
0.25031	-73765	-470.93
0.25669	-73766	-479.23
0.26318	-73741	-487.58
0.26978	-73752	-496.07
0.27650	-73760	-504.61
0.28334	-73755	-513.24
0.29029	-73756	-521.98
0.29736	-73746	-530.77
0.30455	-73739	-539.64
0.31186	-73743	-548.64
0.31930	-73732	-557.68
0.32685	-73733	-566.86
0.33454	-73730	-576.06
0.34234	-73727	-585.39
0.35028	-73727	-594.75
0.35834	-73724	-604.27
0.36653	-73716	-613.85
0.37485	-73719	-623.49
0.38330	-73714	-633.24
0.39188	-73715	-643.09
0.40060	-73704	-653.01
0.40945	-73710	-663.00
0.41844	-73712	-673.11
0.42757	-73711	-683.29
0.43683	-73699	-693.56
0.44624	-73705	-703.91
0.45578	-73703	-714.39
0.46547	-73702	-724.90
0.47530	-73700	-735.52
